"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,14.014581,0.07437949,4.8433124E-10
0,6,13.522102,0.114175096,3.5815872E-09
0,9,12.3911,0.14881974,1.0279807E-08
0,12,11.395919,0.18065417,2.0918936E-08
0,15,10.55826,0.21029578,3.5599577E-08
0,18,9.82859,0.23799501,5.429521E-08
0,21,9.173478,0.26391295,7.6905E-08
0,24,8.574308,0.28817895,1.0328435E-07
0,27,8.020952,0.31090692,1.3326438E-07
0,30,7.507186,0.33219993,1.6666444E-07
0,33,7.028842,0.35215256,2.0330009E-07
0,36,6.582748,0.37085226,2.429885E-07
0,39,6.166298,0.3883803,2.8555178E-07
0,42,5.777265,0.40481222,3.308187E-07
0,45,5.4136887,0.4202185,3.7862594E-07
0,48,5.0737925,0.43466485,4.288185E-07
0,51,4.7559433,0.44821262,4.812502E-07
0,54,4.458636,0.4609192,5.3578333E-07
0,57,4.1804867,0.47283816,5.9228853E-07
0,60,3.9202144,0.48401955,6.5064427E-07
0,63,3.6766279,0.4945101,7.107368E-07
0,66,3.4486182,0.50435364,7.7245966E-07
0,69,3.235154,0.51359093,8.357133E-07
0,72,3.0352736,0.5222603,9.0040487E-07
0,75,2.848084,0.5303975,9.664475E-07
0,78,2.6727526,0.53803587,1.0337603E-06
0,81,2.5085032,0.5452069,1.1022678E-06
0,84,2.3546133,0.5519397,1.1719E-06
0,87,2.2104084,0.5582617,1.2425916E-06
0,90,2.0752597,0.56419855,1.3142821E-06
0,93,1.9485809,0.56977427,1.386916E-06
0,96,1.829825,0.57501125,1.4604412E-06
0,99,1.7184817,0.5799306,1.5348106E-06
0,102,1.6140746,0.5845519,1.6099804E-06
0,105,1.516159,0.58889365,1.6859107E-06
0,108,1.42432,0.5929731,1.7625654E-06
0,111,1.3381697,0.59680647,1.8399119E-06
0,114,1.2573462,0.60040885,1.9179206E-06
0,117,1.1815113,0.60379446,1.996566E-06
0,120,1.1103486,0.6069766,2.0758248E-06
