"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,8.253061,0.074405074,5.130246E-10
0,6,7.701315,0.11424908,3.7209076E-09
0,9,6.9758816,0.1490038,1.0625963E-08
0,12,6.4015718,0.18095891,2.157793E-08
0,15,5.934246,0.21071349,3.6680742E-08
0,18,5.5295243,0.23851734,5.5906906E-08
0,21,5.1651254,0.26453206,7.9152116E-08
0,24,4.830707,0.28888822,1.0626717E-07
0,27,4.5209503,0.3117001,1.3707813E-07
0,30,4.232831,0.33307096,1.7139904E-07
0,33,3.9642494,0.35309598,2.090404E-07
0,36,3.7135615,0.371863,2.498145E-07
0,39,3.4794114,0.38945383,2.9353865E-07
0,42,3.2605915,0.40594444,3.4003733E-07
0,45,3.0560148,0.42140573,3.8914308E-07
0,48,2.8647022,0.4359038,4.406972E-07
0,51,2.6857548,0.44950026,4.945497E-07
0,54,2.5183358,0.4622528,5.5055943E-07
0,57,2.361668,0.47421518,6.085939E-07
0,60,2.215031,0.48543763,6.6852874E-07
0,63,2.0777562,0.49596715,7.302475E-07
0,66,1.9492266,0.5058476,7.936411E-07
0,69,1.8288679,0.5151199,8.5860745E-07
0,72,1.7161419,0.5238225,9.250514E-07
0,75,1.6105467,0.5319911,9.928839E-07
0,78,1.5116142,0.53965944,1.0620222E-06
0,81,1.41891,0.54685867,1.1323888E-06
0,84,1.3320307,0.55361825,1.2039121E-06
0,87,1.2505987,0.5599656,1.2765252E-06
0,90,1.1742618,0.5659264,1.3501661E-06
0,93,1.1026906,0.5715246,1.4247776E-06
0,96,1.0355785,0.5767829,1.5003067E-06
0,99,0.97263986,0.58172214,1.5767047E-06
0,102,0.9136081,0.58636224,1.6539268E-06
0,105,0.858234,0.59072155,1.7319323E-06
0,108,0.8062845,0.59481746,1.8106842E-06
0,111,0.7575425,0.5986662,1.8901488E-06
0,114,0.71180403,0.6022828,1.9702961E-06
0,117,0.6688798,0.6056817,2.0510997E-06
0,120,0.62859195,0.6088762,2.1325357E-06
0,123,0.59077483,0.61187875,2.2145844E-06
0,126,0.5552732,0.6147011,2.2972283E-06
0,129,0.5219421,0.6173543,2.380454E-06
0,132,0.49064562,0.6198485,2.4642497E-06
0,135,0.46125704,0.6221935,2.5486083E-06
0,138,0.43365726,0.6243984,2.633524E-06
0,141,0.40773532,0.6264716,2.7189947E-06
0,144,0.38338694,0.6284211,2.805021E-06
0,147,0.36051482,0.63025445,2.8916065E-06
0,150,0.33902755,0.6319786,2.9787568E-06
0,153,0.31883973,0.6336002,3.0664814E-06
0,156,0.2998712,0.63512534,3.1547916E-06
0,159,0.282047,0.63655996,3.2437017E-06
0,162,0.2652968,0.6379094,3.3332292E-06
0,165,0.24955471,0.6391789,3.4233933E-06
0,168,0.23475905,0.6403731,3.5142168E-06
0,171,0.22085194,0.64149666,3.605725E-06
0,174,0.20777915,0.64255375,3.697945E-06
