"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,7.667186,0.07583668
0,6,7.39397,0.11588135
0,9,6.7728524,0.15069583
0,12,6.2267594,0.18265924
0,15,5.7672625,0.21239987
0,18,5.3671837,0.24017394
0,21,5.0080705,0.26614615
0,24,4.6797996,0.29044956
0,27,4.3767695,0.31320074
0,30,4.0955396,0.33450514
0,33,3.8337698,0.35445938
0,36,3.589758,0.37315252
0,39,3.3620486,0.3906673
0,42,3.1493845,0.40708062
0,45,2.9506834,0.422464
0,48,2.7649853,0.43688405
0,51,2.5913932,0.45040292
0,54,2.429066,0.46307862
0,57,2.2772264,0.47496527
0,60,2.1351702,0.4861134
0,63,2.0022504,0.4965702
0,66,1.8778609,0.5063797
0,69,1.761433,0.5155831
0,72,1.6524348,0.5242188
0,75,1.5503724,0.5323228
0,78,1.454791,0.53992873
0,81,1.3652667,0.5470679
0,84,1.2814023,0.55376965
0,87,1.2028269,0.5600616
0,90,1.1291951,0.5659693
0,93,1.0601865,0.5715168
0,96,0.9955011,0.5767267
0,99,0.9348611,0.58161986
0,102,0.8780047,0.58621603
0,105,0.8246902,0.5905337
0,108,0.7746894,0.59459
0,111,0.7277906,0.5984013
0,114,0.6837954,0.60198253
0,117,0.6425188,0.60534805
0,120,0.6037882,0.608511
0,123,0.56744224,0.6114838
0,126,0.5333305,0.6142782
0,129,0.5013121,0.6169051
0,132,0.4712553,0.6193747
0,135,0.44303703,0.62169665
0,138,0.41654176,0.62387985
0,141,0.39166185,0.6259329
0,144,0.3682963,0.6278636
0,147,0.34635085,0.6296794
0,150,0.32573724,0.6313872
0,153,0.3063728,0.63299364
0,156,0.2881802,0.63450474
0,159,0.27108693,0.6359263
0,162,0.25502515,0.6372638
0,165,0.23993118,0.63852215
0,168,0.22574557,0.6397062
0,171,0.21241246,0.6408203
