"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,8.589554,0.07372528
0,6,8.115096,0.112667665
0,9,7.3833165,0.14663266
0,12,6.7840776,0.17789455
0,15,6.2929573,0.20704195
0,18,5.8684177,0.23431551
0,21,5.487395,0.25987014
0,24,5.1383753,0.2838299
0,27,4.815406,0.30630368
0,30,4.514942,0.32738963
0,33,4.234681,0.34717777
0,36,3.9728603,0.36575148
0,39,3.728029,0.38318816
0,42,3.498952,0.3995599
0,45,3.284519,0.41493392
0,48,3.0837224,0.42937303
0,51,2.895645,0.44293588
0,54,2.71944,0.45567727
0,57,2.5543237,0.46764848
0,60,2.3995674,0.47889745
0,63,2.254492,0.48946905
0,66,2.118467,0.49940524
0,69,1.990905,0.5087453
0,72,1.8712595,0.51752603
0,75,1.7590209,0.5257818
0,78,1.6537138,0.53354496
0,81,1.5548939,0.5408455
0,84,1.4621469,0.5477119
0,87,1.3750862,0.55417055
0,90,1.2933514,0.5602463
0,93,1.2166055,0.56596243
0,96,1.1445339,0.57134074
0,99,1.0768428,0.57640165
0,102,1.0132564,0.5811644
0,105,0.953519,0.5856469
0,108,0.89738894,0.5898661
0,111,0.8446427,0.5938377
0,114,0.7950692,0.5975767
0,117,0.74847263,0.6010969
0,120,0.70466864,0.6044115
0,123,0.66348535,0.6075327
0,126,0.6247614,0.61047196
0,129,0.5883462,0.6132402
0,132,0.554098,0.6158475
0,135,0.52188486,0.6183035
0,138,0.49158233,0.620617
0,141,0.46307445,0.62279654
0,144,0.43625212,0.62485
0,147,0.41101333,0.6267848
0,150,0.38726223,0.6286079
0,153,0.3649091,0.6303259
0,156,0.34386972,0.63194495
0,159,0.32406515,0.6334709
0,162,0.3054212,0.6349091
0,165,0.28786847,0.6362647
0,168,0.27134162,0.63754255
0,171,0.2557795,0.6387472
0,174,0.24112454,0.6398829
0,177,0.2273228,0.6409536
0,180,0.2143236,0.6419632
0,183,0.20207933,0.6429151
0,186,0.19054529,0.6438127
0,189,0.17967953,0.6446592
0,192,0.16944258,0.6454575
0,195,0.1597974,0.6462104
0,198,0.15070914,0.64692044
0,201,0.14214507,0.6475902
0,204,0.13407442,0.64822197
0,207,0.12646829,0.6488179
0,210,0.11929949,0.6493801
0,213,0.112542436,0.64991045
0,216,0.10617313,0.6504108
0,219,0.10016893,0.65088284
0,222,0.0945086,0.65132827
0,225,0.08917214,0.65174854
0,228,0.08414074,0.6521451
0,231,0.07939669,0.6525193
0,234,0.074923344,0.65287244
0,237,0.070705034,0.6532057
0,240,0.06672703,0.6535202
