"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,2,12.465655,0.03345069,2.9253357E-11
0,4,16.36934,0.070923075,5.7046706E-10
0,6,15.585698,0.0968753,2.3243243E-09
0,8,14.500577,0.12010331,5.6012914E-09
0,10,13.5677595,0.14179164,1.0554555E-08
0,12,12.806547,0.16237344,1.7264405E-08
0,14,12.166012,0.18202557,2.5767603E-08
0,16,11.603802,0.200838,3.6072198E-08
0,18,11.093526,0.2188677,4.8166285E-08
0,20,10.620275,0.23615819,6.202396E-08
0,22,10.175455,0.25274557,7.760939E-08
0,24,9.7542,0.26866207,9.487992E-08
0,26,9.353487,0.2839373,1.137883E-07
0,28,8.971283,0.2985988,1.342844E-07
0,30,8.606163,0.31267253,1.5631643E-07
0,32,8.25702,0.32618308,1.798318E-07
0,34,7.922921,0.33915386,2.0477798E-07
0,36,7.6030583,0.35160723,2.3110293E-07
0,38,7.2967205,0.36356446,2.587555E-07
0,40,7.003263,0.37504596,2.8768568E-07
0,42,6.722088,0.38607118,3.178447E-07
0,44,6.4526467,0.3966588,3.491852E-07
0,46,6.194414,0.40682665,3.8166138E-07
0,48,5.9468927,0.41659185,4.152291E-07
0,50,5.709612,0.42597076,4.4984563E-07
0,52,5.4821234,0.4349791,4.8547E-07
0,54,5.264005,0.44363192,5.2206275E-07
0,56,5.0548544,0.45194358,5.5958577E-07
0,58,4.8542867,0.45992792,5.980026E-07
0,60,4.6619353,0.46759814,6.372782E-07
0,62,4.4774494,0.47496694,6.773789E-07
0,64,4.300494,0.48204648,7.1827264E-07
0,66,4.130749,0.48884836,7.599283E-07
0,68,3.9679093,0.49538377,8.0231644E-07
0,70,3.8116822,0.50166345,8.454086E-07
0,72,3.6617892,0.5076976,8.891776E-07
0,74,3.5179634,0.51349604,9.335975E-07
0,76,3.3799503,0.51906824,9.786434E-07
0,78,3.2475064,0.52442324,1.0242914E-06
0,80,3.120398,0.52956975,1.0705188E-06
0,82,2.998403,0.534516,1.1173039E-06
0,84,2.8813083,0.53927,1.1646259E-06
0,86,2.7689095,0.5438394,1.212465E-06
0,88,2.6610122,0.54823154,1.2608023E-06
0,90,2.5574293,0.5524534,1.3096197E-06
0,92,2.457983,0.5565118,1.3589001E-06
0,94,2.362502,0.5604132,1.4086273E-06
0,96,2.2708235,0.56416374,1.4587857E-06
