"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,12.205595,0.046014316,1.1068608E-10
0,6,15.226696,0.095978044,1.7555862E-09
0,9,14.178434,0.13274066,6.6033947E-09
0,12,13.001773,0.16580734,1.5245192E-08
0,15,12.003978,0.19644111,2.7886971E-08
0,18,11.150802,0.22502922,4.4560036E-08
0,21,10.395663,0.25176704,6.519775E-08
0,24,9.7107935,0.2767965,8.9675694E-08
0,27,9.081062,0.30023813,1.1783628E-07
0,30,8.49772,0.32219923,1.4950417E-07
0,33,7.9552655,0.34277788,1.8449668E-07
0,36,7.4497023,0.36206448,2.2263019E-07
0,39,6.977935,0.38014287,2.637244E-07
0,42,6.537347,0.39709097,3.0760484E-07
0,45,6.1256385,0.41298145,3.541045E-07
0,48,5.740775,0.427882,4.030644E-07
0,51,5.3809056,0.44185585,4.5433418E-07
0,54,5.044326,0.45496213,5.077719E-07
0,57,4.729452,0.46725604,5.632443E-07
0,60,4.434822,0.4787892,6.206262E-07
0,63,4.1590867,0.4896098,6.7980017E-07
0,66,3.900995,0.49976292,7.406561E-07
0,69,3.6593807,0.50929075,8.0309115E-07
0,72,3.4331543,0.5182327,8.6700925E-07
0,75,3.2213001,0.52662563,9.323205E-07
0,78,3.0228727,0.53450406,9.989413E-07
0,81,2.8369956,0.5419003,1.0667935E-06
0,84,2.6628504,0.5488444,1.1358045E-06
0,87,2.499673,0.5553648,1.2059066E-06
0,90,2.3467495,0.56148785,1.2770373E-06
0,93,2.2034156,0.5672383,1.3491383E-06
0,96,2.069051,0.5726393,1.422156E-06
0,99,1.9430796,0.5777126,1.4960407E-06
0,102,1.8249607,0.5824784,1.570747E-06
0,105,1.7141919,0.5869559,1.6462333E-06
0,108,1.6103022,0.59116274,1.7224615E-06
0,111,1.5128518,0.5951158,1.7993973E-06
0,114,1.4214306,0.5988305,1.8770096E-06
0,117,1.3356545,0.6023217,1.9552706E-06
0,120,1.255166,0.605603,2.0341563E-06
0,123,1.1796306,0.6086873,2.1136452E-06
0,126,1.108736,0.6115866,2.1937192E-06
0,129,1.04219,0.61431223,2.274363E-06
0,132,0.9797187,0.6168749,2.3555644E-06
0,135,0.921067,0.6192844,2.4373144E-06
0,138,0.8659951,0.6215501,2.519606E-06
0,141,0.81427956,0.6236807,2.6024356E-06
0,144,0.7657107,0.6256845,2.6858029E-06
0,147,0.7200929,0.6275691,2.769709E-06
0,150,0.67724276,0.62934166,2.8541588E-06
0,153,0.6369886,0.6310091,2.9391592E-06
0,156,0.59916973,0.63257766,3.0247206E-06
0,159,0.5636355,0.6340533,3.1108552E-06
0,162,0.5302451,0.63544166,3.1975785E-06
0,165,0.49886635,0.63674796,3.2849082E-06
0,168,0.46937558,0.6379771,3.3728645E-06
0,171,0.4416568,0.6391338,3.461471E-06
0,174,0.4156015,0.6402223,3.5507528E-06
0,177,0.39110783,0.64124674,3.6407384E-06
0,180,0.36808044,0.64221096,3.7314587E-06
0,183,0.3464298,0.64311844,3.822947E-06
0,186,0.3260721,0.6439727,3.9152396E-06
0,189,0.30692866,0.6447768,4.0083746E-06
0,192,0.28892574,0.64553386,4.102393E-06
0,195,0.27199417,0.64624655,4.1973394E-06
0,198,0.25606903,0.6469175,4.2932597E-06
0,201,0.24108954,0.64754933,4.3902023E-06
0,204,0.22699851,0.6481442,4.488219E-06
0,207,0.21374239,0.64870435,4.587363E-06
0,210,0.20127088,0.64923185,4.6876917E-06
0,213,0.18953678,0.64972866,4.789263E-06
0,216,0.17849578,0.6501965,4.8921393E-06
0,219,0.16810629,0.65063715,4.9963837E-06
0,222,0.15832928,0.6510522,5.102063E-06
0,225,0.14912808,0.65144306,5.209246E-06
0,228,0.14046828,0.6518113,5.3180042E-06
0,231,0.13231754,0.6521582,5.4284114E-06
0,234,0.1246456,0.65248495,5.5405435E-06
0,237,0.11742384,0.6527928,5.6544795E-06
0,240,0.11062549,0.65308285,5.7703005E-06
0,243,0.10422553,0.6533561,5.8880896E-06
0,246,0.09820006,0.65361357,6.007933E-06
0,249,0.09252698,0.65385616,6.129918E-06
0,252,0.08718545,0.65408474,6.254136E-06
0,255,0.08215558,0.65430015,6.3806797E-06
0,258,0.077419214,0.65450317,6.5096433E-06
0,261,0.07295888,0.65469444,6.641125E-06
0,264,0.068758205,0.65487474,6.775224E-06
0,267,0.06480204,0.6550447,6.912042E-06
0,270,0.06107592,0.65520483,7.051683E-06
0,273,0.057566296,0.6553558,7.1942527E-06
0,276,0.05426052,0.6554981,7.33986E-06
0,279,0.051146552,0.6556322,7.4886148E-06
0,282,0.048213188,0.6557586,7.6406295E-06
0,285,0.045449845,0.6558778,7.796018E-06
0,288,0.042846486,0.6559902,7.954897E-06
0,291,0.040393848,0.6560961,8.117386E-06
0,294,0.038083054,0.656196,8.283603E-06
0,297,0.035905775,0.6562902,8.453672E-06
0,300,0.0338543,0.6563789,8.627718E-06
0,303,0.031921223,0.65646267,8.805863E-06
