"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,16.181269,0.07372565
0,6,15.534499,0.11327141
0,9,14.19162,0.14756146
0,12,13.038049,0.17907362
0,15,12.078435,0.20843112
0,18,11.247531,0.23588213
0,21,10.503683,0.26158553
0,24,9.824402,0.28566882
0,27,9.197443,0.3082436
0,30,8.61538,0.32941067
0,33,8.073285,0.34926215
0,36,7.5675287,0.36788332
0,39,7.0951266,0.38535324
0,42,6.653569,0.4017455
0,45,6.2406397,0.41712874
0,48,5.854329,0.43156695
0,51,5.492814,0.44512004
0,54,5.1544223,0.4578438
0,57,4.837606,0.4697905
0,60,4.5409284,0.48100895
0,63,4.2630563,0.49154484
0,66,4.0027456,0.50144094
0,69,3.7588449,0.5107371
0,72,3.5302796,0.5194709
0,75,3.316051,0.5276771
0,78,3.1152267,0.5353886
0,81,2.926937,0.5426359
0,84,2.7503717,0.54944783
0,87,2.5847735,0.5558512
0,90,2.4294374,0.5618712
0,93,2.283706,0.5675313
0,96,2.1469653,0.5728536
0,99,2.0186417,0.5778589
0,102,1.8981999,0.58256644
0,105,1.7851394,0.5869944
0,108,1.6789939,0.59115976
0,111,1.5793263,0.5950786
0,114,1.4857298,0.5987657
0,117,1.3978219,0.6022352
0,120,1.3152475,0.6055002
0,123,1.2376719,0.6085731
0,126,1.1647841,0.6114654
0,129,1.0962917,0.614188
0,132,1.0319227,0.616751
0,135,0.9714212,0.6191641
0,138,0.9145488,0.6214362
0,141,0.86108154,0.6235756
0,144,0.81081027,0.62559044
0,147,0.76353854,0.6274879
0,150,0.71908295,0.62927514
0,153,0.6772708,0.63095856
0,156,0.6379413,0.6325444
0,159,0.6009428,0.6340383
0,162,0.56613404,0.6354459
0,165,0.53338194,0.63677216
0,168,0.5025622,0.6380218
0,171,0.47355807,0.6391995
0,174,0.4462601,0.6403094
0,177,0.4205654,0.6413554
0,180,0.39637786,0.6423413
0,183,0.37360683,0.6432707
0,186,0.35216764,0.6441468
0,189,0.33198056,0.6449727
0,192,0.312971,0.64575136
0,195,0.29506868,0.6464855
0,198,0.27820787,0.64717776
0,201,0.26232663,0.64783055
0,204,0.24736694,0.6484461
0,207,0.23327418,0.64902663
0,210,0.2199972,0.64957416
0,213,0.20748776,0.6500906
0,216,0.1957007,0.65057766
0,219,0.18459347,0.6510371
0,222,0.17412616,0.65147054
0,225,0.16426119,0.65187943
0,228,0.15496333,0.6522652
0,231,0.14619933,0.65262914
0,234,0.13793807,0.6529725
0,237,0.13015014,0.65329653
0,240,0.122808024,0.6536023
0,243,0.115885735,0.65389085
0,246,0.10935889,0.6541631
0,249,0.103204526,0.6544201
0,252,0.09740106,0.6546626
0,255,0.09192816,0.6548915
0,258,0.08676672,0.65510756
0,261,0.081898734,0.6553115
0,264,0.077307284,0.655504
0,267,0.07297641,0.6556857
0,270,0.06889114,0.65585726
0,273,0.06503732,0.6560193
0,276,0.061401676,0.65617216
0,279,0.057971675,0.6563165
0,282,0.054735538,0.65645283
0,285,0.05168216,0.6565816
0,288,0.048801083,0.6567031
0,291,0.04608246,0.65681785
0,294,0.04351702,0.6569262
0,297,0.04109602,0.6570286
0,300,0.038811233,0.65712523
0,303,0.0366549,0.65721655
0,306,0.03461972,0.65730274
0,309,0.032698803,0.6573842
0,312,0.03088566,0.6574611
0,315,0.029174177,0.65753376
0,318,0.027558593,0.6576024
0,321,0.026033476,0.6576672
0,324,0.024593705,0.6577285
0,327,0.023234455,0.65778637
0,330,0.021951176,0.657841
0,333,0.020739578,0.65789264
0,336,0.019595617,0.65794146
0,339,0.01851548,0.65798753
0,342,0.01749557,0.6580311
0,345,0.016532501,0.6580723
0,348,0.01562307,0.65811116
0,351,0.014764264,0.65814793
