"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,2,14.783628,0.058602966,1.2477012E-10
0,4,15.420194,0.08823369,1.1545672E-09
0,6,14.825291,0.11384163,3.5825283E-09
0,8,13.9925995,0.13728377,7.6216535E-09
0,10,13.200718,0.15932664,1.3384226E-08
0,12,12.495929,0.18026748,2.0926159E-08
0,14,11.868423,0.200242,3.0267724E-08
0,16,11.300646,0.21932763,4.140494E-08
0,18,10.778549,0.23757932,5.431679E-08
0,20,10.292307,0.25504142,6.897017E-08
0,22,9.835504,0.27175295,8.5323514E-08
0,24,9.4039,0.28774953,1.0332957E-07
0,26,8.9944935,0.30306408,1.229373E-07
0,28,8.605124,0.31772718,1.4409333E-07
0,30,8.234241,0.33176798,1.6674325E-07
0,32,7.8805866,0.34521404,1.908323E-07
0,34,7.5430756,0.35809144,2.163061E-07
0,36,7.2207937,0.37042505,2.4311103E-07
0,38,6.912945,0.38223854,2.7119464E-07
0,40,6.6187887,0.3935545,3.0050577E-07
0,42,6.337647,0.4043945,3.3099482E-07
0,44,6.0688934,0.41477907,3.6261375E-07
0,46,5.811944,0.42472783,3.9531625E-07
0,48,5.5662484,0.4342596,4.2905768E-07
0,50,5.331286,0.4433923,4.637951E-07
0,52,5.106564,0.45214304,4.9948727E-07
0,54,4.8916163,0.46052825,5.360946E-07
0,56,4.6860003,0.46856353,5.735791E-07
0,58,4.4892945,0.47626388,6.1190434E-07
0,60,4.3010974,0.4836436,6.510356E-07
0,62,4.1210275,0.49071634,6.9093943E-07
0,64,3.9487195,0.49749523,7.31584E-07
0,66,3.7838275,0.50399274,7.7293873E-07
0,68,3.6260202,0.5102209,8.149745E-07
0,70,3.4749827,0.51619107,8.576634E-07
0,72,3.3304148,0.52191424,9.0097876E-07
0,74,3.1920297,0.5274009,9.448952E-07
0,76,3.0595543,0.53266096,9.893884E-07
0,78,2.9327283,0.5377041,1.0344352E-06
0,80,2.8113022,0.5425394,1.0800136E-06
0,82,2.6950388,0.54717565,1.1261023E-06
0,84,2.5837114,0.55162126,1.1726817E-06
0,86,2.4771032,0.55588424,1.2197323E-06
0,88,2.375008,0.5599723,1.2672361E-06
0,90,2.2772288,0.56389266,1.315176E-06
0,92,2.1835775,0.56765246,1.3635354E-06
0,94,2.0938742,0.5712584,1.4122988E-06
0,96,2.007948,0.5747169,1.4614518E-06
0,98,1.9256345,0.57803416,1.5109803E-06
0,100,1.8467778,0.58121604,1.560871E-06
0,102,1.7712281,0.58426815,1.6111119E-06
0,104,1.6988423,0.58719593,1.6616912E-06
0,106,1.629485,0.59000456,1.7125979E-06
0,108,1.5630251,0.592699,1.763822E-06
0,110,1.4993377,0.595284,1.8153537E-06
0,112,1.438305,0.597764,1.8671843E-06
0,114,1.3798124,0.6001435,1.9193058E-06
0,116,1.3237509,0.6024266,1.9717102E-06
0,118,1.2700176,0.6046172,2.0243908E-06
0,120,1.2185128,0.6067192,2.0773412E-06
0,122,1.1691414,0.6087363,2.130556E-06
0,124,1.1218132,0.61067194,2.1840297E-06
0,126,1.076441,0.61252946,2.237758E-06
0,128,1.0329423,0.61431205,2.2917372E-06
0,130,0.9912376,0.6160229,2.3459636E-06
0,132,0.951251,0.6176649,2.4004346E-06
0,134,0.91290987,0.61924076,2.455148E-06
0,136,0.8761452,0.62075335,2.5101021E-06
0,138,0.8408902,0.6222052,2.5652957E-06
0,140,0.8070815,0.62359875,2.6207285E-06
0,142,0.7746585,0.62493646,2.6764005E-06
0,144,0.7435628,0.6262206,2.732312E-06
0,146,0.713739,0.62745327,2.7884641E-06
0,148,0.68513376,0.62863666,2.8448587E-06
0,150,0.6576962,0.6297727,2.901498E-06
0,152,0.6313775,0.6308634,2.9583841E-06
0,154,0.60613114,0.63191056,3.0155206E-06
0,156,0.58191234,0.6329159,3.0729113E-06
0,158,0.5586784,0.6338812,3.1305603E-06
0,160,0.53638846,0.63480806,3.1884724E-06
0,162,0.5150032,0.63569796,3.246653E-06
0,164,0.4944853,0.6365525,3.3051078E-06
0,166,0.47479877,0.6373731,3.363843E-06
0,168,0.45590913,0.63816106,3.4228658E-06
0,170,0.4377836,0.6389177,3.4821833E-06
0,172,0.4203906,0.6396444,3.5418032E-06
0,174,0.40369985,0.6403422,3.6017343E-06
0,176,0.38768253,0.6410124,3.6619854E-06
0,178,0.3723109,0.64165604,3.7225657E-06
0,180,0.35755834,0.6422742,3.7834852E-06
0,182,0.34339958,0.6428679,3.8447542E-06
0,184,0.32981017,0.64343816,3.9063843E-06
0,186,0.31676674,0.6439859,3.968386E-06
0,188,0.30424708,0.644512,4.030772E-06
0,190,0.29222965,0.6450173,4.0935543E-06
0,192,0.28069395,0.64550275,4.156746E-06
0,194,0.2696204,0.64596903,4.2203606E-06
