"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,19.283026,0.07647831
0,6,17.53866,0.11939656
0,9,15.717972,0.15670265
0,12,14.352073,0.19087555
0,15,13.243493,0.22253783
0,18,12.275915,0.25196356
0,21,11.400791,0.2793394
0,24,10.597499,0.30482036
0,27,9.855529,0.328544
0,30,9.16856,0.35063574
0,33,8.531688,0.37121135
0,36,7.940885,0.3903779
0,39,7.3925986,0.40823463
0,42,6.8835764,0.42487365
0,45,6.410896,0.44038042
0,48,5.9718823,0.45483428
0,51,5.564047,0.4683089
0,54,5.1850867,0.4808726
0,57,4.832883,0.49258894
0,60,4.5054827,0.50351685
0,63,4.2010803,0.5137111
0,66,3.918002,0.5232225
0,69,3.6546957,0.53209823
0,72,3.4097307,0.54038227
0,75,3.1817834,0.5481152
0,78,2.9696298,0.555335
0,81,2.7721343,0.5620768
0,84,2.5882468,0.56837326
0,87,2.416995,0.5742549
0,90,2.2574787,0.57974976
0,93,2.1088655,0.5848842
0,96,1.9703823,0.58968264
0,99,1.841314,0.59416777
0,102,1.7209967,0.5983608
0,105,1.6088147,0.6022813
0,108,1.5041981,0.60594755
0,111,1.4066174,0.60937667
0,114,1.315583,0.6125845
0,117,1.23064,0.6155856
0,120,1.1513665,0.61839396
0,123,1.0773709,0.62102216
0,126,1.0082886,0.6234823
0,129,0.94378257,0.6257853
0,132,0.88353825,0.6279416
0,135,0.8272645,0.62996083
0,138,0.7746904,0.63185203
0,141,0.72556436,0.6336235
0,144,0.67965263,0.63528305
0,147,0.63673747,0.63683796
0,150,0.59661686,0.6382951
0,153,0.55910236,0.6396607
0,156,0.5240191,0.6409408
0,159,0.4912042,0.6421408
0,162,0.4605061,0.64326596
0,165,0.43178383,0.644321
0,168,0.4049059,0.6453105
0,171,0.37975013,0.64623857
0,174,0.35620248,0.64710915
0,177,0.33415693,0.6479259
0,180,0.3135145,0.6486923
0,183,0.29418314,0.6494115
0,186,0.2760769,0.65008646
0,189,0.25911573,0.65071994
0,192,0.243225,0.6513147
0,195,0.228335,0.65187305
0,198,0.21438086,0.6523973
0,201,0.20130193,0.6528896
0,204,0.18904172,0.6533519
0,207,0.17754743,0.6537862
0,210,0.16676982,0.6541941
0,213,0.1566629,0.6545773
0,216,0.14718372,0.6549374
0,219,0.1382922,0.6552757
0,222,0.12995085,0.6555936
0,225,0.12212472,0.6558924
0,228,0.11478107,0.6561732
0,231,0.10788936,0.6564372
0,234,0.10142103,0.65668535
0,237,0.09534936,0.65691864
0,240,0.08964941,0.65713805
0,243,0.0842978,0.65734434
0,246,0.07927272,0.65753835
0,249,0.07455372,0.6577208
0,252,0.070121706,0.6578924
0,255,0.065958776,0.6580538
0,258,0.0620482,0.6582057
0,261,0.05837432,0.65834856
0,264,0.05492245,0.65848297
0,267,0.051678874,0.65860945
0,270,0.048630722,0.6587285
0,273,0.04576596,0.65884054
0,276,0.043073304,0.658946
0,279,0.04054221,0.6590452
0,282,0.038162738,0.6591386
0,285,0.03592566,0.65922654
0,288,0.033822265,0.6593093
0,291,0.031844314,0.6593873
0,294,0.029984288,0.65946066
0,297,0.028234921,0.6595298
0,300,0.026589477,0.6595949
0,303,0.025041727,0.65965617
0,306,0.023585692,0.6597139
0,309,0.022215858,0.6597683
0,312,0.020927036,0.65981954
0,315,0.019714324,0.65986776
0,318,0.018573178,0.65991324
0,321,0.017499283,0.65995604
0,324,0.016488604,0.65999645
0,327,0.0155373765,0.6600345
0,330,0.014642014,0.6600703
0,333,0.013799195,0.66010404
0,336,0.013005787,0.66013587
0,339,0.012258817,0.6601659
0,342,0.011555556,0.66019416
0,345,0.010893385,0.6602208
0,348,0.01026986,0.66024595
0,351,0.0096827075,0.6602696
0,354,0.00912976,0.66029197
0,357,0.008609001,0.660313
0,360,0.00811853,0.6603329
0,363,0.007656551,0.66035163
0,366,0.0072213984,0.6603693
0,369,0.006811483,0.66038597
0,372,0.006425316,0.66040164
0,375,0.0060615125,0.6604165
0,378,0.00571875,0.66043043
0,381,0.005395796,0.66044366
0,384,0.0050914944,0.66045606
0,387,0.0048047453,0.6604678
0,390,0.004534531,0.6604789
0,393,0.004279881,0.6604894
0,396,0.004039885,0.6604992
0,399,0.0038136947,0.6605086
0,402,0.0036005003,0.66051733
0,405,0.003399547,0.6605256
0,408,0.0032101248,0.6605335
0,411,0.0030315588,0.6605409
0,414,0.0028632241,0.66054785
0,417,0.0027045242,0.66055447
0,420,0.0025548986,0.66056067
0,423,0.0024138263,0.66056657
0,426,0.0022808085,0.6605721
0,429,0.0021553803,0.66057736
0,432,0.0020371047,0.66058236
0,435,0.001925566,0.660587
0,438,0.0018203781,0.6605915
0,441,0.0017211739,0.66059566
0,444,0.0016276074,0.6605996
0,447,0.0015393563,0.66060334
0,450,0.0014561131,0.66060686
0,453,0.0013775898,0.66061026
0,456,0.0013035166,0.6606134
0,459,0.0012336362,0.6606164
0,462,0.0011677095,0.6606192
0,465,0.0011055092,0.6606219
0,468,0.0010468212,0.66062444
0,471,0.0009914457,0.6606268
0,474,0.00093919225,0.6606291
0,477,0.0008898822,0.66063124
0,480,0.0008433481,0.66063327
0,483,0.00079943053,0.66063523
0,486,0.0007579808,0.660637
0,489,0.000718858,0.66063875
0,492,0.0006819289,0.6606404
0,495,0.00064706954,0.66064197
0,498,0.00061416137,0.66064346
0,501,0.0005830933,0.6606448
0,504,0.0005537614,0.6606462
0,507,0.00052606623,0.66064745
0,510,0.0004999153,0.66064864
0,513,0.00047522096,0.6606498
0,516,0.0004519002,0.66065085
0,519,0.0004298758,0.66065186
0,522,0.0004090739,0.6606528
0,525,0.00038942526,0.66065377
0,528,0.000370865,0.66065466
0,531,0.00035333118,0.6606555
0,534,0.00033676607,0.6606563
0,537,0.000321115,0.66065705
0,540,0.00030632608,0.66065776
0,543,0.00029235115,0.6606584
0,546,0.0002791441,0.6606591
0,549,0.0002666616,0.66065973
0,552,0.00025486317,0.6606603
0,555,0.0002437101,0.66066086
0,558,0.00023316627,0.6606614
0,561,0.00022319748,0.66066194
0,564,0.00021377132,0.6606624
0,567,0.00020485761,0.6606629
0,570,0.0001964275,0.66066337
0,573,0.0001884539,0.6606638
0,576,0.0001809114,0.6606642
0,579,0.00017377581,0.66066456
0,582,0.00016702448,0.660665
0,585,0.00016063597,0.66066533
0,588,0.00015458999,0.6606657
0,591,0.00014886759,0.660666
0,594,0.0001434507,0.66066635
0,597,0.00013832231,0.66066664
0,600,0.00013346651,0.66066694
0,603,0.00012886808,0.66066724
0,606,0.00012451281,0.6606675
0,609,0.00012038725,0.6606678
0,612,0.00011647864,0.660668
0,615,0.00011277509,0.66066825
0,618,0.00010926523,0.6606685
0,621,0.00010593838,0.66066873
0,624,0.00010278452,0.66066897
0,627,9.9794095E-05,0.66066915
0,630,9.695815E-05,0.6606694
0,633,9.426824E-05,0.66066957
0,636,9.171631E-05,0.6606698
0,639,8.9294896E-05,0.66067
0,642,8.699681E-05,0.66067016
0,645,8.481535E-05,0.66067034
0,648,8.274418E-05,0.6606705
0,651,8.0777296E-05,0.6606707
0,654,7.8909055E-05,0.6606708
0,657,7.713417E-05,0.660671
0,660,7.544754E-05,0.6606712
0,663,7.3844356E-05,0.6606713
0,666,7.23202E-05,0.6606715
0,669,7.087092E-05,0.6606716
0,672,6.9492344E-05,0.6606717
0,675,6.818059E-05,0.6606719
0,678,6.69322E-05,0.660672
0,681,6.574391E-05,0.6606721
0,684,6.461236E-05,0.66067225
0,687,6.353443E-05,0.66067237
0,690,6.2507366E-05,0.66067255
0,693,6.1528604E-05,0.66067266
0,696,6.059546E-05,0.6606728
0,699,5.97055E-05,0.6606729
0,702,5.88565E-05,0.66067296
0,705,5.804639E-05,0.6606731
0,708,5.727308E-05,0.6606732
0,711,5.653464E-05,0.6606733
0,714,5.58293E-05,0.66067344
0,717,5.5155368E-05,0.66067356
0,720,5.45112E-05,0.6606736
0,723,5.3895255E-05,0.66067374
0,726,5.3306103E-05,0.66067386
0,729,5.274241E-05,0.660674
0,732,5.220284E-05,0.66067404
0,735,5.1686147E-05,0.66067415
0,738,5.1191186E-05,0.6606743
0,741,5.0716913E-05,0.66067433
0,744,5.0262242E-05,0.66067445
0,747,4.9826176E-05,0.6606745
0,750,4.9407794E-05,0.66067463
0,753,4.900626E-05,0.6606747
0,756,4.862071E-05,0.6606748
0,759,4.8250346E-05,0.66067487
0,762,4.7894435E-05,0.660675
0,765,4.7552294E-05,0.66067505
0,768,4.722324E-05,0.66067517
0,771,4.6906636E-05,0.6606752
0,774,4.6601886E-05,0.66067535
0,777,4.6308443E-05,0.6606754
0,780,4.6025754E-05,0.6606755
0,783,4.575331E-05,0.6606756
0,786,4.5490622E-05,0.66067564
0,789,4.523726E-05,0.66067576
0,792,4.499277E-05,0.6606758
0,795,4.4756733E-05,0.66067594
0,798,4.452877E-05,0.660676
0,801,4.430852E-05,0.66067606
0,804,4.409562E-05,0.6606762
0,807,4.3889737E-05,0.66067624
0,810,4.369055E-05,0.6606763
0,813,4.3497777E-05,0.6606764
0,816,4.3311127E-05,0.6606765
0,819,4.3130323E-05,0.66067654
0,822,4.295511E-05,0.66067666
0,825,4.2785257E-05,0.6606767
0,828,4.2620522E-05,0.6606768
0,831,4.2460688E-05,0.6606769
0,834,4.2305546E-05,0.66067696
0,837,4.2154916E-05,0.660677
0,840,4.2008596E-05,0.6606771
0,843,4.1866406E-05,0.6606772
0,846,4.1728174E-05,0.66067725
0,849,4.159373E-05,0.6606773
0,852,4.1462907E-05,0.6606774
0,855,4.133563E-05,0.6606775
0,858,4.121171E-05,0.66067755
0,861,4.1091014E-05,0.6606776
0,864,4.09734E-05,0.6606777
0,867,4.0858737E-05,0.6606778
0,870,4.0746887E-05,0.66067785
0,873,4.0637842E-05,0.6606779
0,876,4.0531442E-05,0.66067797
0,879,4.042758E-05,0.660678
0,882,4.0326147E-05,0.66067815
0,885,4.0227045E-05,0.6606782
0,888,4.013017E-05,0.66067827
0,891,4.0035495E-05,0.6606783
0,894,3.9942934E-05,0.6606784
0,897,3.985239E-05,0.6606785
0,900,3.9763792E-05,0.66067857
0,903,3.9677063E-05,0.6606786
0,906,3.9592138E-05,0.6606787
0,909,3.950896E-05,0.66067874
0,912,3.9427483E-05,0.66067886
0,915,3.9347637E-05,0.6606789
0,918,3.926937E-05,0.660679
0,921,3.9192622E-05,0.66067904
0,924,3.9117345E-05,0.6606791
0,927,3.9043494E-05,0.66067916
0,930,3.8971026E-05,0.6606793
0,933,3.889989E-05,0.66067934
0,936,3.8830043E-05,0.6606794
0,939,3.876145E-05,0.66067946
0,942,3.869406E-05,0.6606795
0,945,3.8627837E-05,0.6606796
0,948,3.8562775E-05,0.66067964
0,951,3.8498816E-05,0.66067976
0,954,3.8435926E-05,0.6606798
0,957,3.8374073E-05,0.6606799
0,960,3.8313225E-05,0.66067994
0,963,3.8253336E-05,0.66068
0,966,3.8194383E-05,0.66068006
0,969,3.8136328E-05,0.6606801
0,972,3.807913E-05,0.66068023
0,975,3.8022823E-05,0.6606803
0,978,3.7967395E-05,0.66068035
0,981,3.791278E-05,0.6606804
0,984,3.785895E-05,0.6606805
0,987,3.780588E-05,0.66068053
0,990,3.7753536E-05,0.6606806
0,993,3.770189E-05,0.6606807
0,996,3.765092E-05,0.6606808
0,999,3.760059E-05,0.66068083
0,1002,3.7550868E-05,0.6606809
0,1005,3.7501894E-05,0.66068095
0,1008,3.7453534E-05,0.660681
0,1011,3.7405774E-05,0.66068107
0,1014,3.735859E-05,0.6606811
0,1017,3.7311966E-05,0.6606812
0,1020,3.726588E-05,0.6606813
0,1023,3.722031E-05,0.66068137
0,1026,3.7175236E-05,0.6606814
0,1029,3.7130638E-05,0.6606815
0,1032,3.708654E-05,0.66068155
0,1035,3.704295E-05,0.6606816
0,1038,3.6999827E-05,0.66068166
0,1041,3.695715E-05,0.6606817
0,1044,3.6914906E-05,0.6606818
0,1047,3.6873083E-05,0.6606819
0,1050,3.6831676E-05,0.66068196
0,1053,3.6790665E-05,0.660682
0,1056,3.6750043E-05,0.6606821
0,1059,3.67098E-05,0.66068214
0,1062,3.6669935E-05,0.6606822
0,1065,3.6630434E-05,0.66068226
0,1068,3.6591286E-05,0.6606823
0,1071,3.6552483E-05,0.6606824
0,1074,3.6514015E-05,0.66068244
0,1077,3.6475878E-05,0.6606825
0,1080,3.6438058E-05,0.6606826
0,1083,3.640055E-05,0.6606827
0,1086,3.636335E-05,0.66068274
0,1089,3.6326444E-05,0.6606828
0,1092,3.628982E-05,0.66068286
0,1095,3.6253477E-05,0.6606829
0,1098,3.621741E-05,0.660683
0,1101,3.6181602E-05,0.66068304
0,1104,3.6146055E-05,0.6606831
0,1107,3.611076E-05,0.66068316
0,1110,3.6075704E-05,0.6606832
0,1113,3.604088E-05,0.6606833
0,1116,3.6006288E-05,0.6606834
0,1119,3.5971927E-05,0.66068345
0,1122,3.5937785E-05,0.6606835
0,1125,3.5903853E-05,0.6606836
0,1128,3.5870125E-05,0.66068363
0,1131,3.5836598E-05,0.6606837
0,1134,3.580326E-05,0.66068375
0,1137,3.5770106E-05,0.6606838
0,1140,3.573713E-05,0.6606839
0,1143,3.5704325E-05,0.66068393
0,1146,3.567169E-05,0.660684
0,1149,3.563923E-05,0.66068405
0,1152,3.560693E-05,0.6606841
0,1155,3.5574787E-05,0.6606842
0,1158,3.554279E-05,0.6606843
0,1161,3.5510944E-05,0.66068435
0,1164,3.5479236E-05,0.6606844
0,1167,3.544766E-05,0.66068447
0,1170,3.541622E-05,0.6606845
0,1173,3.5384903E-05,0.6606846
0,1176,3.5353714E-05,0.66068465
0,1179,3.5322646E-05,0.6606847
0,1182,3.5291694E-05,0.66068476
0,1185,3.526086E-05,0.6606848
0,1188,3.523013E-05,0.6606849
0,1191,3.5199508E-05,0.66068494
0,1194,3.516899E-05,0.660685
0,1197,3.513857E-05,0.66068506
0,1200,3.510825E-05,0.6606851
0,1203,3.507802E-05,0.66068524
0,1206,3.504788E-05,0.6606853
0,1209,3.5017827E-05,0.66068536
0,1212,3.4987857E-05,0.6606854
0,1215,3.4957968E-05,0.6606855
0,1218,3.4928158E-05,0.66068554
0,1221,3.489842E-05,0.6606856
0,1224,3.486876E-05,0.66068566
0,1227,3.4839173E-05,0.6606857
0,1230,3.480965E-05,0.6606858
0,1233,3.4780194E-05,0.66068584
0,1236,3.4750796E-05,0.6606859
0,1239,3.472146E-05,0.66068596
0,1242,3.469218E-05,0.660686
0,1245,3.4662957E-05,0.6606861
0,1248,3.4633784E-05,0.66068614
0,1251,3.460466E-05,0.6606862
0,1254,3.4575587E-05,0.66068625
0,1257,3.454656E-05,0.6606863
0,1260,3.4517572E-05,0.6606864
0,1263,3.448863E-05,0.6606865
0,1266,3.4459725E-05,0.66068655
0,1269,3.4430857E-05,0.6606866
0,1272,3.4402023E-05,0.6606867
0,1275,3.4373224E-05,0.66068673
0,1278,3.4344455E-05,0.6606868
0,1281,3.4315715E-05,0.66068685
0,1284,3.4287E-05,0.6606869
0,1287,3.4258308E-05,0.66068697
0,1290,3.4229644E-05,0.660687
0,1293,3.4201003E-05,0.6606871
0,1296,3.417238E-05,0.66068715
0,1299,3.4143777E-05,0.6606872
0,1302,3.411519E-05,0.66068727
0,1305,3.408662E-05,0.6606873
0,1308,3.4058063E-05,0.6606874
0,1311,3.402952E-05,0.66068745
0,1314,3.4000986E-05,0.6606875
