"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,17.411198,0.07177274
0,6,15.909807,0.11124273
0,9,14.34202,0.14578947
0,12,13.169799,0.17761032
0,15,12.227402,0.2072796
0,18,11.408814,0.23503774
0,21,10.667945,0.26103935
0,24,9.98526,0.2854088
0,27,9.35129,0.30825526
0,30,8.760456,0.32967803
0,33,8.208914,0.34976864
0,36,7.6935616,0.36861214
0,39,7.211706,0.3862878
0,42,6.76101,0.4028696
0,45,6.3393536,0.4184267
0,48,5.944768,0.43302366
0,51,5.57543,0.446721
0,54,5.229652,0.45957524
0,57,4.9058743,0.4716394
0,60,4.6026616,0.4829629
0,63,4.3186665,0.49359214
0,66,4.052627,0.5035705
0,69,3.8033671,0.51293856
0,72,3.569795,0.52173436
0,75,3.350895,0.5299935
0,78,3.1457186,0.53774935
0,81,2.953379,0.54503304
0,84,2.7730484,0.55187386
0,87,2.6039553,0.55829924
0,90,2.4453812,0.5643348
0,93,2.2966542,0.5700046
0,96,2.1571472,0.5753311
0,99,2.0262737,0.58033544
0,102,1.9034848,0.5850374
0,105,1.7882689,0.58945566
0,108,1.6801467,0.5936074
0,111,1.5786719,0.59750915
0,114,1.4834266,0.60117596
0,117,1.3940201,0.6046223
0,120,1.3100868,0.60786164
0,123,1.2312843,0.6109065
0,126,1.1572925,0.6137687
0,129,1.0878114,0.61645937
0,132,1.0225608,0.61898893
0,135,0.9612782,0.62136716
0,138,0.9037178,0.62360317
0,141,0.84964967,0.62570566
0,144,0.79885787,0.62768257
0,147,0.75114053,0.62954164
0,150,0.70630836,0.6312898
0,153,0.6641839,0.63293386
0,156,0.6246012,0.63448006
0,159,0.5874043,0.6359343
0,162,0.55244744,0.63730204
0,165,0.5195935,0.63858855
0,168,0.48871425,0.63979864
0,171,0.4596892,0.6409369
0,174,0.43240553,0.6420077
0,177,0.40675738,0.6430151
0,180,0.38264537,0.64396274
0,183,0.35997653,0.6448543
0,186,0.33866325,0.64569306
0,189,0.31862363,0.6464823
0,192,0.29978076,0.6472248
0,195,0.28206173,0.64792347
0,198,0.26539958,0.6485809
0,201,0.24972993,0.6491995
0,204,0.23499277,0.64978164
0,207,0.22113256,0.6503295
0,210,0.2080961,0.650845
0,213,0.19583412,0.6513302
0,216,0.1843002,0.6517868
0,219,0.17345054,0.65221655
0,222,0.16324447,0.652621
0,225,0.15364328,0.65300167
0,228,0.14461082,0.65336
0,231,0.13611327,0.65369725
0,234,0.12811844,0.6540147
0,237,0.12059652,0.6543135
0,240,0.113519244,0.65459484
0,243,0.106859975,0.6548596
0,246,0.10059404,0.65510887
0,249,0.09469787,0.65534353
0,252,0.089149505,0.6555644
0,255,0.08392835,0.65577245
0,258,0.07901486,0.65596825
0,261,0.07439091,0.65615255
0,264,0.07003926,0.6563261
0,267,0.06594373,0.65648955
0,270,0.062089246,0.6566434
0,273,0.058461435,0.6567883
0,276,0.055046923,0.6569247
0,279,0.051833104,0.6570532
0,282,0.048808042,0.6571741
0,285,0.04596067,0.657288
0,288,0.043280434,0.65739524
0,291,0.04075746,0.6574962
0,294,0.038382515,0.65759134
0,297,0.036146816,0.6576809
0,300,0.034042194,0.65776527
0,303,0.032060917,0.6578447
0,306,0.030195687,0.6579195
0,309,0.028439721,0.65799004
0,312,0.026786549,0.6580564
0,315,0.025230128,0.6581189
0,318,0.023764785,0.6581778
0,321,0.022385135,0.6582332
0,324,0.021086175,0.6582855
0,327,0.019863144,0.6583347
0,330,0.018711574,0.65838104
0,333,0.017627297,0.65842474
0,336,0.016606338,0.65846586
0,339,0.015644995,0.6585046
0,342,0.014739773,0.65854114
0,345,0.013887367,0.65857553
0,348,0.013084702,0.65860796
0,351,0.012328848,0.6586385
0,354,0.011617063,0.65866727
0,357,0.010946777,0.6586943
0,360,0.010315546,0.6587199
