"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,19.283709,0.07644923
0,6,17.539791,0.119353436
0,9,15.719389,0.15664838
0,12,14.353778,0.19081202
0,15,13.245431,0.22246659
0,18,12.278037,0.2518859
0,21,11.403076,0.27925655
0,24,10.599845,0.30473334
0,27,9.858022,0.32845363
0,30,9.171176,0.3505429
0,33,8.534346,0.37111682
0,36,7.943552,0.39028227
0,39,7.39528,0.40813848
0,42,6.8862844,0.42477745
0,45,6.4135957,0.44028458
0,48,5.974535,0.4547392
0,51,5.5666533,0.46821487
0,54,5.187657,0.48077992
0,57,4.8354106,0.4924978
0,60,4.5079575,0.50342745
0,63,4.203498,0.51362354
0,66,3.9203608,0.523137
0,69,3.6569955,0.5320148
0,72,3.4119687,0.54030097
0,75,3.1839592,0.54803616
0,78,2.9717379,0.5552582
0,81,2.7741728,0.5620023
0,84,2.590216,0.5683011
0,87,2.4188955,0.57418495
0,90,2.2593124,0.5796822
0,93,2.1106324,0.58481896
0,96,1.9720832,0.58961964
0,99,1.8429487,0.5941071
0,102,1.722566,0.5983023
0,105,1.6103206,0.60222495
0,108,1.5056424,0.6058934
0,111,1.4080027,0.6093246
0,114,1.3169113,0.61253434
0,117,1.2319131,0.6155374
0,120,1.1525859,0.61834764
0,123,1.0785377,0.6209777
0,126,1.0094055,0.62343955
0,129,0.94485086,0.6257443
0,132,0.8845608,0.6279022
0,135,0.82824326,0.62992305
0,138,0.7756271,0.6318157
0,141,0.7264609,0.6335886
0,144,0.6805096,0.63524956
0,147,0.63755673,0.63680583
0,150,0.5973989,0.6382643
0,153,0.55984885,0.6396312
0,156,0.52473104,0.64091253
0,159,0.4918833,0.64211375
0,162,0.4611535,0.64324
0,165,0.4324012,0.6442961
0,168,0.4054944,0.6452866
0,171,0.38031113,0.6462157
0,174,0.3567371,0.6470872
0,177,0.33466625,0.64790493
0,180,0.31399968,0.64867216
0,183,0.29464504,0.6493922
0,186,0.27651665,0.650068
0,189,0.25953424,0.65070224
0,192,0.24362329,0.6512977
0,195,0.22871396,0.6518568
0,198,0.21474148,0.65238166
0,201,0.20164497,0.65287465
0,204,0.1893681,0.6533376
0,207,0.17785782,0.6537724
0,210,0.16706502,0.6541809
0,213,0.15694357,0.6545646
0,216,0.14745057,0.6549252
0,219,0.13854586,0.655264
0,222,0.13019197,0.65558237
0,225,0.12235388,0.6558816
0,228,0.11499885,0.65616286
0,231,0.10809633,0.65642726
0,234,0.10161767,0.65667576
0,237,0.095536225,0.65690947
0,240,0.08982692,0.65712917
0,243,0.08446645,0.6573358
0,246,0.0794329,0.6575301
0,249,0.07470588,0.6577129
0,252,0.07026621,0.6578848
0,255,0.066096015,0.6580465
0,258,0.062178534,0.6581986
0,261,0.058498077,0.6583417
0,264,0.055039972,0.65847635
0,267,0.051790453,0.6586031
0,270,0.04873667,0.65872234
0,273,0.045866534,0.6588345
0,276,0.043168783,0.6589402
