"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,1,12.734986,0.03870877,7.343689E-12
0,2,14.783406,0.058613792,1.247745E-10
0,3,15.363413,0.07410521,4.844236E-10
0,4,15.419749,0.08824892,1.154575E-09
0,5,15.189157,0.10140874,2.1773043E-09
0,6,14.8247595,0.113860674,3.582512E-09
0,7,14.411543,0.1257892,5.3919647E-09
0,8,13.992008,0.13730617,7.621569E-09
0,9,13.585661,0.14847961,1.0282862E-08
0,10,13.200071,0.15935202,1.3384015E-08
0,11,12.836927,0.16995104,1.6930532E-08
0,12,12.495227,0.18029554,2.0925752E-08
0,13,12.172921,0.19039921,2.5371234E-08
0,14,11.86767,0.20027247,3.0267042E-08
0,15,11.577277,0.20992374,3.5612004E-08
0,16,11.299846,0.21936026,4.1403894E-08
0,17,11.033771,0.2285884,4.7639602E-08
0,18,10.777705,0.23761389,5.431528E-08
0,19,10.530549,0.24644199,6.142644E-08
0,20,10.291424,0.25507772,6.8968085E-08
0,21,10.059623,0.26352575,7.6934775E-08
0,22,9.834585,0.27179074,8.532075E-08
0,23,9.615826,0.27987698,9.411991E-08
0,24,9.402951,0.28778866,1.0332599E-07
0,25,9.19561,0.2955298,1.1293248E-07
0,26,8.993519,0.30310434,1.2293278E-07
0,27,8.796424,0.310516,1.3332011E-07
0,28,8.604127,0.31776848,1.4408774E-07
0,29,8.416447,0.32486534,1.5522879E-07
0,30,8.233224,0.33181012,1.6673643E-07
0,31,8.054305,0.3386062,1.7860381E-07
0,32,7.879554,0.3452569,1.9082411E-07
0,33,7.708834,0.3517654,2.0339056E-07
0,34,7.5420303,0.35813487,2.162964E-07
0,35,7.3790317,0.3643684,2.2953498E-07
0,36,7.2197385,0.37046894,2.4309966E-07
0,37,7.064053,0.37643945,2.5698398E-07
0,38,6.9118824,0.3822828,2.7118145E-07
