"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,15.363798,0.074091956
0,6,14.825258,0.113841
0,9,13.586282,0.14845489
0,12,12.495956,0.1802666
0,15,11.578098,0.20989124
0,18,10.778604,0.2375784
0,21,10.060585,0.2634878
0,24,9.403966,0.28774866
0,27,8.797479,0.31047437
0,30,8.23431,0.3317672
0,33,7.7099442,0.35172153
0,36,7.2208643,0.37042442
0,39,6.7642694,0.3879568
0,42,6.3377166,0.40439403
0,45,5.939047,0.41980636
0,48,5.566316,0.43425933
0,51,5.217741,0.4478142
0,54,4.891681,0.46052814
0,57,4.586622,0.47245467
0,60,4.301159,0.48364368
0,63,4.0339847,0.4941419
0,66,3.783885,0.50399303
0,69,3.5497298,0.5132379
0,72,3.3304682,0.5219147
0,75,3.1251214,0.53005916
0,78,2.932778,0.5377047
0,81,2.7525873,0.5448826
0,84,2.583757,0.5516221
0,87,2.4255478,0.55795056
0,90,2.2772706,0.5638936
0,93,2.1382833,0.5694753
0,96,2.007986,0.574718
0,99,1.8858199,0.5796428
0,102,1.7712626,0.58426934
0,105,1.6638263,0.58861613
0,108,1.5630565,0.5927003
0,111,1.4685266,0.59653825
0,114,1.3798406,0.6001449
0,117,1.2966264,0.60353464
0,120,1.2185383,0.60672075
0,123,1.1452515,0.60971564
0,126,1.0764639,0.61253107
0,129,1.0118921,0.6151779
0,132,0.95127136,0.61766654
0,135,0.89435405,0.62000656
0,138,0.84090847,0.6222069
0,141,0.7907177,0.6242763
0,144,0.7435791,0.6262224
0,147,0.6993026,0.62805283
0,150,0.6577106,0.6297746
0,153,0.6186367,0.6313942
0,156,0.5819251,0.6329178
0,159,0.5474299,0.63435125
0,162,0.5150145,0.6356999
0,165,0.48455092,0.6369689
0,168,0.45591912,0.63816303
0,171,0.42900684,0.63928676
0,174,0.40370864,0.64034426
0,177,0.37992594,0.64133954
0,180,0.3575661,0.6422763
0,183,0.33654243,0.643158
0,186,0.31677353,0.643988
0,189,0.29818323,0.6447693
0,192,0.2806999,0.6455049
0,195,0.26425654,0.6461974
0,198,0.2487901,0.6468494
0,201,0.23424163,0.6474633
0,204,0.22055566,0.64804137
0,207,0.20768026,0.64858574
0,210,0.19556655,0.64909834
0,213,0.18416882,0.6495811
0,216,0.173444,0.65003574
0,219,0.1633518,0.650464
0,222,0.1538543,0.65086734
0,225,0.14491594,0.65124726
0,228,0.13650328,0.6516051
0,231,0.12858498,0.65194225
0,234,0.12113154,0.6522599
