"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,29.152014,0.057304345,1.6548565E-10
0,6,30.384157,0.09983238,2.2414364E-09
0,9,28.05944,0.13530241,7.698129E-09
0,12,25.76576,0.16759005,1.702143E-08
0,15,23.834995,0.19762242,3.0379635E-08
0,18,22.172823,0.22570886,4.778477E-08
0,21,20.692297,0.2520193,6.9159306E-08
0,24,19.343998,0.27668276,9.437271E-08
0,27,18.100853,0.29981044,1.2326406E-07
0,30,16.947248,0.3215023,1.5565656E-07
0,33,15.873009,0.34185037,1.9136715E-07
0,36,14.870748,0.3609398,2.3021244E-07
0,39,13.934615,0.37884998,2.7201278E-07
0,42,13.059601,0.3956549,3.165946E-07
0,45,12.241336,0.41142383,3.637916E-07
0,48,11.475915,0.42622158,4.1344575E-07
0,51,10.759754,0.44010893,4.654074E-07
0,54,10.089531,0.45314267,5.195356E-07
0,57,9.462177,0.4653761,5.756976E-07
0,60,8.874862,0.47685918,6.337687E-07
0,63,8.324959,0.48763865,6.9363205E-07
0,66,7.8100176,0.4977583,7.5517795E-07
0,69,7.3277464,0.50725925,8.1830404E-07
0,72,6.876005,0.5161799,8.829145E-07
0,75,6.4528055,0.52455634,9.489198E-07
0,78,6.0562963,0.53242236,1.0162364E-06
0,81,5.6847486,0.53980964,1.0847864E-06
0,84,5.3365455,0.54674774,1.1544975E-06
0,87,5.010177,0.5532645,1.2253018E-06
0,90,4.7042375,0.55938596,1.2971373E-06
0,93,4.4174137,0.5651365,1.3699456E-06
0,96,4.1484776,0.570539,1.4436732E-06
0,99,3.8962855,0.575615,1.5182708E-06
0,102,3.6597655,0.58038443,1.5936928E-06
0,105,3.4379187,0.5848662,1.6698975E-06
0,108,3.229811,0.58907807,1.7468473E-06
0,111,3.0345695,0.5930364,1.8245076E-06
0,114,2.8513794,0.5967568,1.9028479E-06
0,117,2.6794782,0.6002539,1.9818403E-06
0,120,2.5181534,0.6035412,2.0614607E-06
0,123,2.366738,0.6066316,2.1416881E-06
0,126,2.2246087,0.60953707,2.2225042E-06
0,129,2.0911825,0.6122688,2.3038942E-06
0,132,1.9659134,0.61483747,2.385846E-06
0,135,1.848292,0.6172529,2.4683504E-06
0,138,1.7378403,0.61952436,2.5514012E-06
0,141,1.6341116,0.62166065,2.6349949E-06
0,144,1.536688,0.62366986,2.7191306E-06
0,147,1.4451773,0.62555975,2.8038107E-06
0,150,1.3592131,0.6273375,2.88904E-06
0,153,1.2784519,0.62900984,2.9748257E-06
0,156,1.2025723,0.6305831,3.0611784E-06
0,159,1.1312732,0.6320633,3.1481109E-06
0,162,1.0642722,0.63345605,3.2356384E-06
0,165,1.0013051,0.6347665,3.3237793E-06
0,168,0.9421243,0.6359997,3.4125546E-06
0,171,0.8864976,0.6371601,3.5019875E-06
0,174,0.83420736,0.63825226,3.5921041E-06
0,177,0.7850496,0.63928014,3.682933E-06
0,180,0.73883355,0.6402476,3.7745058E-06
0,183,0.69537985,0.64115816,3.866856E-06
0,186,0.6545201,0.64201534,3.9600204E-06
0,189,0.6160977,0.64282227,4.0540376E-06
0,192,0.57996356,0.6435819,4.1489493E-06
0,195,0.5459792,0.64429706,4.2448E-06
0,198,0.5140151,0.6449704,4.3416367E-06
0,201,0.48394752,0.64560443,4.439508E-06
0,204,0.45566356,0.64620143,4.538466E-06
0,207,0.42905477,0.6467636,4.6385658E-06
0,210,0.40402007,0.64729303,4.7398635E-06
0,213,0.38046557,0.64779156,4.842419E-06
0,216,0.3583019,0.64826113,4.9462947E-06
0,219,0.33744594,0.6487034,5.0515546E-06
0,222,0.31781945,0.6491199,5.158266E-06
0,225,0.29934862,0.6495123,5.266498E-06
0,228,0.28196487,0.64988184,5.3763233E-06
0,231,0.2656029,0.65023,5.4878165E-06
0,234,0.25020176,0.650558,5.6010535E-06
0,237,0.23570457,0.6508669,5.7161146E-06
0,240,0.22205701,0.65115803,5.833081E-06
0,243,0.20920901,0.65143234,5.952037E-06
0,246,0.1971129,0.6516907,6.0730695E-06
0,249,0.18572398,0.65193427,6.1962664E-06
0,252,0.17500062,0.6521637,6.3217203E-06
0,255,0.16490324,0.65237993,6.449524E-06
0,258,0.1553949,0.65258366,6.579773E-06
0,261,0.1464409,0.6527757,6.7125657E-06
0,264,0.13800833,0.65295666,6.8480026E-06
0,267,0.13006671,0.6531272,6.9861862E-06
0,270,0.12258696,0.65328795,7.127221E-06
0,273,0.11554187,0.65343946,7.271214E-06
0,276,0.10890602,0.6535823,7.418275E-06
0,279,0.102655225,0.65371686,7.568514E-06
0,282,0.09676697,0.65384376,7.722044E-06
0,285,0.09121999,0.6539634,7.878982E-06
0,288,0.085994214,0.65407616,8.039443E-06
0,291,0.08107097,0.6541825,8.2035485E-06
0,294,0.07643246,0.65428275,8.371418E-06
0,297,0.07206207,0.6543772,8.543176E-06
0,300,0.06794419,0.65446633,8.7189455E-06
0,303,0.064064,0.6545504,8.898855E-06
0,306,0.06040775,0.6546296,9.083033E-06
0,309,0.056962322,0.6547043,9.27161E-06
0,312,0.053715426,0.6547747,9.464718E-06
0,315,0.050655577,0.6548411,9.66249E-06
0,318,0.047771838,0.6549038,9.865063E-06
0,321,0.045054004,0.6549629,1.0072572E-05
0,324,0.042492457,0.6550186,1.0285159E-05
0,327,0.04007808,0.65507114,1.0502962E-05
0,330,0.03780241,0.65512073,1.0726123E-05
0,333,0.035657357,0.65516746,1.0954786E-05
0,336,0.033635374,0.65521157,1.1189097E-05
0,339,0.031729355,0.6552532,1.1429199E-05
0,342,0.029932562,0.65529245,1.1675243E-05
0,345,0.028238717,0.65532947,1.19273745E-05
0,348,0.026641857,0.6553644,1.2185746E-05
0,351,0.02513637,0.65539736,1.2450508E-05
0,354,0.023717014,0.6554284,1.2721813E-05
0,357,0.022378799,0.6554578,1.2999815E-05
0,360,0.021117054,0.65548545,1.328467E-05
0,363,0.019927384,0.65551156,1.3576531E-05
0,366,0.018805621,0.65553623,1.3875559E-05
0,369,0.017747885,0.6555595,1.4181908E-05
0,372,0.016750474,0.6555814,1.4495739E-05
0,375,0.01580992,0.65560216,1.4817213E-05
0,378,0.014922971,0.6556217,1.5146488E-05
0,381,0.014086534,0.6556401,1.5483727E-05
0,384,0.013297722,0.6556576,1.5829093E-05
0,387,0.0125538,0.655674,1.618275E-05
0,390,0.011852185,0.65568954,1.6544858E-05
0,393,0.011190468,0.6557042,1.6915585E-05
0,396,0.010566353,0.655718,1.7295095E-05
0,399,0.009977688,0.6557311,1.7683555E-05
0,402,0.009422449,0.6557434,1.808113E-05
0,405,0.008898716,0.65575504,1.8487986E-05
0,408,0.008404698,0.65576607,1.8904293E-05
0,411,0.0079386905,0.65577644,1.9330217E-05
0,414,0.00749909,0.6557863,1.9765928E-05
0,417,0.007084397,0.6557955,2.0211592E-05
0,420,0.006693182,0.6558043,2.066738E-05
0,423,0.0063241096,0.6558125,2.1133459E-05
0,426,0.0059759174,0.65582037,2.1610002E-05
0,429,0.00564741,0.6558277,2.2097176E-05
0,432,0.005337473,0.6558347,2.2595152E-05
0,435,0.0050450433,0.6558413,2.3104098E-05
0,438,0.004769124,0.6558475,2.3624187E-05
0,441,0.0045087785,0.6558534,2.4155588E-05
0,444,0.0042631165,0.65585893,2.4698473E-05
0,447,0.004031307,0.6558642,2.5253008E-05
0,450,0.0038125603,0.6558692,2.5819367E-05
0,453,0.0036061327,0.6558739,2.639772E-05
0,456,0.003411328,0.6558783,2.6988235E-05
0,459,0.0032274825,0.65588254,2.7591082E-05
0,462,0.0030539758,0.6558865,2.8206434E-05
0,465,0.0028902215,0.6558902,2.8834456E-05
0,468,0.0027356641,0.6558938,2.9475323E-05
0,471,0.0025897857,0.6558972,3.0129198E-05
0,474,0.0024520918,0.65590036,3.0796255E-05
0,477,0.0023221185,0.6559034,3.147666E-05
0,480,0.0021994303,0.6559062,3.2170577E-05
0,483,0.0020836126,0.65590894,3.2878183E-05
0,486,0.0019742784,0.6559115,3.3599637E-05
0,489,0.00187106,0.6559139,3.4335113E-05
0,492,0.0017736108,0.6559162,3.508477E-05
0,495,0.0016816064,0.65591836,3.5848778E-05
0,498,0.0015947378,0.65592045,3.6627305E-05
0,501,0.0015127149,0.65592235,3.742051E-05
0,504,0.001435265,0.6559242,3.8228558E-05
0,507,0.0013621284,0.655926,3.9051618E-05
0,510,0.0012930636,0.65592766,3.9889845E-05
0,513,0.0012278398,0.6559292,4.074341E-05
0,516,0.0011662404,0.6559307,4.1612468E-05
0,519,0.0011080619,0.6559321,4.249718E-05
0,522,0.0010531107,0.6559335,4.339771E-05
0,525,0.0010012058,0.65593475,4.4314216E-05
0,528,0.0009521755,0.655936,4.5246856E-05
0,531,0.0009058577,0.65593714,4.6195786E-05
0,534,0.00086210074,0.6559382,4.7161167E-05
0,537,0.0008207599,0.6559393,4.814315E-05
0,540,0.00078169967,0.6559403,4.9141894E-05
0,543,0.0007447923,0.6559412,5.015755E-05
0,546,0.00070991635,0.6559421,5.1190276E-05
0,549,0.0006769585,0.655943,5.224022E-05
0,552,0.00064581085,0.65594375,5.3307533E-05
0,555,0.0006163718,0.6559445,5.4392367E-05
0,558,0.0005885461,0.6559453,5.5494875E-05
0,561,0.00056224305,0.655946,5.6615198E-05
0,564,0.00053737755,0.6559467,5.775349E-05
0,567,0.0005138694,0.6559473,5.8909893E-05
0,570,0.0004916424,0.6559479,6.0084552E-05
0,573,0.00047062532,0.6559485,6.127761E-05
0,576,0.00045075046,0.65594906,6.248922E-05
0,579,0.00043195402,0.6559496,6.371951E-05
0,582,0.0004141761,0.65595007,6.4968626E-05
0,585,0.00039735966,0.6559506,6.623672E-05
0,588,0.00038145145,0.655951,6.75239E-05
0,591,0.0003664008,0.6559515,6.8830326E-05
0,594,0.00035215996,0.6559519,7.015614E-05
0,597,0.00033868413,0.65595233,7.1501454E-05
0,600,0.00032593065,0.6559527,7.2866416E-05
0,603,0.00031385952,0.6559531,7.4251155E-05
0,606,0.00030243298,0.65595347,7.56558E-05
0,609,0.00029161517,0.6559538,7.7080476E-05
0,612,0.00028137257,0.6559541,7.852533E-05
0,615,0.0002716733,0.6559545,7.999047E-05
0,618,0.0002624873,0.6559548,8.147602E-05
0,621,0.00025378633,0.6559551,8.298212E-05
0,624,0.00024554358,0.6559554,8.450889E-05
0,627,0.00023773384,0.6559556,8.605643E-05
0,630,0.00023033327,0.6559559,8.762489E-05
0,633,0.00022331935,0.65595615,8.9214365E-05
0,636,0.00021667092,0.65595645,9.0824986E-05
0,639,0.00021036786,0.6559567,9.245687E-05
0,642,0.00020439125,0.65595686,9.411012E-05
0,645,0.0001987233,0.6559571,9.578485E-05
0,648,0.000193347,0.65595734,9.748119E-05
0,651,0.00018824659,0.6559576,9.9199235E-05
0,654,0.00018340691,0.65595776,0.00010093909
0,657,0.00017881379,0.65595794,0.00010270088
0,660,0.00017445385,0.6559582,0.00010448469
0,663,0.0001703144,0.65595835,0.00010629063
0,666,0.00016638348,0.65595853,0.00010811882
0,669,0.00016264984,0.6559587,0.00010996934
0,672,0.00015910278,0.6559589,0.000111842295
0,675,0.00015573236,0.65595907,0.0001137378
0,678,0.00015252898,0.65595925,0.00011565593
0,681,0.00014948365,0.65595937,0.000117596785
0,684,0.00014658776,0.65595955,0.00011956047
0,687,0.00014383372,0.65595967,0.00012154708
0,690,0.00014121368,0.65595984,0.00012355669
0,693,0.00013872034,0.65596,0.00012558939
0,696,0.00013634683,0.65596014,0.00012764528
0,699,0.00013408734,0.65596026,0.00012972445
0,702,0.00013193543,0.65596044,0.00013182696
0,705,0.00012988529,0.65596056,0.00013395291
0,708,0.00012793146,0.6559607,0.00013610239
0,711,0.00012606928,0.6559608,0.00013827547
0,714,0.00012429367,0.655961,0.00014047224
0,717,0.00012260005,0.6559611,0.00014269276
0,720,0.00012098407,0.6559612,0.0001449371
0,723,0.000119441924,0.65596133,0.00014720537
0,726,0.00011796965,0.65596145,0.00014949762
0,729,0.00011656359,0.6559616,0.00015181392
0,732,0.00011522034,0.6559617,0.00015415433
0,735,0.00011393675,0.6559618,0.00015651893
0,738,0.000112709706,0.65596193,0.0001589078
0,741,0.000111536276,0.65596205,0.00016132099
