"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,30.95649,0.05616828,1.7348738E-10
0,6,31.15815,0.09805408,2.2946285E-09
0,9,28.368103,0.13311104,7.829575E-09
0,12,25.962564,0.16509828,1.7265021E-08
0,15,24.02927,0.19489342,3.0770995E-08
0,18,22.38622,0.22279164,4.8360686E-08
0,21,20.923574,0.2489567,6.995725E-08
0,24,19.587715,0.27351242,9.54306E-08
0,27,18.352524,0.29656532,1.2462014E-07
0,30,17.203484,0.3182114,1.5734949E-07
0,33,16.131403,0.338539,1.934359E-07
0,36,15.129526,0.35763004,2.3269624E-07
0,39,14.192398,0.375561,2.74951E-07
0,42,13.3153305,0.39240336,3.2002666E-07
0,45,12.494157,0.40822423,3.6775708E-07
0,48,11.72511,0.42308632,4.179841E-07
0,51,11.004735,0.43704858,4.705579E-07
0,54,10.3298235,0.4501662,5.2533716E-07
0,57,9.697399,0.4624911,5.821889E-07
0,60,9.104701,0.4740718,6.409878E-07
0,63,8.549157,0.484954,7.0161656E-07
0,66,8.02837,0.4951804,7.63965E-07
0,69,7.5400996,0.5047912,8.279299E-07
0,72,7.0822563,0.513824,8.9341484E-07
0,75,6.652888,0.52231413,9.603297E-07
0,78,6.2501726,0.5302947,1.0285898E-06
0,81,5.872409,0.53779685,1.0981169E-06
0,84,5.5180078,0.54484963,1.1688375E-06
0,87,5.185485,0.55148053,1.2406831E-06
0,90,4.8734517,0.5577151,1.3135906E-06
0,93,4.5806117,0.5635775,1.3875011E-06
0,96,4.3057528,0.5690902,1.4623602E-06
0,99,4.047741,0.5742745,1.5381174E-06
0,102,3.805517,0.57915026,1.6147268E-06
0,105,3.5780897,0.58373606,1.6921459E-06
0,108,3.3645327,0.5880496,1.7703361E-06
0,111,3.1639783,0.5921071,1.8492624E-06
0,114,2.9756155,0.59592414,1.9288932E-06
0,117,2.7986853,0.59951514,2.0092004E-06
0,120,2.632477,0.60289377,2.090159E-06
0,123,2.4763265,0.60607266,2.1717474E-06
0,126,2.3296099,0.60906386,2.2539468E-06
0,129,2.1917462,0.61187863,2.3367422E-06
0,132,2.062187,0.6145276,2.4201204E-06
0,135,1.9404224,0.6170205,2.5040724E-06
0,138,1.8259721,0.6193668,2.5885913E-06
0,141,1.7183865,0.6215753,2.673673E-06
0,144,1.6172465,0.6236541,2.7593169E-06
0,147,1.5221561,0.625611,2.845525E-06
0,150,1.4327476,0.62745327,2.9323012E-06
0,153,1.3486738,0.62918764,3.0196536E-06
0,156,1.269611,0.6308205,3.107592E-06
0,159,1.1952541,0.63235795,3.196129E-06
0,162,1.1253184,0.63380563,3.2852806E-06
0,165,1.0595356,0.63516885,3.3750646E-06
0,168,0.99765456,0.63645256,3.465502E-06
0,171,0.9394399,0.63766146,3.5566165E-06
0,174,0.8846698,0.6388,3.6484344E-06
0,177,0.8331376,0.6398724,3.740984E-06
0,180,0.7846477,0.6408824,3.834298E-06
