"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,34.955776,0.068487704
0,6,31.981785,0.10736859
0,9,28.857664,0.1415173
0,12,26.52057,0.1730397
0,15,24.640844,0.20248403
0,18,23.006525,0.23007677
0,21,21.525995,0.25596294
0,24,20.160057,0.28025842
0,27,18.89021,0.3030657
0,30,17.70557,0.32447812
0,33,16.59868,0.34458226
0,36,15.563448,0.36345893
0,39,14.594702,0.38118362
0,42,13.687878,0.39782724
0,45,12.838808,0.4134562
0,48,12.043671,0.4281328
0,51,11.29892,0.44191563
0,54,10.601263,0.4548595
0,57,9.947636,0.46701604
0,60,9.335182,0.47843352
0,63,8.761236,0.48915744
0,66,8.223312,0.4992303
0,69,7.7190967,0.508692
0,72,7.246422,0.51758015
0,75,6.8032694,0.5259297
0,78,6.387748,0.53377366
0,81,5.9980903,0.5411431
0,84,5.6326466,0.5480671
0,87,5.289875,0.55457276
0,90,4.968337,0.56068575
0,93,4.666687,0.56643003
0,96,4.3836675,0.57182807
0,99,4.118102,0.57690096
0,102,3.8688936,0.5816685
0,105,3.6350088,0.58614933
0,108,3.4154925,0.59036076
0,111,3.2094371,0.59431934
0,114,3.0160015,0.5980403
0,117,2.8343987,0.6015381
0,120,2.6638854,0.60482633
0,123,2.5037766,0.60791767
0,126,2.3534207,0.610824
0,129,2.2122169,0.6135565
0,132,2.0795963,0.61612576
0,135,1.9550292,0.61854154
0,138,1.8380188,0.62081313
0,141,1.7280984,0.6229492
0,144,1.6248327,0.6249579
0,147,1.5278105,0.626847
0,150,1.4366504,0.6286236
0,153,1.350991,0.6302945
0,156,1.2704955,0.63186604
0,159,1.1948488,0.6333441
0,162,1.1237535,0.63473445
0,165,1.0569333,0.6360423
0,168,0.9941263,0.6372725
0,171,0.9350896,0.63842976
0,174,0.87959313,0.63951844
0,177,0.8274221,0.64054257
0,180,0.7783749,0.64150614
0,183,0.7322617,0.64241266
0,186,0.6889056,0.6432656
0,189,0.6481389,0.64406806
0,192,0.60980594,0.64482313
0,195,0.5737594,0.6455336
0,198,0.5398614,0.6462022
0,201,0.5079827,0.64683133
0,204,0.47800145,0.6474233
0,207,0.449804,0.64798045
0,210,0.4232827,0.64850473
0,213,0.39833736,0.64899814
0,216,0.37487316,0.64946246
0,219,0.35280135,0.6498995
0,222,0.33203867,0.6503108
0,225,0.31250656,0.650698
0,228,0.2941317,0.65106237
0,231,0.27684462,0.6514054
0,234,0.2605807,0.6517282
0,237,0.24527869,0.65203214
0,240,0.23088129,0.6523182
0,243,0.21733463,0.6525875
0,246,0.20458797,0.652841
0,249,0.19259384,0.65307957
0,252,0.18130733,0.6533043
0,255,0.17068656,0.65351576
0,258,0.16069184,0.6537149
0,261,0.15128605,0.65390235
0,264,0.14243428,0.65407884
0,267,0.13410363,0.654245
0,270,0.12626329,0.6544015
0,273,0.118884124,0.6545488
0,276,0.11193893,0.6546875
0,279,0.10540197,0.6548181
0,282,0.09924911,0.65494114
