"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,3,30.83834,0.07093356,4.851127E-10
0,6,29.79109,0.110149905,3.5917236E-09
0,9,27.325129,0.14440812,1.0315462E-08
0,12,25.151274,0.17595497,2.1000998E-08
0,15,23.319695,0.20538095,3.5752283E-08
0,18,21.722881,0.23292306,5.4545232E-08
0,21,20.287659,0.25873232,7.728079E-08
0,24,18.97369,0.2829302,1.03815566E-07
0,27,17.758936,0.30562386,1.3398142E-07
0,30,16.630001,0.3269105,1.6759799E-07
0,33,15.577825,0.34687975,2.0448107E-07
0,36,14.595696,0.365615,2.4444768E-07
0,39,13.6780615,0.38319382,2.873194E-07
0,42,12.820166,0.3996887,3.3292451E-07
0,45,12.017812,0.41516754,3.8109897E-07
0,48,11.267186,0.42969385,4.3168717E-07
0,51,10.564776,0.44332713,4.8454206E-07
0,54,9.907352,0.45612308,5.395249E-07
0,57,9.29194,0.46813396,5.9650523E-07
0,60,8.715774,0.47940868,6.553608E-07
0,63,8.176268,0.48999313,7.159768E-07
0,66,7.6710134,0.4999302,7.7824586E-07
0,69,7.197776,0.50926024,8.4206744E-07
0,72,6.7544703,0.51802087,9.073476E-07
0,75,6.339148,0.52624744,9.739986E-07
0,78,5.949992,0.53397316,1.0419386E-06
0,81,5.5853047,0.541229,1.1110914E-06
0,84,5.243505,0.548044,1.1813859E-06
0,87,4.923116,0.55444556,1.2527562E-06
0,90,4.6227617,0.5604591,1.3251409E-06
0,93,4.341154,0.5661085,1.3984835E-06
0,96,4.0770926,0.5714163,1.4727316E-06
0,99,3.829455,0.57640356,1.5478369E-06
0,102,3.5971913,0.58108985,1.6237551E-06
0,105,3.3793232,0.58549374,1.7004459E-06
0,108,3.1749349,0.5896325,1.7778723E-06
0,111,2.9831712,0.5935224,1.8560013E-06
0,114,2.8032331,0.59717876,1.9348026E-06
0,117,2.6343732,0.6006157,2.0142504E-06
0,120,2.4758923,0.60384667,2.0943207E-06
0,123,2.3271375,0.6068842,2.1749936E-06
0,126,2.1874974,0.6097401,2.2562522E-06
0,129,2.0564008,0.6124254,2.3380824E-06
0,132,1.9333122,0.6149504,2.4204726E-06
0,135,1.817733,0.61732495,2.5034153E-06
0,138,1.7091923,0.6195581,2.5869044E-06
0,141,1.6072543,0.6216584,2.670938E-06
0,144,1.5115058,0.62363386,2.7555159E-06
0,147,1.4215635,0.6254921,2.8406412E-06
0,150,1.3370678,0.6272401,2.9263194E-06
0,153,1.2576811,0.6288846,3.0125593E-06
0,156,1.183089,0.6304318,3.099372E-06
0,159,1.1129951,0.6318875,3.186771E-06
0,162,1.0471239,0.6332572,3.2747728E-06
0,165,0.98521507,0.63454604,3.3633967E-06
0,168,0.9270263,0.63575894,3.4526645E-06
0,171,0.87232924,0.63690037,3.5426E-06
0,174,0.82091033,0.6379746,3.633231E-06
0,177,0.77256966,0.6389857,3.7245868E-06
0,180,0.7271188,0.6399374,3.816699E-06
0,183,0.6843825,0.64083326,3.9096035E-06
0,186,0.64419496,0.64167655,4.003337E-06
0,189,0.60640216,0.6424705,4.09794E-06
0,192,0.5708584,0.64321786,4.1934545E-06
0,195,0.53742784,0.64392155,4.289926E-06
0,198,0.5059826,0.6445842,4.387402E-06
0,201,0.4764027,0.64520806,4.4859335E-06
0,204,0.44857588,0.6457955,4.5855727E-06
0,207,0.42239618,0.6463487,4.6863756E-06
0,210,0.39776492,0.6468697,4.7883996E-06
0,213,0.37458864,0.6473604,4.891706E-06
0,216,0.3527804,0.6478225,4.996357E-06
0,219,0.33225793,0.6482578,5.1024185E-06
0,222,0.3129444,0.64866775,5.2099585E-06
0,225,0.29476753,0.64905393,5.3190483E-06
0,228,0.2776594,0.64941776,5.4297598E-06
0,231,0.2615563,0.6497604,5.542169E-06
0,234,0.24639827,0.6500833,5.6563545E-06
0,237,0.2321292,0.65038747,5.7723955E-06
0,240,0.21869607,0.65067405,5.890376E-06
0,243,0.20604937,0.65094405,6.0103803E-06
0,246,0.19414236,0.6511985,6.132496E-06
0,249,0.1829312,0.65143824,6.2568133E-06
0,252,0.17237477,0.65166414,6.383425E-06
0,255,0.16243422,0.65187705,6.5124245E-06
0,258,0.15307331,0.6520776,6.6439097E-06
0,261,0.14425768,0.65226674,6.7779793E-06
0,264,0.1359553,0.6524449,6.9147345E-06
0,267,0.12813585,0.65261286,7.054279E-06
0,270,0.12077094,0.6527712,7.1967193E-06
0,273,0.11383383,0.65292037,7.342162E-06
0,276,0.107299365,0.65306103,7.4907184E-06
0,279,0.101143956,0.6531936,7.642499E-06
0,282,0.09534532,0.6533186,7.797621E-06
0,285,0.0898826,0.6534364,7.956198E-06
0,288,0.084736064,0.65354747,8.118349E-06
0,291,0.079887286,0.6536522,8.284194E-06
0,294,0.07531881,0.65375096,8.453856E-06
0,297,0.07101428,0.653844,8.6274595E-06
0,300,0.0669583,0.6539318,8.805129E-06
0,303,0.06313635,0.6540145,8.986993E-06
0,306,0.059534825,0.6540926,9.173182E-06
0,309,0.05614086,0.65416616,9.3638255E-06
0,312,0.052942406,0.6542356,9.5590585E-06
0,315,0.049928065,0.65430105,9.759015E-06
0,318,0.047087163,0.65436274,9.963832E-06
0,321,0.04440962,0.654421,1.0173647E-05
0,324,0.041885953,0.65447587,1.03886E-05
0,327,0.039507248,0.65452766,1.0608832E-05
0,330,0.037265096,0.6545765,1.0834487E-05
0,333,0.0351516,0.65462255,1.1065707E-05
0,336,0.0331593,0.654666,1.130264E-05
0,339,0.031281207,0.654707,1.1545432E-05
0,342,0.0295107,0.6547457,1.1794232E-05
0,345,0.027841574,0.6547822,1.2049189E-05
0,348,0.026267976,0.6548166,1.2310454E-05
0,351,0.024784386,0.6548491,1.257818E-05
0,354,0.023385625,0.65487975,1.285252E-05
0,357,0.022066794,0.65490866,1.3133628E-05
0,360,0.020823302,0.65493596,1.3421661E-05
