"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,1,25.614471,0.036330223,7.342978E-12
0,2,29.836075,0.05596584,1.2516436E-10
0,3,31.051329,0.071321614,4.868815E-10
0,4,31.196863,0.08537104,1.16189E-09
0,5,30.754198,0.09846533,2.1930542E-09
0,6,30.034323,0.11086953,3.6108903E-09
0,7,29.210678,0.122762084,5.437658E-09
0,8,28.37061,0.13425164,7.689657E-09
0,9,27.554533,0.14540438,1.037874E-08
0,10,26.778542,0.15626173,1.3513327E-08
0,11,26.04661,0.1668506,1.7099127E-08
0,12,25.35702,0.17718926,2.1139629E-08
0,13,24.705824,0.18729092,2.56365E-08
0,14,24.088556,0.19716567,3.05899E-08
0,15,23.500938,0.2068217,3.599871E-08
0,16,22.93916,0.21626583,4.1860737E-08
0,17,22.400028,0.22550416,4.8172872E-08
0,18,21.880896,0.23454216,5.4931252E-08
0,19,21.379633,0.24338499,6.213139E-08
0,20,20.894518,0.25203744,6.9768255E-08
0,21,20.42412,0.26050404,7.783638E-08
0,22,19.9673,0.2687892,8.632993E-08
0,23,19.523067,0.27689707,9.524277E-08
0,24,19.090616,0.2848316,1.045685E-07
0,25,18.669287,0.29259673,1.1430056E-07
0,26,18.25853,0.3001962,1.2443223E-07
0,27,17.85789,0.30763367,1.3495672E-07
0,28,17.466948,0.31491274,1.4586712E-07
0,29,17.085337,0.3220369,1.571565E-07
0,30,16.712711,0.3290095,1.6881793E-07
0,31,16.34877,0.33583388,1.8084445E-07
0,32,15.993245,0.34251323,1.9322914E-07
0,33,15.645889,0.34905067,2.059651E-07
0,34,15.306469,0.35544935,2.190455E-07
0,35,14.974762,0.3617122,2.3246356E-07
0,36,14.650564,0.36784217,2.4621258E-07
0,37,14.3336735,0.37384215,2.6028593E-07
0,38,14.02391,0.3797149,2.7467703E-07
0,39,13.7210865,0.3854632,2.893795E-07
0,40,13.425038,0.3910897,3.0438687E-07
0,41,13.135594,0.39659703,3.19693E-07
0,42,12.8526,0.40198773,3.3529162E-07
0,43,12.575897,0.40726432,3.5117674E-07
0,44,12.305339,0.41242924,3.673424E-07
0,45,12.040779,0.41748494,3.837828E-07
0,46,11.782079,0.42243367,4.0049215E-07
0,47,11.5291,0.4272778,4.174649E-07
0,48,11.281712,0.43201956,4.3469544E-07
0,49,11.039783,0.43666112,4.521784E-07
0,50,10.803188,0.44120467,4.699085E-07
0,51,10.571806,0.44565228,4.878805E-07
0,52,10.345517,0.45000598,5.060894E-07
0,53,10.124204,0.45426786,5.2453015E-07
0,54,9.907755,0.4584398,5.4319787E-07
0,55,9.696059,0.4625238,5.6208773E-07
0,56,9.489008,0.46652168,5.8119514E-07
