"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Feces|Furosemide|Fraction excreted to feces"
0,0,0,0,0
0,2,29.656889,0.055701423,1.2485148E-10
0,4,30.963917,0.08486022,1.1567498E-09
0,6,29.79026,0.110144325,3.5915948E-09
0,8,28.133747,0.13333637,7.644166E-09
0,10,26.555698,0.15517512,1.3428083E-08
0,12,25.150291,0.17594694,2.100033E-08
0,14,23.89821,0.19578159,3.038203E-08
0,16,22.764761,0.21475285,4.1569905E-08
0,18,21.721764,0.23291233,5.4543452E-08
0,20,20.749937,0.2503022,6.927009E-08
0,22,19.836342,0.26695916,8.570861E-08
0,24,18.972466,0.28291655,1.0381197E-07
0,26,18.152523,0.2982056,1.2352929E-07
0,28,17.372326,0.31285548,1.4480736E-07
0,30,16.6287,0.32689375,1.6759178E-07
0,32,15.919152,0.34034663,1.9182785E-07
0,34,15.241632,0.35323915,2.1746115E-07
0,36,14.594362,0.36559507,2.4443796E-07
0,38,13.975739,0.3774371,2.727057E-07
0,40,13.384329,0.388787,3.0221312E-07
0,42,12.81882,0.39966553,3.329104E-07
0,44,12.277989,0.4100926,3.6474933E-07
0,46,11.7606945,0.42008716,3.9768338E-07
0,48,11.265848,0.42966747,4.3166773E-07
0,50,10.792426,0.43885097,4.6665917E-07
0,52,10.33946,0.44765434,5.026163E-07
0,54,9.9060335,0.45609352,5.3949907E-07
0,56,9.491279,0.46418387,5.772695E-07
0,58,9.094363,0.47194004,6.158907E-07
0,60,8.714496,0.47937602,6.5532777E-07
0,62,8.350917,0.48650527,6.95547E-07
0,64,8.002907,0.49334067,7.365162E-07
0,66,7.6697793,0.49989453,7.7820465E-07
0,68,7.3508787,0.5061786,8.2058284E-07
0,70,7.0455804,0.51220423,8.636227E-07
0,72,6.753288,0.51798224,9.072973E-07
0,74,6.4734306,0.523523,9.5158094E-07
0,76,6.2054634,0.5288363,9.964491E-07
0,78,5.9488664,0.5339318,1.0418784E-06
0,80,5.703142,0.5388185,1.0878464E-06
0,82,5.4678173,0.54350513,1.134332E-06
0,84,5.242439,0.54800004,1.1813148E-06
0,86,5.0265746,0.5523112,1.2287755E-06
0,88,4.819812,0.55644625,1.2766958E-06
0,90,4.621757,0.5604126,1.3250582E-06
0,92,4.432032,0.5642171,1.373846E-06
0,94,4.2502785,0.5678666,1.4230437E-06
0,96,4.0761504,0.5713675,1.4726363E-06
0,98,3.90932,0.5747259,1.5226099E-06
0,100,3.7494733,0.5779478,1.5729509E-06
0,102,3.5963094,0.5810388,1.6236468E-06
0,104,3.4495418,0.5840043,1.6746859E-06
0,106,3.3088965,0.5868495,1.7260571E-06
0,108,3.1741114,0.5895794,1.7777502E-06
0,110,3.0449362,0.5921987,1.8297552E-06
0,112,2.9211316,0.594712,1.8820633E-06
0,114,2.8024683,0.5971237,1.9346662E-06
0,116,2.6887274,0.5994379,1.987556E-06
0,118,2.5797002,0.6016586,2.0407258E-06
0,120,2.4751859,0.6037897,2.094169E-06
0,122,2.3749924,0.6058349,2.1478802E-06
0,124,2.278938,0.6077977,2.2018537E-06
0,126,2.1868467,0.6096814,2.2560853E-06
0,128,2.0985503,0.61148936,2.3105704E-06
0,130,2.0138903,0.6132246,2.365306E-06
0,132,1.9327121,0.6148902,2.4202893E-06
0,134,1.8548689,0.61648893,2.4755177E-06
0,136,1.7802217,0.61802346,2.5309898E-06
0,138,1.7086356,0.61949646,2.586704E-06
0,140,1.639982,0.6209105,2.6426603E-06
0,142,1.5741386,0.6222679,2.698858E-06
0,144,1.5109879,0.62357104,2.7552978E-06
0,146,1.4504166,0.624822,2.811981E-06
0,148,1.3923179,0.62602305,2.8689087E-06
0,150,1.3365884,0.6271761,2.9260834E-06
0,152,1.283129,0.6282832,2.9835076E-06
0,154,1.2318457,0.6293461,3.0411843E-06
0,156,1.1826481,0.6303667,3.0991173E-06
0,158,1.1354489,0.6313466,3.157311E-06
0,160,1.0901659,0.6322875,3.2157698E-06
0,162,1.0467196,0.633191,3.2744992E-06
0,164,1.0050335,0.6340586,3.333505E-06
0,166,0.9650353,0.63489175,3.3927934E-06
0,168,0.9266553,0.6356918,3.4523712E-06
0,170,0.8898265,0.6364601,3.5122457E-06
0,172,0.854485,0.63719803,3.5724252E-06
0,174,0.82056975,0.6379066,3.6329175E-06
0,176,0.788022,0.6385872,3.6937317E-06
0,178,0.75678545,0.63924086,3.7548775E-06
0,180,0.7268065,0.6398686,3.816365E-06
0,182,0.6980334,0.6404716,3.8782036E-06
0,184,0.6704167,0.64105076,3.940405E-06
0,186,0.6439093,0.64160705,4.002981E-06
0,188,0.6184656,0.6421414,4.065943E-06
0,190,0.5940421,0.64265466,4.1293033E-06
0,192,0.5705974,0.6431477,4.1930757E-06
0,194,0.5480915,0.6436213,4.2572733E-06
0,196,0.5264859,0.6440763,4.3219097E-06
0,198,0.5057443,0.64451337,4.3870004E-06
0,200,0.48583138,0.6449332,4.4525596E-06
0,202,0.46671346,0.6453366,4.518603E-06
0,204,0.44835833,0.6457242,4.585147E-06
0,206,0.43073505,0.64609647,4.6522077E-06
0,208,0.41381386,0.64645416,4.7198027E-06
0,210,0.39756644,0.64679784,4.787949E-06
0,212,0.38196552,0.64712805,4.856665E-06
0,214,0.3669849,0.6474453,4.925969E-06
0,216,0.35259953,0.6477502,4.99588E-06
0,218,0.33878547,0.6480431,5.066418E-06
0,220,0.32551956,0.64832455,5.137603E-06
0,222,0.31277975,0.648595,5.2094547E-06
0,224,0.30054492,0.6488549,5.281995E-06
0,226,0.2887947,0.6491046,5.3552453E-06
0,228,0.27750957,0.64934456,5.4292277E-06
0,230,0.26667094,0.6495752,5.503964E-06
0,232,0.2562608,0.64979684,5.5794776E-06
