"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.00042469386,6.2659944E-07
0,6,0.005112012,1.0083506E-05
0,9,0.017857047,4.271106E-05
0,12,0.040996313,0.000114798604
0,15,0.07555037,0.0002430318
0,18,0.121347725,0.00044286146
0,21,0.17739011,0.000727648
0,24,0.24215731,0.0011082025
0,27,0.31382242,0.0015925515
0,30,0.3904151,0.0021858786
0,33,0.469955,0.0028906253
0,36,0.55055064,0.003706697
0,39,0.63047516,0.0046317535
0,42,0.70821303,0.005661549
0,45,0.78248537,0.0067902757
0,48,0.8522569,0.008010906
0,51,0.9167324,0.0093155205
0,54,0.97534007,0.010695601
0,57,1.0277072,0.012142289
0,60,1.073635,0.013646603
0,63,1.1130736,0.015199614
0,66,1.1460985,0.016792605
0,69,1.1728851,0.01841718
0,72,1.1936862,0.02006536
0,75,1.2088138,0.02172964
0,78,1.2186215,0.023403034
0,81,1.2234914,0.025079101
0,84,1.2238207,0.026751962
0,87,1.2200134,0.028416283
0,90,1.21247,0.030067287
0,93,1.2015836,0.031700723
0,96,1.187732,0.033312846
0,99,1.1712755,0.03490041
0,102,1.1525568,0.036460582
0,105,1.1318961,0.037990987
0,108,1.1095923,0.039489612
0,111,1.0859212,0.040954806
0,114,1.0611356,0.04238525
0,117,1.0354656,0.043779925
0,120,1.0091197,0.045138072
0,123,0.98228586,0.04645918
0,126,0.9551322,0.04774294
0,129,0.927809,0.048989248
0,132,0.90044886,0.050198153
0,135,0.8731686,0.051369853
0,138,0.84606993,0.052504685
0,141,0.8192412,0.053603083
0,144,0.79275835,0.05466558
0,147,0.7666861,0.05569279
0,150,0.7410789,0.056685384
0,153,0.71598226,0.057644103
0,156,0.69143313,0.058569714
0,159,0.6674613,0.05946304
0,162,0.6440899,0.06032491
0,165,0.6213364,0.061156187
0,168,0.5992129,0.061957736
0,171,0.57772714,0.06273044
0,174,0.55688286,0.06347517
0,177,0.53668046,0.06419281
0,180,0.5171171,0.06488422
0,183,0.49818835,0.06555028
0,186,0.4798861,0.06619183
0,189,0.46220213,0.0668097
0,192,0.4451254,0.06740472
0,195,0.4286441,0.067977674
0,198,0.4127454,0.06852937
0,201,0.39741522,0.069060564
0,204,0.38263935,0.069571994
0,207,0.36840263,0.0700644
0,210,0.35469,0.07053848
0,213,0.34148568,0.07099492
0,216,0.32877436,0.07143437
0,219,0.3165403,0.07185748
0,222,0.30476803,0.07226487
0,225,0.29344216,0.07265712
0,228,0.28254735,0.07303483
0,231,0.27206877,0.073398545
0,234,0.26199153,0.0737488
0,237,0.25230128,0.074086115
0,240,0.24298382,0.07441098
0,243,0.23402542,0.07472389
0,246,0.22541267,0.075025305
0,249,0.21713251,0.075315654
0,252,0.20917231,0.07559538
0,255,0.20151979,0.07586489
0,258,0.19416311,0.07612457
0,261,0.18709077,0.076374814
0,264,0.18029167,0.07661597
0,267,0.1737551,0.0768484
0,270,0.16747071,0.07707244
0,273,0.16142856,0.077288404
0,276,0.15561901,0.07749662
0,279,0.15003283,0.07769737
0,282,0.14466114,0.07789094
0,285,0.13949537,0.078077614
0,288,0.1345273,0.07825765
0,291,0.129749,0.07843131
0,294,0.1251529,0.07859882
0,297,0.12073171,0.07876043
0,300,0.116478406,0.07891635
0,303,0.112386264,0.079066806
0,306,0.10844884,0.079212
0,309,0.104659945,0.07935213
0,312,0.10101363,0.07948739
0,315,0.097504206,0.07961796
0,318,0.0941262,0.07974401
0,321,0.090874374,0.07986572
0,324,0.0877437,0.079983234
0,327,0.08472937,0.08009673
0,330,0.08182676,0.080206335
0,333,0.07903144,0.08031221
0,336,0.07633917,0.08041448
0,339,0.07374588,0.08051328
0,342,0.07124767,0.08060875
0,345,0.068840794,0.080700986
0,348,0.066521674,0.080790125
0,351,0.06428688,0.08087628
0,354,0.06213311,0.08095955
0,357,0.06005722,0.08104004
0,360,0.058056172,0.08111786
0,363,0.056127064,0.08119309
0,366,0.054267123,0.08126584
0,369,0.052473687,0.08133618
0,372,0.050744187,0.08140421
0,375,0.049076147,0.081470005
0,378,0.047467258,0.08153365
0,381,0.045915242,0.08159521
0,384,0.04441793,0.08165477
0,387,0.04297322,0.0817124
0,390,0.041579176,0.08176816
0,393,0.04023385,0.08182212
0,396,0.038935408,0.08187434
0,399,0.037682094,0.081924886
0,402,0.03647223,0.081973806
0,405,0.035304192,0.08202116
0,408,0.034176417,0.08206701
0,411,0.03308742,0.0821114
0,414,0.03203577,0.08215438
0,417,0.031020088,0.082196
0,420,0.030039044,0.082236305
0,423,0.029091388,0.08227534
0,426,0.028175889,0.08231315
0,429,0.02729137,0.08234977
0,432,0.02643671,0.08238525
0,435,0.025610838,0.08241962
0,438,0.024812702,0.08245292
0,441,0.0240413,0.08248519
0,444,0.023295684,0.08251646
0,447,0.022574926,0.08254676
0,450,0.021878134,0.082576126
0,453,0.021204455,0.082604595
0,456,0.020553079,0.082632184
0,459,0.019923206,0.08265893
0,462,0.019314082,0.08268486
0,465,0.018724972,0.082710005
0,468,0.018155184,0.082734376
0,471,0.017604033,0.08275802
0,474,0.017070867,0.08278094
0,477,0.016555067,0.08280317
0,480,0.01605603,0.08282473
0,483,0.015573171,0.08284564
0,486,0.015105931,0.08286593
0,489,0.014653779,0.082885616
0,492,0.014216191,0.082904704
0,495,0.0137926685,0.08292323
0,498,0.013382731,0.082941204
0,501,0.012985919,0.08295865
0,504,0.012601783,0.08297558
0,507,0.0122298915,0.08299201
0,510,0.011869834,0.083007954
0,513,0.011521211,0.08302343
0,516,0.011183636,0.08303846
0,519,0.010856737,0.083053045
0,522,0.010540161,0.0830672
0,525,0.01023356,0.083080955
0,528,0.009936601,0.08309431
0,531,0.009648963,0.08310727
0,534,0.00937034,0.08311986
0,537,0.009100432,0.08313209
0,540,0.008838949,0.08314397
0,543,0.008585616,0.083155505
0,546,0.008340165,0.08316672
0,549,0.008102336,0.083177604
0,552,0.007871878,0.08318818
0,555,0.0076485546,0.083198465
0,558,0.0074321306,0.08320846
0,561,0.0072223814,0.083218165
0,564,0.0070190905,0.0832276
0,567,0.0068220496,0.08323677
0,570,0.0066310563,0.08324568
0,573,0.0064459145,0.083254345
0,576,0.006266437,0.08326277
0,579,0.0060924417,0.08327096
0,582,0.0059237527,0.083278924
0,585,0.005760199,0.08328667
0,588,0.0056016184,0.083294205
0,591,0.0054478515,0.08330153
0,594,0.0052987454,0.08330865
0,597,0.005154151,0.08331558
0,600,0.0050139264,0.083322324
0,603,0.0048779333,0.08332889
0,606,0.0047460375,0.083335266
0,609,0.00461811,0.08334148
0,612,0.0044940263,0.08334752
0,615,0.004373665,0.08335341
0,618,0.0042569092,0.08335913
0,621,0.004143647,0.0833647
0,624,0.0040337685,0.08337013
0,627,0.0039271684,0.08337541
0,630,0.003823744,0.08338056
0,633,0.0037233972,0.083385564
0,636,0.0036260323,0.08339044
0,639,0.0035315568,0.08339519
0,642,0.0034398811,0.08339982
0,645,0.003350919,0.083404325
0,648,0.003264587,0.08340872
0,651,0.0031808035,0.083413
0,654,0.0030994904,0.08341717
0,657,0.0030205722,0.08342123
0,660,0.0029439752,0.083425194
0,663,0.0028696281,0.08342905
0,666,0.0027974627,0.08343282
0,669,0.0027274122,0.08343649
0,672,0.002659412,0.08344007
0,675,0.0025934,0.08344356
0,678,0.0025293157,0.083446965
0,681,0.0024671007,0.08345029
0,684,0.0024066982,0.08345352
0,687,0.0023480535,0.08345669
0,690,0.0022911138,0.08345977
0,693,0.0022358273,0.083462775
0,696,0.0021821444,0.08346572
