"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,6,0.0049060285,9.632641E-06
0,12,0.039296385,0.00010945361
0,18,0.11655258,0.00042275916
0,24,0.23323059,0.0010599451
0,30,0.3771206,0.0020950953
0,36,0.5333334,0.0035601906
0,42,0.6879554,0.0054487037
0,48,0.83004445,0.0077243242
0,54,0.9522844,0.01033129
0,60,1.050748,0.013203698
0,66,1.1242441,0.01627297
0,72,1.1735435,0.019473067
0,78,1.2006872,0.022743814
0,84,1.208422,0.026032705
0,90,1.1997849,0.02929561
0,96,1.1778145,0.0324967
0,102,1.1453696,0.03560791
0,108,1.1050249,0.038608156
0,114,1.0590194,0.041482385
0,120,1.0092466,0.044220667
0,126,0.95727414,0.046817265
0,132,0.9043694,0.049269836
0,138,0.8515321,0.051578708
0,144,0.79953146,0.053746283
0,150,0.7489437,0.055776484
0,156,0.7001851,0.057674352
0,162,0.65354174,0.059445668
0,168,0.60919476,0.06109671
0,174,0.5672434,0.062634
0,180,0.5277232,0.06406416
0,186,0.49062124,0.06539375
0,192,0.45588848,0.06662921
0,198,0.42344996,0.06777677
0,204,0.39321277,0.06884239
0,210,0.36507216,0.069831766
0,216,0.33891657,0.070750274
0,222,0.31463128,0.071602985
0,228,0.2921012,0.07239465
0,234,0.27121297,0.07312972
0,240,0.25185648,0.07381235
0,246,0.23392582,0.0744464
0,252,0.21732001,0.07503546
0,258,0.20194344,0.07558285
0,264,0.18770604,0.07609167
0,270,0.17452331,0.07656476
0,276,0.16231628,0.077004775
0,282,0.15101138,0.07741416
0,288,0.14054023,0.07779517
0,294,0.13083936,0.078149885
0,300,0.121850014,0.07848024
0,306,0.113517806,0.07878802
0,312,0.105792515,0.07907486
0,318,0.09862776,0.079342276
0,324,0.091980755,0.07959168
0,330,0.08581205,0.07982436
0,336,0.08008526,0.08004151
0,342,0.07476688,0.08024426
0,348,0.06982602,0.08043361
0,354,0.06523424,0.080610506
0,360,0.060965315,0.080775835
0,366,0.056995116,0.0809304
0,372,0.053301394,0.081074946
0,378,0.049863648,0.08121017
0,384,0.04666298,0.08133672
0,390,0.043681968,0.08145519
0,396,0.04090457,0.08156613
0,402,0.038315948,0.081670046
0,408,0.035902474,0.08176742
0,414,0.033651475,0.08185869
0,420,0.03155133,0.08194426
0,426,0.029591236,0.082024515
0,432,0.02776126,0.08209981
0,438,0.026052201,0.08217047
0,444,0.02445556,0.082236804
0,450,0.022963485,0.08229909
0,456,0.0215687,0.08235759
0,462,0.020264478,0.082412556
0,468,0.019044578,0.08246421
0,474,0.017903225,0.08251277
0,480,0.01683505,0.08255844
0,486,0.015835095,0.08260139
0,492,0.014898734,0.0826418
0,498,0.014021701,0.08267983
0,504,0.013200012,0.08271564
0,510,0.012429989,0.08274935
0,516,0.011708196,0.08278111
0,522,0.011031456,0.082811035
0,528,0.010396799,0.082839236
0,534,0.009801475,0.08286582
0,540,0.009242913,0.08289089
0,546,0.008718731,0.08291454
0,552,0.008226698,0.08293685
0,558,0.0077647497,0.08295791
