"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.00051116286,2.633263E-06
0,6,0.005772034,4.0468098E-05
0,9,0.019600213,0.00016910127
0,12,0.044256084,0.00045182492
0,15,0.080652095,0.00095360976
0,18,0.12851,0.0017348174
0,21,0.18675081,0.0028478836
0,24,0.2537961,0.0043354924
0,27,0.32777432,0.006229602
0,30,0.40668103,0.008551167
0,33,0.4885069,0.011310484
0,36,0.5713381,0.014507968
0,39,0.65343076,0.018135227
0,42,0.7332577,0.02217636
0,45,0.80953145,0.026609318
0,48,0.8812109,0.03140722
0,51,0.94749635,0.036539596
0,54,1.007812,0.04197354
0,57,1.0617832,0.047674723
0,60,1.1092113,0.05360823
0,63,1.1500481,0.05973931
0,66,1.1843692,0.06603392
0,69,1.2123505,0.07245922
0,72,1.2342464,0.07898392
0,75,1.2503695,0.08557855
0,78,1.2610755,0.09221563
0,81,1.266747,0.09886975
0,84,1.2677836,0.1055176
0,87,1.2645906,0.11213807
0,90,1.2575712,0.118712105
0,93,1.2471198,0.12522274
0,96,1.2336177,0.13165496
0,99,1.2174296,0.13799562
0,102,1.1989005,0.14423333
0,105,1.1783537,0.15035833
0,108,1.1560905,0.1563624
0,111,1.1323897,0.16223872
0,114,1.107507,0.16798173
0,117,1.0816761,0.17358704
0,120,1.0551091,0.17905135
0,123,1.0279977,0.18437229
0,126,1.0005134,0.18954833
0,129,0.97281,0.1945787
0,132,0.94502276,0.19946331
0,135,0.91727227,0.20420264
0,138,0.8896632,0.20879768
0,141,0.8622876,0.2132499
0,144,0.8352244,0.21756111
0,147,0.8085418,0.22173348
0,150,0.7822971,0.22576943
0,153,0.75653887,0.22967164
0,156,0.7313069,0.23344296
0,159,0.70663375,0.2370864
0,162,0.6825451,0.24060507
0,165,0.6590609,0.2440022
0,168,0.63619554,0.24728103
0,171,0.613959,0.25044492
0,174,0.5923573,0.25349715
0,177,0.57139254,0.25644115
0,180,0.5510642,0.25928017
0,183,0.5313688,0.26201755
0,186,0.51230067,0.26465654
0,189,0.49385214,0.26720038
0,192,0.47601393,0.26965225
0,195,0.4587753,0.2720152
0,198,0.44212452,0.2742924
0,201,0.42604882,0.27648675
0,204,0.41053474,0.27860117
0,207,0.39556828,0.2806385
0,210,0.38113493,0.28260145
0,213,0.36721995,0.28449276
0,216,0.3538084,0.28631502
0,219,0.34088516,0.28807074
0,222,0.32843524,0.28976238
0,225,0.3164436,0.29139227
0,228,0.30489537,0.2929627
0,231,0.29377586,0.2944759
0,234,0.28307053,0.29593402
0,237,0.27276516,0.29733908
0,240,0.26284578,0.2986931
0,243,0.25329876,0.29999796
0,246,0.2441107,0.30125555
0,249,0.23526864,0.30246764
0,252,0.22675993,0.30363593
0,255,0.21857226,0.30476207
0,258,0.2106937,0.30584767
0,261,0.2031127,0.30689427
0,264,0.19581804,0.3079033
0,267,0.18879887,0.30887622
0,270,0.18204473,0.30981436
0,273,0.17554545,0.31071907
0,276,0.16929132,0.31159157
0,279,0.16327289,0.3124331
0,282,0.15748106,0.31324482
0,285,0.15190712,0.31402785
0,288,0.14654255,0.31478325
0,291,0.1413793,0.31551206
0,294,0.1364095,0.3162153
0,297,0.13162565,0.3168939
0,300,0.12702048,0.3175488
0,303,0.122587025,0.3181809
0,306,0.1183186,0.31879097
0,309,0.11420877,0.3193799
0,312,0.11025135,0.31994843
0,315,0.1064404,0.32049736
0,318,0.102770224,0.32102737
0,321,0.09923534,0.3215392
0,324,0.09583049,0.32203346
0,327,0.09255062,0.32251084
0,330,0.08939088,0.32297194
0,333,0.08634661,0.32341737
0,336,0.08341334,0.32384768
0,339,0.08058678,0.32426342
0,342,0.0778628,0.32466513
0,345,0.07523746,0.32505333
0,348,0.072706945,0.3254285
0,351,0.070267625,0.32579106
0,354,0.06791599,0.3261415
0,357,0.065648705,0.32648027
0,360,0.063462526,0.3268078
0,363,0.06135437,0.32712442
0,366,0.05932127,0.3274306
0,369,0.057360373,0.32772663
0,372,0.055468943,0.32801294
0,375,0.053644355,0.32828984
0,378,0.051884092,0.32855767
0,381,0.050185725,0.32881674
0,384,0.048546933,0.32906735
0,387,0.046965487,0.32930982
0,390,0.04543924,0.32954443
0,393,0.043966137,0.3297714
0,396,0.042544197,0.32999107
0,399,0.04117153,0.33020365
0,402,0.039846305,0.3304094
0,405,0.038566772,0.33060855
0,408,0.037331253,0.33080134
0,411,0.036138125,0.33098796
0,414,0.03498584,0.33116865
0,417,0.033872906,0.3313436
0,420,0.032797884,0.331513
0,423,0.031759396,0.33167702
0,426,0.03075612,0.33183587
0,429,0.02978678,0.33198974
0,432,0.028850151,0.33213875
0,435,0.027945058,0.3322831
0,438,0.02707037,0.33242294
0,441,0.026224993,0.33255842
0,444,0.025407886,0.33268967
0,447,0.024618039,0.33281687
0,450,0.023854485,0.33294013
0,453,0.023116289,0.33305955
0,456,0.022402558,0.3331753
0,459,0.02171243,0.33328748
0,462,0.021045076,0.33339623
0,465,0.020399695,0.33350164
0,468,0.019775514,0.33360383
0,471,0.019171802,0.33370292
0,474,0.018587848,0.33379897
0,477,0.018022956,0.3338921
0,480,0.01747646,0.33398244
0,483,0.016947735,0.33407003
0,486,0.016436173,0.33415496
0,489,0.015941171,0.33423734
0,492,0.015462159,0.33431727
0,495,0.014998593,0.33439478
0,498,0.014549953,0.33447
0,501,0.014115722,0.33454296
0,504,0.013695409,0.33461377
0,507,0.013288544,0.33468246
0,510,0.012894675,0.3347491
0,513,0.012513363,0.3348138
0,516,0.012144182,0.3348766
0,519,0.011786725,0.3349375
0,522,0.011440604,0.33499667
0,525,0.011105437,0.3350541
0,528,0.010780856,0.33510983
0,531,0.0104665095,0.33516395
0,534,0.010162062,0.3352165
0,537,0.009867181,0.3352675
0,540,0.00958155,0.33531708
0,543,0.009304862,0.33536518
0,546,0.009036827,0.3354119
0,549,0.008777157,0.3354573
0,552,0.008525578,0.3355014
0,555,0.008281821,0.33554423
0,558,0.008045639,0.33558583
0,561,0.0078167785,0.33562624
0,564,0.007595002,0.33566552
0,567,0.007380078,0.3357037
0,570,0.0071717887,0.3357408
0,573,0.0069699166,0.33577687
0,576,0.0067742546,0.33581188
0,579,0.006584601,0.33584595
0,582,0.006400766,0.33587906
0,585,0.0062225605,0.33591124
0,588,0.0060498044,0.33594254
0,591,0.0058823223,0.33597296
0,594,0.0057199476,0.33600256
0,597,0.005562517,0.33603135
0,600,0.0054098726,0.33605933
0,603,0.0052618613,0.33608654
0,606,0.0051183375,0.33611304
0,609,0.0049791597,0.33613878
0,612,0.0048441896,0.33616385
0,615,0.004713293,0.33618826
0,618,0.0045863437,0.33621198
0,621,0.004463217,0.33623508
0,624,0.004343793,0.33625755
0,627,0.0042279544,0.33627942
0,630,0.00411559,0.33630073
0,633,0.0040065916,0.33632147
0,636,0.0039008537,0.33634165
0,639,0.0037982746,0.33636132
0,642,0.003698756,0.33638045
0,645,0.003602204,0.33639908
0,648,0.0035085257,0.33641726
0,651,0.003417632,0.33643493
0,654,0.0033294372,0.33645216
0,657,0.0032438585,0.33646896
0,660,0.003160815,0.33648533
0,663,0.003080228,0.33650127
0,666,0.0030020224,0.3365168
0,669,0.0029261261,0.33653194
0,672,0.0028524674,0.33654672
0,675,0.002780978,0.3365611
0,678,0.0027115915,0.33657515
0,681,0.0026442446,0.33658883
0,684,0.0025788746,0.33660218
0,687,0.0025154212,0.3366152
0,690,0.0024538264,0.33662793
0,693,0.0023940343,0.33664033
0,696,0.0023359898,0.3366524
0,699,0.0022796404,0.3366642
0,702,0.0022249343,0.33667573
0,705,0.0021718228,0.33668697
0,708,0.0021202576,0.33669797
0,711,0.002070192,0.3367087
0,714,0.0020215812,0.33671916
0,717,0.0019743815,0.33672938
0,720,0.0019285508,0.33673936
0,723,0.0018840479,0.3367491
0,726,0.0018408331,0.33675864
0,729,0.0017988684,0.33676797
0,732,0.0017581164,0.3367771
0,735,0.0017185409,0.33678597
0,738,0.001680107,0.33679467
0,741,0.0016427808,0.3368032
0,744,0.0016065298,0.3368115
0,747,0.0015713219,0.33681965
0,750,0.0015371261,0.3368276
0,753,0.001503913,0.3368354
0,756,0.0014716533,0.33684304
0,759,0.0014403191,0.3368505
0,762,0.0014098831,0.3368578
0,765,0.0013803189,0.33686495
0,768,0.0013516012,0.33687195
0,771,0.001323705,0.3368788
0,774,0.0012966063,0.33688554
0,777,0.0012702816,0.33689213
0,780,0.0012447089,0.33689857
0,783,0.0012198657,0.33690488
0,786,0.0011957311,0.33691108
0,789,0.0011722844,0.33691716
0,792,0.0011495056,0.33692312
0,795,0.0011273754,0.33692896
0,798,0.0011058751,0.3369347
0,801,0.0010849863,0.33694032
0,804,0.0010646915,0.33694583
0,807,0.0010449734,0.33695126
0,810,0.0010258156,0.33695656
0,813,0.0010072017,0.3369618
0,816,0.0009891164,0.33696693
0,819,0.0009715443,0.33697197
0,822,0.0009544707,0.33697692
0,825,0.00093788136,0.33698177
0,828,0.0009217625,0.33698654
0,831,0.0009061006,0.33699125
0,834,0.0008908827,0.33699587
0,837,0.00087609596,0.3370004
0,840,0.0008617283,0.33700487
0,843,0.00084776775,0.33700928
0,846,0.00083420274,0.3370136
0,849,0.00082102197,0.33701786
0,852,0.00080821465,0.33702207
0,855,0.00079577026,0.33702618
0,858,0.00078367844,0.33703026
0,861,0.00077192916,0.33703426
0,864,0.00076051295,0.3370382
0,867,0.0007494203,0.3370421
