"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.012422598,3.1683263E-05
0,6,0.08411978,0.00030118338
0,9,0.21380301,0.00096804235
0,12,0.39639628,0.0021645029
0,15,0.62361866,0.0039984835
0,18,0.8844038,0.006545034
0,21,1.1672351,0.009848057
0,24,1.461254,0.013923716
0,27,1.7567081,0.018764049
0,30,2.04518,0.02434083
0,33,2.3196967,0.030609533
0,36,2.5747561,0.037513196
0,39,2.8062778,0.04498608
0,42,3.0114858,0.05295693
0,45,3.1887558,0.061351757
0,48,3.337449,0.07009618
0,51,3.4577403,0.07911732
0,54,3.5504453,0.08834518
0,57,3.616868,0.097713746
0,60,3.6586635,0.107161716
0,63,3.6777277,0.116632946
0,66,3.6761007,0.12607673
0,69,3.655889,0.13544782
0,72,3.6192017,0.14470638
0,75,3.568104,0.15381785
0,78,3.5045807,0.16275263
0,81,3.4305098,0.17148578
0,84,3.3476458,0.17999676
0,87,3.2576087,0.18826897
0,90,3.1618783,0.19628946
0,93,3.061794,0.20404854
0,96,2.9585562,0.21153945
0,99,2.8532314,0.21875794
0,102,2.746759,0.22570212
0,105,2.639958,0.232372
0,108,2.5335367,0.23876931
0,111,2.4281006,0.24489717
0,114,2.3241625,0.25075996
0,117,2.2221494,0.25636306
0,120,2.122413,0.26171267
0,123,2.0252364,0.2668156
0,126,1.9308436,0.27167922
0,129,1.8394047,0.27631128
0,132,1.7510444,0.28071976
0,135,1.665847,0.28491282
0,138,1.5838614,0.2888988
0,141,1.505107,0.29268596
0,144,1.4295777,0.29628256
0,147,1.3572471,0.29969677
0,150,1.2880716,0.3029366
0,153,1.2219924,0.30600998
0,156,1.158939,0.30892453
0,159,1.0988315,0.3116877
0,162,1.041583,0.31430683
0,165,0.98710084,0.31678882
0,168,0.93528914,0.3191405
0,171,0.8860493,0.32136828
0,174,0.8392811,0.32347846
0,177,0.7948842,0.325477
0,180,0.75275856,0.32736963
0,183,0.71280533,0.3291618
0,186,0.6749271,0.33085877
0,189,0.6390286,0.3324655
0,192,0.60501695,0.33398673
0,195,0.5728018,0.33542702
0,198,0.54229593,0.33679065
0,201,0.51341486,0.3380817
0,204,0.4860773,0.33930403
0,207,0.46020517,0.34046134
0,210,0.43572357,0.34155717
0,213,0.4125607,0.34259477
0,216,0.39064798,0.3435773
0,219,0.3699199,0.34450775
0,222,0.35031402,0.34538895
0,225,0.33177078,0.34622353
0,228,0.3142336,0.34701404
0,231,0.2976486,0.34776288
0,234,0.28196463,0.3484723
0,237,0.26713312,0.34914446
0,240,0.253108,0.34978136
0,243,0.23984553,0.35038492
0,246,0.22730431,0.35095698
0,249,0.21544513,0.3514992
0,252,0.20423079,0.35201326
0,255,0.1936261,0.35250065
0,258,0.18359779,0.35296285
0,261,0.17411432,0.35340118
0,264,0.1651459,0.353817
0,267,0.15666437,0.35421148
0,270,0.14864306,0.3545858
0,273,0.14105679,0.35494104
0,276,0.13388173,0.35527822
0,279,0.12709537,0.35559836
0,282,0.12067641,0.35590237
0,285,0.11460439,0.3561911
0,288,0.108859226,0.3564654
0,291,0.103422,0.356726
0,294,0.098275006,0.35697368
0,297,0.09340172,0.3572091
0,300,0.08878671,0.35743287
0,303,0.08441544,0.35764566
0,306,0.080274284,0.35784805
0,309,0.07635043,0.35804054
0,312,0.07263187,0.35822368
0,315,0.06910731,0.35839793
0,318,0.06576609,0.3585638
0,321,0.062598206,0.35872167
0,324,0.05959421,0.358872
0,327,0.056745205,0.35901514
0,330,0.054042805,0.35915148
0,333,0.051479112,0.35928136
0,336,0.049046665,0.35940513
0,339,0.046738386,0.35952306
0,342,0.044547655,0.3596355
0,345,0.042468227,0.3597427
0,348,0.04049409,0.35984492
0,351,0.038619824,0.3599424
0,354,0.03684005,0.36003542
0,357,0.03514982,0.36012417
0,360,0.03354451,0.36020887
0,363,0.032019574,0.36028975
0,366,0.030570822,0.36036694
0,369,0.029194273,0.3604407
0,372,0.027886136,0.36051112
0,375,0.026642796,0.36057845
0,378,0.025460927,0.36064276
0,381,0.024337295,0.36070424
0,384,0.023268882,0.36076304
0,387,0.022252845,0.36081928
0,390,0.021286484,0.3608731
0,393,0.02036724,0.36092457
0,396,0.0194927,0.36097386
0,399,0.018660575,0.36102104
0,402,0.017868696,0.36106622
0,405,0.017114993,0.3611095
0,408,0.016397571,0.36115098
0,411,0.015714595,0.3611907
0,414,0.015064292,0.36122882
0,417,0.014444968,0.36126536
0,420,0.013854985,0.3613004
0,423,0.0132929105,0.36133403
0,426,0.01275734,0.36136633
0,429,0.012246903,0.36139733
0,432,0.0117603475,0.3614271
0,435,0.011296491,0.36145568
0,438,0.0108542275,0.36148316
0,441,0.010432462,0.3615096
0,444,0.010030188,0.36153498
0,447,0.009646454,0.36155942
0,450,0.009280339,0.36158293
0,453,0.008930967,0.36160555
0,456,0.008597497,0.36162734
0,459,0.008279166,0.36164832
0,462,0.007975215,0.36166853
0,465,0.007684919,0.36168802
0,468,0.0074076327,0.3617068
0,471,0.00714271,0.36172488
0,474,0.0068895486,0.36174235
0,477,0.00664758,0.36175922
0,480,0.0064162663,0.3617755
0,483,0.006195099,0.3617912
0,486,0.0059835855,0.3618064
0,489,0.0057812673,0.36182106
0,492,0.0055877054,0.3618352
0,495,0.005402483,0.36184892
0,498,0.005225201,0.36186218
0,501,0.0050554797,0.36187503
0,504,0.0048929676,0.36188745
0,507,0.00473732,0.36189947
0,510,0.004588211,0.36191112
0,513,0.0044453405,0.3619224
0,516,0.0043084137,0.36193335
0,519,0.004177155,0.36194396
0,522,0.004051303,0.36195424
0,525,0.0039306087,0.36196423
0,528,0.0038148349,0.3619739
0,531,0.0037037565,0.36198333
0,534,0.0035971596,0.36199248
0,537,0.00349484,0.36200136
0,540,0.0033966054,0.36201
0,543,0.0033022694,0.36201838
0,546,0.003211657,0.36202654
0,549,0.0031246033,0.3620345
0,552,0.0030409475,0.36204222
0,555,0.002960539,0.36204976
0,558,0.0028832357,0.3620571
0,561,0.0028088999,0.3620642
0,564,0.002737402,0.3620712
0,567,0.0026686187,0.36207798
0,570,0.0026024324,0.3620846
0,573,0.0025387309,0.36209106
0,576,0.002477408,0.36209735
0,579,0.0024183611,0.36210352
0,582,0.0023614946,0.3621095
0,585,0.002306717,0.36211538
0,588,0.0022539394,0.36212113
0,591,0.002203077,0.36212674
0,594,0.0021540495,0.36213222
0,597,0.002106786,0.3621376
0,600,0.0020612103,0.36214283
0,603,0.002017252,0.36214796
0,606,0.0019748425,0.362153
0,609,0.0019339242,0.3621579
0,612,0.0018944368,0.36216274
0,615,0.0018563203,0.36216748
0,618,0.0018195186,0.3621721
0,621,0.0017839796,0.36217666
0,624,0.0017496581,0.3621811
0,627,0.0017165033,0.36218548
0,630,0.0016844695,0.36218977
0,633,0.0016535126,0.36219397
0,636,0.0016235933,0.3621981
0,639,0.0015946717,0.36220217
0,642,0.0015667094,0.36220616
0,645,0.0015396702,0.3622101
0,648,0.0015135196,0.36221394
0,651,0.0014882254,0.36221775
0,654,0.0014637553,0.36222148
0,657,0.0014400788,0.36222515
0,660,0.0014171666,0.36222875
0,663,0.0013949923,0.3622323
0,666,0.0013735286,0.3622358
0,669,0.0013527498,0.36223927
0,672,0.0013326306,0.36224267
0,675,0.0013131486,0.362246
0,678,0.001294282,0.3622493
0,681,0.0012760084,0.36225256
0,684,0.0012583071,0.36225575
0,687,0.0012411578,0.36225894
0,690,0.0012245431,0.36226204
0,693,0.001208444,0.36226514
0,696,0.001192843,0.36226818
0,699,0.001177723,0.3622712
0,702,0.0011630686,0.36227414
0,705,0.0011488643,0.36227706
0,708,0.001135095,0.36227998
0,711,0.0011217466,0.36228284
0,714,0.0011088053,0.36228564
0,717,0.0010962583,0.36228845
0,720,0.0010840927,0.36229122
0,723,0.0010722962,0.36229396
0,726,0.001060857,0.36229667
0,729,0.0010497641,0.36229935
0,732,0.0010390067,0.36230198
0,735,0.0010285742,0.36230463
0,738,0.0010184562,0.36230722
0,741,0.0010086432,0.36230978
0,744,0.0009991262,0.36231235
0,747,0.0009898959,0.36231485
0,750,0.0009809434,0.36231735
0,753,0.00097226055,0.36231986
0,756,0.0009638393,0.3623223
0,759,0.0009556718,0.36232474
0,762,0.0009477505,0.36232716
0,765,0.00094006816,0.36232957
0,768,0.0009326177,0.36233193
0,771,0.00092539255,0.3623343
0,774,0.00091838604,0.36233664
0,777,0.0009115918,0.36233896
0,780,0.0009050037,0.36234128
0,783,0.00089861604,0.36234358
0,786,0.00089242304,0.36234584
0,789,0.00088641903,0.3623481
0,792,0.00088059873,0.36235037
0,795,0.0008749571,0.3623526
0,798,0.0008694893,0.36235482
0,801,0.0008641903,0.36235702
0,804,0.0008590554,0.36235923
0,807,0.0008540799,0.3623614
0,810,0.0008492594,0.36236358
0,813,0.0008445894,0.36236572
0,816,0.00084006676,0.36236787
0,819,0.00083568704,0.36237
0,822,0.0008314462,0.36237213
0,825,0.0008273403,0.36237425
0,828,0.0008233656,0.36237633
0,831,0.00081951823,0.36237845
0,834,0.0008157949,0.36238053
0,837,0.00081219355,0.3623826
0,840,0.00080871,0.36238465
0,843,0.000805341,0.3623867
0,846,0.0008020834,0.36238876
0,849,0.0007989341,0.36239082
0,852,0.00079589005,0.36239284
0,855,0.0007929488,0.36239487
0,858,0.0007901082,0.3623969
0,861,0.0007873651,0.3623989
0,864,0.0007847168,0.3624009
0,867,0.00078216085,0.3624029
0,870,0.0007796947,0.36240488
0,873,0.00077731605,0.36240688
