"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.009329159
0,6,0.0672519
0,9,0.17561923
0,12,0.33090922
0,15,0.52652764
0,18,0.75313
0,21,1.0006669
0,24,1.2594892
0,27,1.5208282
0,30,1.7770444
0,33,2.0217488
0,36,2.2498438
0,39,2.4574919
0,42,2.6420329
0,45,2.8018541
0,48,2.9362423
0,51,3.0452356
0,54,3.1294742
0,57,3.1900594
0,60,3.2284281
0,63,3.2462485
0,66,3.2453337
0,69,3.2275684
0,72,3.194852
0,75,3.1490505
0,78,3.0919604
0,81,3.0252876
0,84,2.9506307
0,87,2.8694677
0,90,2.783149
0,93,2.6928968
0,96,2.5998101
0,99,2.5048645
0,102,2.4089198
0,105,2.3127258
0,108,2.2169302
0,111,2.122087
0,114,2.0286634
0,117,1.9370495
0,120,1.8475645
0,123,1.7604651
0,126,1.6759531
0,129,1.5941811
0,132,1.5152591
0,135,1.4392605
0,138,1.3662252
0,141,1.2961669
0,144,1.229076
0,147,1.1649241
0,150,1.1036667
0,153,1.0452453
0,156,0.9895913
0,159,0.93662745
0,162,0.8862703
0,165,0.8384316
0,168,0.79301995
0,171,0.74994165
0,174,0.7091022
0,177,0.6704068
0,180,0.6337615
0,183,0.59907335
0,186,0.56625116
0,189,0.5352059
0,192,0.505851
0,195,0.4781023
0,198,0.45187873
0,201,0.42710206
0,204,0.4036971
0,207,0.38159177
0,210,0.36071697
0,213,0.34100676
0,216,0.3223982
0,219,0.3048313
0,222,0.28824902
0,225,0.27259707
0,228,0.25782397
0,231,0.24388082
0,234,0.23072131
0,237,0.21830153
0,240,0.20657995
0,243,0.19551726
0,246,0.18507628
0,249,0.17522188
0,252,0.16592087
0,255,0.15714188
0,258,0.14885534
0,261,0.14103328
0,264,0.13364936
0,267,0.12667869
0,270,0.12009781
0,273,0.11388458
0,276,0.108018145
0,279,0.10247873
0,282,0.097247444
0,285,0.09230597
0,288,0.0876367
0,291,0.083223395
0,294,0.079051144
0,297,0.07510578
0,300,0.071373954
0,303,0.06784337
0,306,0.06450249
0,309,0.06134041
0,312,0.058346897
0,315,0.055512417
0,318,0.052828006
0,321,0.050285228
0,324,0.047876142
0,327,0.04559328
0,330,0.04342962
0,333,0.041378565
0,336,0.039433874
0,339,0.03758976
0,342,0.035840657
0,345,0.034181442
0,348,0.032607175
0,351,0.031113287
