"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.012749158,3.2458476E-05
0,6,0.08723857,0.00031171844
0,9,0.22250447,0.0010055954
0,12,0.4129358,0.0022516393
0,15,0.6495859,0.004161155
0,18,0.92066985,0.0068106037
0,21,1.2140075,0.010243617
0,24,1.5181874,0.014474771
0,27,1.8230265,0.019493561
0,30,2.119799,0.025268573
0,33,2.401333,0.031751726
0,36,2.6620219,0.038882367
0,39,2.8977497,0.046591073
0,42,3.1057642,0.054803036
0,45,3.2845132,0.063440986
0,48,3.4334598,0.07242756
0,51,3.5528934,0.08168722
0,54,3.6437557,0.09114763
0,57,3.7074814,0.1007408
0,60,3.7458546,0.11040373
0,63,3.7608955,0.120078936
0,66,3.7547603,0.12971462
0,69,3.7296653,0.13926473
0,72,3.6878214,0.1486889
0,75,3.6313813,0.15795214
0,78,3.5624094,0.16702475
0,81,3.4828527,0.17588174
0,84,3.3945262,0.18450275
0,87,3.2991016,0.19287139
0,90,3.198102,0.20097509
0,93,3.0929027,0.20880459
0,96,2.9847333,0.21635363
0,99,2.8746836,0.22361852
0,102,2.7637105,0.23059794
0,105,2.652646,0.23729254
0,108,2.5422068,0.24370466
0,111,2.4330034,0.2498381
0,114,2.32555,0.25569785
0,117,2.220273,0.26128995
0,120,2.1175208,0.26662117
0,123,2.017572,0.271699
0,126,1.9206432,0.2765314
0,129,1.8268974,0.28112665
0,132,1.7364501,0.28549328
0,135,1.649376,0.28964004
0,138,1.5657142,0.2935757
0,141,1.4854735,0.297309
0,144,1.4086376,0.3008487
0,147,1.3351694,0.3042033
0,150,1.2650145,0.3073813
0,153,1.1981041,0.3103909
0,156,1.1343572,0.3132401
0,159,1.073684,0.3159367
0,162,1.0159879,0.3184883
0,165,0.9611675,0.32090205
0,168,0.9091178,0.32318503
0,171,0.85973173,0.3253439
0,174,0.8129012,0.32738516
0,177,0.76851827,0.32931492
0,180,0.7264758,0.33113912
0,183,0.6866681,0.33286333
0,186,0.6489915,0.33449298
0,189,0.6133449,0.33603314
0,192,0.57962984,0.33748862
0,195,0.5477509,0.33886412
0,198,0.5176159,0.34016398
0,201,0.48913616,0.34139234
0,204,0.4622262,0.34255317
0,207,0.43680418,0.3436502
0,210,0.4127917,0.34468693
0,213,0.3901138,0.34566677
0,216,0.36869892,0.34659287
0,219,0.34847894,0.34746823
0,222,0.3293889,0.3482957
0,225,0.3113671,0.34907788
0,228,0.29435483,0.3498174
0,231,0.2782965,0.35051662
0,234,0.26313928,0.3511778
0,237,0.24883306,0.35180306
0,240,0.23533049,0.35239443
0,243,0.22258666,0.35295385
0,246,0.2105591,0.35348305
0,249,0.19920762,0.35398376
0,252,0.18849424,0.35445756
0,255,0.17838305,0.35490602
0,258,0.16884016,0.3553305
0,261,0.15983349,0.35573235
0,264,0.15133281,0.3561129
0,267,0.14330955,0.3564733
0,270,0.13573673,0.35681465
0,273,0.12858893,0.3571381
0,276,0.121842094,0.35744458
0,279,0.11547357,0.3577351
0,282,0.10946186,0.3580105
0,285,0.103786394,0.35827166
0,288,0.0984271,0.35851935
0,291,0.0933648,0.35875434
0,294,0.08858191,0.35897732
0,297,0.08406225,0.3591889
0,300,0.079790294,0.3593898
0,303,0.075751565,0.35958055
0,306,0.07193269,0.3597617
0,309,0.06832106,0.35993373
0,312,0.06490473,0.3600972
0,315,0.06167258,0.36025256
0,318,0.05861412,0.36040023
0,321,0.055719636,0.3605406
0,324,0.05297976,0.36067408
0,327,0.05038602,0.36080107
0,330,0.047930107,0.36092186
0,333,0.045604415,0.3610368
0,336,0.043401647,0.3611462
0,339,0.04131499,0.36125037
0,342,0.03933803,0.36134955
0,345,0.037464686,0.36144403
0,348,0.035689306,0.36153403
0,351,0.03400648,0.3616198
0,354,0.03241117,0.36170155
0,357,0.030898582,0.36177948
0,360,0.029464211,0.36185384
0,363,0.028103821,0.36192474
0,366,0.026813373,0.36199242
0,369,0.02558911,0.36205697
0,372,0.024427436,0.36211863
0,375,0.02332499,0.36217752
0,378,0.022278586,0.36223376
0,381,0.021285195,0.36228752
0,384,0.02034198,0.36233887
0,387,0.019446293,0.36238798
0,390,0.018595532,0.36243498
0,393,0.017787365,0.3624799
0,396,0.017019548,0.3625229
0,399,0.016289895,0.36256406
0,402,0.015596433,0.3626035
0,405,0.014937244,0.36264125
0,408,0.014310515,0.36267743
0,411,0.01371453,0.3627121
0,414,0.013147689,0.3627453
0,417,0.012608451,0.3627772
0,420,0.01209536,0.3628078
0,423,0.0116070695,0.36283717
0,426,0.011142278,0.36286533
0,429,0.010699766,0.36289242
0,432,0.010278385,0.3629184
0,435,0.009877045,0.3629434
0,438,0.009494714,0.36296743
0,441,0.009130418,0.36299056
0,444,0.008783232,0.3630128
0,447,0.008452294,0.3630342
0,450,0.008136771,0.3630548
0,453,0.00783587,0.36307463
0,456,0.0075488356,0.36309376
0,459,0.0072750137,0.36311218
0,462,0.0070137195,0.36312997
0,465,0.0067643034,0.3631471
0,468,0.0065261475,0.36316365
0,471,0.006298698,0.3631796
0,474,0.006081434,0.363195
0,477,0.0058738356,0.3632099
0,480,0.005675425,0.3632243
0,483,0.0054857535,0.36323822
0,486,0.005304399,0.36325166
0,489,0.0051309573,0.36326468
0,492,0.004965036,0.3632773
0,495,0.0048062764,0.36328948
0,498,0.004654332,0.36330128
0,501,0.004508874,0.36331272
0,504,0.0043695844,0.3633238
0,507,0.0042361636,0.36333457
0,510,0.00410834,0.363345
0,513,0.003985838,0.36335513
0,516,0.0038684013,0.36336493
0,519,0.0037557979,0.36337447
0,522,0.0036477966,0.36338374
0,525,0.003544182,0.36339274
0,528,0.0034447506,0.3634015
0,531,0.003349309,0.36341
0,534,0.0032576749,0.36341828
0,537,0.0031696726,0.36342633
0,540,0.0030851362,0.3634342
0,543,0.0030039083,0.36344182
0,546,0.00292584,0.36344925
0,549,0.002850788,0.3634565
0,552,0.0027786153,0.36346355
0,555,0.002709195,0.36347046
0,558,0.0026424048,0.36347717
0,561,0.0025781272,0.36348373
0,564,0.0025162518,0.36349013
0,567,0.002456675,0.36349636
0,570,0.0023992965,0.36350247
0,573,0.002344021,0.36350843
0,576,0.0022907595,0.36351427
0,579,0.002239426,0.36351997
0,582,0.0021899384,0.36352554
0,585,0.0021422203,0.363531
0,588,0.0020961973,0.36353633
0,591,0.0020517982,0.36354154
0,594,0.0020089555,0.36354667
0,597,0.0019676078,0.36355168
0,600,0.001927694,0.36355656
0,603,0.0018891542,0.3635614
0,606,0.0018519319,0.3635661
0,609,0.0018159732,0.36357072
0,612,0.0017812348,0.36357525
0,615,0.0017476638,0.36357972
0,618,0.0017152139,0.36358407
0,621,0.0016838398,0.36358836
0,624,0.0016535013,0.36359257
0,627,0.0016241617,0.3635967
0,630,0.0015957804,0.36360076
0,633,0.0015683204,0.36360475
0,636,0.0015417465,0.3636087
0,639,0.001516028,0.36361256
0,642,0.0014911329,0.36361635
0,645,0.0014670304,0.3636201
0,648,0.0014436914,0.36362377
0,651,0.0014210882,0.3636274
0,654,0.001399196,0.36363095
0,657,0.0013779883,0.36363447
0,660,0.001357441,0.36363792
0,663,0.0013375306,0.36364132
0,666,0.0013182353,0.3636447
0,669,0.0012995345,0.363648
0,672,0.001281407,0.36365128
0,675,0.001263833,0.3636545
0,678,0.0012467932,0.36365765
0,681,0.0012302711,0.3636608
0,684,0.001214249,0.3636639
0,687,0.0011987097,0.36366695
0,690,0.0011836373,0.36366996
0,693,0.0011690161,0.36367294
0,696,0.0011548329,0.3636759
0,699,0.0011410727,0.3636788
0,702,0.0011277219,0.36368167
0,705,0.0011147672,0.3636845
0,708,0.0011021965,0.36368734
0,711,0.001089998,0.3636901
0,714,0.00107816,0.36369285
0,717,0.001066671,0.3636956
0,720,0.0010555204,0.36369827
0,723,0.0010446982,0.36370093
0,726,0.0010341943,0.36370358
0,729,0.001023999,0.36370617
0,732,0.001014103,0.36370876
0,735,0.0010044974,0.36371133
0,738,0.0009951739,0.36371386
0,741,0.000986124,0.3637164
0,744,0.0009773397,0.36371887
0,747,0.00096881296,0.36372134
0,750,0.00096053665,0.36372378
0,753,0.0009525037,0.36372623
0,756,0.0009447069,0.36372864
0,759,0.0009371395,0.36373103
0,762,0.00092979486,0.36373338
0,765,0.0009226671,0.36373574
0,768,0.0009157499,0.3637381
0,771,0.0009090374,0.3637404
0,774,0.00090252387,0.3637427
0,777,0.0008962038,0.363745
0,780,0.000890072,0.36374727
0,783,0.00088412326,0.36374953
0,786,0.00087835256,0.36375177
0,789,0.000872755,0.36375397
0,792,0.000867326,0.3637562
0,795,0.000862061,0.36375841
0,798,0.00085695554,0.3637606
0,801,0.0008520054,0.36376277
0,804,0.0008472063,0.3637649
0,807,0.00084255455,0.3637671
0,810,0.0008380462,0.3637692
0,813,0.0008336773,0.36377135
0,816,0.00082944427,0.36377347
0,819,0.00082534336,0.36377555
0,822,0.00082137104,0.36377767
0,825,0.0008175238,0.36377975
0,828,0.00081379915,0.3637818
0,831,0.0008101938,0.3637839
0,834,0.0008067043,0.36378595
0,837,0.0008033276,0.363788
0,840,0.00080006063,0.36379004
0,843,0.0007969004,0.3637921
0,846,0.00079384405,0.36379412
0,849,0.00079088943,0.36379611
0,852,0.0007880344,0.36379814
0,855,0.00078527577,0.36380014
0,858,0.00078261096,0.36380213
0,861,0.00078003755,0.36380413
0,864,0.000777553,0.36380613
0,867,0.000775155,0.3638081
0,870,0.0007728414,0.36381006
0,873,0.0007706108,0.36381203
0,876,0.00076846057,0.363814
0,879,0.0007663885,0.36381596
0,882,0.00076439267,0.3638179
0,885,0.00076247106,0.36381987
0,888,0.00076062174,0.3638218
0,891,0.00075884286,0.36382374
0,894,0.00075713295,0.36382568
