"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0007485713,1.8830518E-06
0,6,0.009174444,3.1897995E-05
0,9,0.03222321,0.0001370061
0,12,0.07440372,0.00037155606
0,15,0.13794972,0.0007924337
0,18,0.22295932,0.0014535907
0,21,0.32801035,0.002403097
0,24,0.45065868,0.0036813533
0,27,0.5877933,0.0053199814
0,30,0.7359177,0.0073412904
0,33,0.89139587,0.009758301
0,36,1.0506496,0.012575194
0,39,1.2103226,0.015788095
0,42,1.36739,0.019386103
0,45,1.5192299,0.023352394
0,48,1.6636577,0.027665375
0,51,1.7989314,0.032299787
0,54,1.9237365,0.037227742
0,57,2.03715,0.042419672
0,60,2.1385953,0.047845103
0,63,2.2277992,0.053473346
0,66,2.3047445,0.059274066
0,69,2.369626,0.06521772
0,72,2.422806,0.07127591
0,75,2.4647768,0.077421695
0,78,2.4961283,0.08362968
0,81,2.517516,0.089876235
0,84,2.5296383,0.09613949
0,87,2.533219,0.10239943
0,90,2.5289888,0.108637825
0,93,2.5176742,0.11483825
0,96,2.499986,0.120986
0,99,2.4766073,0.12706803
0,102,2.4481897,0.13307284
0,105,2.415349,0.13899042
0,108,2.3786647,0.14481209
0,111,2.3386772,0.1505305
0,114,2.2958868,0.15613945
0,117,2.2507532,0.16163379
0,120,2.2036977,0.1670094
0,123,2.1551032,0.172263
0,126,2.1053176,0.17739215
0,129,2.054654,0.18239515
0,132,2.0033927,0.18727086
0,135,1.9517848,0.19201882
0,138,1.9000529,0.19663902
0,141,1.8483936,0.20113188
0,144,1.7969799,0.2054983
0,147,1.7459626,0.2097394
0,150,1.695473,0.2138567
0,153,1.6456236,0.2178519
0,156,1.5965109,0.221727
0,159,1.5482163,0.22548406
0,162,1.5008082,0.2291254
0,165,1.4543425,0.23265338
0,168,1.4088647,0.23607053
0,171,1.3644111,0.23937939
0,174,1.321009,0.24258259
0,177,1.2786776,0.2456828
0,180,1.2374309,0.24868271
0,183,1.1972748,0.25158504
0,186,1.1582122,0.25439245
0,189,1.1202406,0.25710765
0,192,1.0833539,0.25973332
0,195,1.0475433,0.26227206
0,198,1.012796,0.2647265
0,201,0.9790981,0.2670992
0,204,0.9464325,0.26939267
0,207,0.91478086,0.2716094
0,210,0.8841238,0.2737518
0,213,0.8544402,0.27582225
0,216,0.8257089,0.27782306
0,219,0.7979069,0.27975652
0,222,0.7710114,0.2816248
0,225,0.74499947,0.28343004
0,228,0.71984625,0.28517437
0,231,0.69552946,0.28685978
0,234,0.67202467,0.28848824
0,237,0.64930844,0.2900617
0,240,0.6273577,0.29158202
0,243,0.6061498,0.29305094
0,246,0.58566177,0.29447028
0,249,0.5658716,0.29584166
0,252,0.54675764,0.29716676
0,255,0.52829796,0.29844716
0,258,0.5104719,0.2996844
0,261,0.49325866,0.30087996
0,264,0.47663817,0.30203524
0,267,0.46059072,0.30315167
0,270,0.44509724,0.30423057
0,273,0.4301391,0.30527326
0,276,0.41569823,0.306281
0,279,0.4017571,0.30725494
0,282,0.38829878,0.30819634
0,285,0.37530673,0.30910623
0,288,0.36276492,0.30998576
0,291,0.35065797,0.31083596
0,294,0.33897078,0.31165788
0,297,0.32768878,0.31245244
0,300,0.31679797,0.31322065
0,303,0.30628467,0.31396338
0,306,0.29613572,0.31468153
0,309,0.2863384,0.31537595
0,312,0.27688035,0.31604746
0,315,0.2677498,0.31669685
0,318,0.25893512,0.31732488
0,321,0.2504253,0.3179323
0,324,0.24220967,0.31851983
0,327,0.23427786,0.31908813
0,330,0.22661988,0.31963786
0,333,0.21922615,0.32016972
0,336,0.21208735,0.32068425
0,339,0.20519452,0.3211821
0,342,0.19853896,0.32166383
0,345,0.19211225,0.32212996
0,348,0.18590608,0.32258108
0,351,0.17991221,0.3230177
0,354,0.17412245,0.32344022
0,357,0.16852902,0.32384923
0,360,0.16312464,0.32424513
0,363,0.15790245,0.32462835
0,366,0.15285596,0.32499936
0,369,0.14797878,0.32535854
0,372,0.14326473,0.3257063
0,375,0.13870794,0.32604298
0,378,0.13430285,0.32636902
0,381,0.13004418,0.32668468
0,384,0.1259268,0.3269904
0,387,0.12194571,0.32728645
0,390,0.118096165,0.32757315
0,393,0.114373595,0.32785085
0,396,0.11077361,0.32811978
0,399,0.10729199,0.3283803
0,402,0.10392465,0.32863262
0,405,0.10066767,0.32887706
0,408,0.09751729,0.32911384
0,411,0.09446986,0.32934326
0,414,0.09152189,0.3295655
0,417,0.08867001,0.32978082
0,420,0.085910946,0.32998946
0,423,0.083241574,0.3301916
0,426,0.08065887,0.3303875
0,429,0.07815989,0.3305773
0,432,0.07574184,0.33076128
0,435,0.073401995,0.33093956
0,438,0.07113771,0.33111233
0,441,0.06894648,0.3312798
0,444,0.06682586,0.33144212
0,447,0.06477347,0.33159944
0,450,0.062787056,0.33175197
0,453,0.060864415,0.33189982
0,456,0.059003416,0.33204317
0,459,0.05720203,0.3321821
0,462,0.05545827,0.33231685
0,465,0.053770233,0.33244747
0,468,0.05213608,0.33257413
0,471,0.050554022,0.33269697
0,474,0.049022347,0.33281606
0,477,0.04753939,0.33293158
0,480,0.046103556,0.33304358
0,483,0.04471329,0.33315223
0,486,0.04336709,0.33325762
0,489,0.04206352,0.3333598
0,492,0.040801175,0.33345896
0,495,0.03957871,0.33355513
0,498,0.038394824,0.33364844
0,501,0.03724825,0.33373895
0,504,0.03613778,0.33382678
0,507,0.035062227,0.333912
0,510,0.03402047,0.3339947
0,513,0.033011395,0.3340749
0,516,0.032033954,0.33415276
0,519,0.031087115,0.33422834
0,522,0.030169887,0.33430165
0,525,0.029281316,0.33437282
0,528,0.02842047,0.3344419
0,531,0.027586458,0.33450896
0,534,0.026778415,0.33457404
0,537,0.0259955,0.33463725
0,540,0.025236908,0.3346986
0,543,0.024501858,0.33475816
0,546,0.023789592,0.334816
0,549,0.023099381,0.33487216
0,552,0.022430519,0.3349267
0,555,0.021782322,0.33497965
0,558,0.02115413,0.33503106
0,561,0.020545304,0.33508104
0,564,0.019955225,0.33512956
0,567,0.0193833,0.33517668
0,570,0.018828947,0.33522245
0,573,0.018291611,0.33526695
0,576,0.017770749,0.33531016
0,579,0.017265843,0.33535215
0,582,0.016776385,0.33539295
0,585,0.016301885,0.3354326
0,588,0.01584187,0.3354711
0,591,0.015395885,0.33550856
0,594,0.014963492,0.33554494
0,597,0.014544255,0.33558032
0,600,0.01413776,0.3356147
0,603,0.013743602,0.33564812
0,606,0.013361408,0.33568063
0,609,0.012990795,0.33571222
0,612,0.012631398,0.33574295
0,615,0.012282861,0.3357728
0,618,0.011944849,0.33580187
0,621,0.011617038,0.33583015
0,624,0.011299106,0.33585763
0,627,0.0109907435,0.33588436
0,630,0.01069165,0.33591038
0,633,0.010401544,0.33593568
0,636,0.010120144,0.3359603
0,639,0.00984718,0.33598426
0,642,0.009582388,0.33600757
0,645,0.009325516,0.33603027
0,648,0.009076324,0.33605236
0,651,0.008834571,0.33607385
0,654,0.008600026,0.33609477
0,657,0.008372468,0.33611515
0,660,0.008151683,0.336135
0,663,0.007937464,0.3361543
0,666,0.007729607,0.33617312
0,669,0.007527916,0.33619145
0,672,0.0073322016,0.33620927
0,675,0.007142285,0.33622667
0,678,0.0069579855,0.3362436
0,681,0.006779132,0.3362601
0,684,0.0066055562,0.33627617
0,687,0.006437099,0.33629185
0,690,0.0062736063,0.3363071
0,693,0.006114925,0.336322
0,696,0.0059609087,0.33633652
0,699,0.005811415,0.33635068
0,702,0.005666309,0.33636445
0,705,0.0055254577,0.33637792
0,708,0.005388731,0.33639103
0,711,0.0052560046,0.33640382
0,714,0.005127157,0.3364163
0,717,0.005002074,0.3364285
0,720,0.00488064,0.33644038
0,723,0.004762746,0.33645198
0,726,0.0046482845,0.3364633
0,729,0.0045371535,0.33647436
0,732,0.0044292537,0.33648515
0,735,0.004324488,0.33649567
0,738,0.0042227614,0.33650595
0,741,0.004123983,0.336516
0,744,0.0040280675,0.3365258
0,747,0.0039349273,0.3365354
0,750,0.00384448,0.33654475
0,753,0.0037566456,0.3365539
0,756,0.003671346,0.33656284
0,759,0.0035885074,0.3365716
0,762,0.003508056,0.33658016
0,765,0.003429921,0.3365885
0,768,0.0033540335,0.33659667
0,771,0.003280328,0.33660465
0,774,0.00320874,0.3366125
0,777,0.0031392064,0.33662012
0,780,0.0030716674,0.33662763
0,783,0.0030060636,0.33663493
0,786,0.0029423393,0.33664212
0,789,0.002880439,0.33664915
0,792,0.0028203086,0.336656
0,795,0.0027618967,0.33666274
0,798,0.002705153,0.33666933
0,801,0.0026500293,0.3366758
0,804,0.002596478,0.3366821
0,807,0.0025444531,0.33668834
0,810,0.00249391,0.33669442
0,813,0.0024448065,0.33670038
0,816,0.0023971002,0.33670622
0,819,0.0023507508,0.33671194
0,822,0.0023057186,0.33671758
0,825,0.0022619658,0.3367231
0,828,0.0022194558,0.33672848
0,831,0.0021781523,0.33673382
0,834,0.0021380207,0.33673903
0,837,0.0020990267,0.33674413
0,840,0.0020611386,0.33674917
0,843,0.0020243241,0.3367541
