"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine","Organism|Lumen|Furosemide|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.00086835964,2.712047E-06,0.00032408923
0,6,0.010083171,4.2251813E-05,0.0015719021
0,9,0.034689702,0.00017642355,0.004106199
0,12,0.07900595,0.0004705181,0.00819121
0,15,0.14490025,0.0009913099,0.013947883
0,18,0.2320191,0.0018005768,0.021387203
0,21,0.33847246,0.002951742,0.030439302
0,24,0.46139526,0.004488043,0.040975045
0,27,0.59734315,0.0064415727,0.052823767
0,30,0.7425961,0.008833025,0.06578907
0,33,0.8934055,0.011672075,0.07966236
0,36,1.0461863,0.014958188,0.09423414
0,39,1.1976584,0.018681796,0.10930268
0,42,1.3449384,0.022825642,0.124680154
0,45,1.4855915,0.027366167,0.14019679
0,48,1.6176504,0.032274913,0.15570313
0,51,1.739602,0.03751984,0.1710708
0,54,1.8503536,0.0430665,0.18619193
0,57,1.9491951,0.048879094,0.20097815
0,60,2.035753,0.054921333,0.21535914
0,63,2.1099389,0.061157186,0.22928081
0,66,2.1719007,0.067551486,0.24270347
0,69,2.2219787,0.0740704,0.2555997
0,72,2.2606616,0.080681786,0.26795277
0,75,2.2885501,0.08735544,0.2797548
0,78,2.3063257,0.09406328,0.29100412
0,81,2.31472,0.10077943,0.30170518
0,84,2.3144925,0.10748026,0.3118684
0,87,2.3064137,0.11414438,0.32150778
0,90,2.2912498,0.120752625,0.33064038
0,93,2.2697506,0.12728798,0.33928514
0,96,2.242639,0.13373554,0.34746256
0,99,2.2106073,0.1400822,0.35519394
0,102,2.1743093,0.14631674,0.36250103
0,105,2.1343586,0.15242957,0.3694056
0,108,2.0913224,0.15841284,0.3759293
0,111,2.0457287,0.16425999,0.38209337
0,114,1.9980627,0.1699657,0.38791844
0,117,1.9487631,0.17552602,0.39342442
0,120,1.8982261,0.1809381,0.39863038
0,123,1.8468081,0.18620001,0.4035545
0,126,1.7948284,0.19131067,0.40821403
0,129,1.7425718,0.19626975,0.4126253
0,132,1.69029,0.20107761,0.41680378
0,135,1.6382039,0.20573513,0.42076394
0,138,1.586506,0.21024379,0.42451945
0,141,1.5353631,0.21460544,0.42808306
0,144,1.4849178,0.21882232,0.43146673
0,147,1.4352915,0.22289701,0.4346816
0,150,1.3865863,0.22683233,0.4377381
0,153,1.3388865,0.23063134,0.44064596
0,156,1.2922609,0.23429722,0.4434142
0,159,1.2467641,0.23783332,0.44605127
0,162,1.2024382,0.24124311,0.44856504
0,165,1.1593145,0.24453011,0.45096278
0,168,1.1174144,0.24769789,0.4532513
0,171,1.0767505,0.25075,0.45543692
0,174,1.0373286,0.25369012,0.45752552
0,177,0.9991475,0.25652173,0.4595226
0,180,0.9622004,0.25924847,0.4614333
0,183,0.9264765,0.2618738,0.46326232
0,186,0.89195985,0.26440123,0.46501413
0,189,0.8586324,0.2668341,0.46669286
0,192,0.82647115,0.2691758,0.4683024
0,195,0.79545265,0.27142957,0.4698463
0,198,0.7655505,0.2735986,0.471328
0,201,0.7367372,0.27568603,0.47275054
0,204,0.7089846,0.27769485,0.474117
0,207,0.68226284,0.27962798,0.47543007
0,210,0.6565423,0.28148827,0.4766924
0,213,0.6317925,0.28327847,0.47790638
0,216,0.6079828,0.28500128,0.4790743
0,219,0.58508307,0.28665927,0.48019835
0,222,0.5630626,0.28825492,0.48128054
0,225,0.541892,0.28979063,0.48232275
0,228,0.5215411,0.29126877,0.48332685
0,231,0.5019809,0.29269156,0.48429444
0,234,0.48318315,0.29406112,0.48522726
0,237,0.46511897,0.29537958,0.48612663
0,240,0.44776154,0.29664892,0.48699412
0,243,0.43108422,0.29787105,0.48783106
0,246,0.41506076,0.29904783,0.48863864
0,249,0.3996663,0.30018106,0.48941818
0,252,0.38487655,0.30127242,0.4901708
0,255,0.37066817,0.30232355,0.4908976
0,258,0.35701802,0.30333608,0.49159962
0,261,0.34390453,0.30431145,0.4922779
0,264,0.3313065,0.3052512,0.49293333
0,267,0.31920308,0.30615667,0.49356687
0,270,0.30757475,0.30702922,0.49417934
