"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0015901587,3.5334126E-06
0,6,0.01618153,5.0337934E-05
0,9,0.052933242,0.00020597446
0,12,0.11690294,0.0005446072
0,15,0.20956054,0.0011409507
0,18,0.32952443,0.0020632567
0,21,0.47361913,0.0033697563
0,24,0.6375913,0.0051067057
0,27,0.8165984,0.0073074307
0,30,1.0055918,0.009992221
0,33,1.1996225,0.013168906
0,36,1.3940731,0.016833967
0,39,1.5848167,0.020973966
0,42,1.7683159,0.025567137
0,45,1.9416689,0.030585032
0,48,2.1025999,0.035994146
0,51,2.2494276,0.041757386
0,54,2.3810174,0.047835387
0,57,2.4967165,0.054187655
0,60,2.5962844,0.06077352
0,63,2.6798265,0.06755296
0,66,2.7477272,0.07448722
0,69,2.8005888,0.08153926
0,72,2.8391807,0.08867418
0,75,2.8643901,0.095859386
0,78,2.87718,0.1030648
0,81,2.878561,0.11026291
0,84,2.869562,0.11742879
0,87,2.8512096,0.124540076
0,90,2.8245099,0.13157691
0,93,2.7904344,0.1385218
0,96,2.7499104,0.14535956
0,99,2.703814,0.1520771
0,102,2.652964,0.1586633
0,105,2.5981214,0.16510895
0,108,2.5399866,0.17140648
0,111,2.4792004,0.17754984
0,114,2.4163442,0.18353443
0,117,2.3519435,0.18935686
0,120,2.2864668,0.19501488
0,123,2.2203348,0.20050722
0,126,2.153918,0.20583351
0,129,2.0875444,0.21099414
0,132,2.0214996,0.21599019
0,135,1.9560316,0.22082327
0,138,1.8913529,0.22549559
0,141,1.8276446,0.23000968
0,144,1.765059,0.23436849
0,147,1.7037226,0.23857524
0,150,1.6437393,0.24263337
0,153,1.5851918,0.24654657
0,156,1.5281447,0.2503186
0,159,1.4726467,0.25395334
0,162,1.4187319,0.25745484
0,165,1.3664222,0.26082703
0,168,1.3157284,0.264074
0,171,1.2666517,0.26719975
0,174,1.2191855,0.27020836
0,177,1.173316,0.2731037
0,180,1.1290239,0.27588975
0,183,1.0862849,0.27857035
0,186,1.0450706,0.28114927
0,189,1.0053489,0.28363022
0,192,0.9670852,0.2860168
0,195,0.93024266,0.2883125
0,198,0.8947832,0.29052076
0,201,0.8606672,0.29264492
0,204,0.82785445,0.29468817
0,207,0.79630435,0.29665363
0,210,0.7659762,0.29854432
0,213,0.736829,0.30036315
0,216,0.7088221,0.30211294
0,219,0.6819156,0.30379638
0,222,0.6560689,0.30541614
0,225,0.631244,0.30697465
0,228,0.607402,0.30847442
0,231,0.58450603,0.30991772
0,234,0.5625198,0.3113068
0,237,0.5414083,0.31264386
0,240,0.5211372,0.3139309
0,243,0.50167376,0.31517
0,246,0.4829856,0.31636295
0,249,0.46504185,0.31751168
0,252,0.44781244,0.3186179
0,255,0.4312684,0.31968334
0,258,0.41538173,0.32070962
0,261,0.40012556,0.32169822
0,264,0.38547406,0.3226507
0,267,0.3714023,0.32356846
0,270,0.35788646,0.3244529
0,273,0.3449036,0.32530528
0,276,0.33243152,0.3261269
0,279,0.3204494,0.32691896
0,282,0.30893728,0.3276826
0,285,0.2978749,0.32841897
0,288,0.28724423,0.32912907
0,291,0.2770276,0.32981396
0,294,0.26720804,0.33047462
0,297,0.25776857,0.33111197
0,300,0.24869399,0.3317269
0,303,0.23996933,0.33232033
0,306,0.2315801,0.332893
0,309,0.22351244,0.33344582
0,312,0.21575324,0.33397943
0,315,0.20828977,0.33449462
0,318,0.20111011,0.33499208
0,321,0.19420259,0.33547246
0,324,0.18755607,0.33593646
0,327,0.18115997,0.33638465
0,330,0.17500429,0.33681765
0,333,0.16907926,0.337236
0,336,0.1633756,0.33764026
0,339,0.15788446,0.33803096
0,342,0.15259738,0.3384086
0,345,0.14750625,0.33877364
0,348,0.14260326,0.3391266
0,351,0.13788097,0.33946785
0,354,0.13333221,0.33979788
0,357,0.12895006,0.34011707
0,360,0.12472773,0.34042585
0,363,0.12065847,0.34072456
0,366,0.116735496,0.34101358
0,369,0.112952396,0.34129322
0,372,0.10930333,0.34156385
0,375,0.10578298,0.34182578
0,378,0.10238618,0.3420793
0,381,0.09910785,0.34232473
0,384,0.095943205,0.34256235
0,387,0.09288783,0.34279236
0,390,0.08993757,0.3430151
0,393,0.08708836,0.3432308
0,396,0.084336326,0.34343967
0,399,0.081677765,0.343642
0,402,0.07910919,0.34383792
0,405,0.076627254,0.34402773
0,408,0.074228704,0.3442116
0,411,0.071910515,0.34438974
0,414,0.069669865,0.34456232
0,417,0.06750373,0.34472954
0,420,0.065409645,0.3448916
0,423,0.06338495,0.34504864
0,426,0.06142713,0.3452008
0,429,0.059533894,0.34534833
0,432,0.057702858,0.3454913
0,435,0.055931874,0.34562987
0,438,0.054218825,0.34576422
0,441,0.052561667,0.34589446
0,444,0.050958484,0.3460207
0,447,0.049407363,0.34614313
0,450,0.047906525,0.34626186
0,453,0.04645425,0.34637696
0,456,0.045048837,0.3464886
0,459,0.04368872,0.34659687
0,462,0.042372316,0.34670186
0,465,0.041098155,0.34680372
0,468,0.03986481,0.34690252
0,471,0.03867088,0.34699836
0,474,0.037515048,0.34709132
0,477,0.036396023,0.34718153
0,480,0.03531257,0.34726906
0,483,0.034263503,0.34735397
0,486,0.033247653,0.3474364
0,489,0.032263927,0.34751636
0,492,0.031311255,0.34759396
0,495,0.030388594,0.3476693
0,498,0.029494964,0.3477424
0,501,0.028629389,0.34781337
0,504,0.02779095,0.34788224
0,507,0.02697876,0.34794912
0,510,0.026191942,0.34801406
0,513,0.02542968,0.3480771
0,516,0.024691146,0.3481383
0,519,0.023975573,0.34819776
0,522,0.02328222,0.34825546
0,525,0.022610374,0.3483115
0,528,0.0219593,0.34836596
0,531,0.021328343,0.34841883
0,534,0.020716865,0.3484702
0,537,0.020124245,0.3485201
0,540,0.019549843,0.34856856
0,543,0.018993093,0.34861568
0,546,0.018453429,0.34866142
0,549,0.017930306,0.3487059
0,552,0.017423188,0.34874907
0,555,0.016931564,0.34879106
0,558,0.016454937,0.34883186
0,561,0.015992826,0.3488715
0,564,0.015544779,0.34891006
0,567,0.01511034,0.34894753
0,570,0.014689075,0.34898394
0,573,0.014280564,0.34901935
0,576,0.013884413,0.34905377
0,579,0.013500227,0.34908727
0,582,0.013127626,0.3491198
0,585,0.012766246,0.34915146
0,588,0.012415738,0.34918228
0,591,0.01207576,0.3492122
0,594,0.011745983,0.34924135
0,597,0.0114260875,0.3492697
0,600,0.011115766,0.34929726
