"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.00082567695,2.4087033E-06
0,6,0.009883402,3.8527167E-05
0,9,0.034477405,0.00016291226
0,12,0.079170585,0.0004377911
0,15,0.14602953,0.0009272302
0,18,0.23483132,0.0016908897
0,21,0.34375063,0.0027807162
0,24,0.46993342,0.004239111
0,27,0.6099056,0.0060979486
0,30,0.75988626,0.008378276
0,33,0.9160447,0.011090617
0,36,1.074697,0.014235716
0,39,1.232459,0.0178056
0,42,1.3863406,0.021784846
0,45,1.5338016,0.026151896
0,48,1.672771,0.030880367
0,51,1.8016392,0.035940293
0,54,1.9192331,0.041299272
0,57,2.0247715,0.04692346
0,60,2.1178162,0.052778408
0,63,2.1982238,0.058829796
0,66,2.2660987,0.06504399
0,69,2.3217452,0.07138853
0,72,2.365625,0.077832446
0,75,2.3983185,0.08434658
0,78,2.420495,0.09090367
0,81,2.4328783,0.097478524
0,84,2.436226,0.10404805
0,87,2.4313102,0.11059125
0,90,2.418903,0.117089204
0,93,2.3997645,0.12352503
0,96,2.3746312,0.12988377
0,99,2.3442087,0.13615231
0,102,2.3091657,0.14231932
0,105,2.2701316,0.14837502
0,108,2.2276933,0.1543112
0,111,2.1823947,0.16012096
0,114,2.134737,0.16579883
0,117,2.085178,0.17134038
0,120,2.0341327,0.17674229
0,123,1.981978,0.18200213
0,126,1.9290512,0.18711837
0,129,1.8756541,0.1920902
0,132,1.8220552,0.19691749
0,135,1.7684921,0.20160069
0,138,1.7151728,0.20614077
0,141,1.6622784,0.21053916
0,144,1.6099666,0.21479768
0,147,1.5583723,0.21891841
0,150,1.5076101,0.22290379
0,153,1.4577761,0.22675645
0,156,1.4089503,0.23047924
0,159,1.3611983,0.23407511
0,162,1.314572,0.23754719
0,165,1.2691113,0.24089865
0,168,1.2248462,0.24413276
0,171,1.1817977,0.2472528
0,174,1.1399783,0.25026214
0,177,1.0993934,0.25316405
0,180,1.0600424,0.25596187
0,183,1.0219196,0.2586589
0,186,0.98501474,0.26125836
0,189,0.9493132,0.26376352
0,192,0.9147975,0.2661775
0,195,0.88144726,0.26850343
0,198,0.8492399,0.2707443
0,201,0.8181508,0.27290314
0,204,0.7881542,0.2749828
0,207,0.75922304,0.27698618
0,210,0.731329,0.27891594
0,213,0.70444375,0.28077477
0,216,0.6785375,0.2825653
0,219,0.6535815,0.28429002
0,222,0.6295458,0.28595135
0,225,0.6064017,0.28755167
0,228,0.58411986,0.28909326
0,231,0.56267196,0.2905783
0,234,0.54202956,0.29200894
0,237,0.522165,0.29338717
0,240,0.50305104,0.29471505
0,243,0.484661,0.29599446
0,246,0.4669689,0.29722723
0,249,0.44994935,0.29841512
0,252,0.43357763,0.29955986
0,255,0.41782984,0.3006631
0,258,0.40268257,0.30172643
0,261,0.38811323,0.30275133
0,264,0.37410006,0.3037393
0,267,0.36062175,0.30469176
0,270,0.34765777,0.30561
0,273,0.33518854,0.3064954
0,276,0.32319486,0.30734918
0,279,0.3116584,0.3081725
0,282,0.30056143,0.30896658
0,285,0.28988686,0.3097325
0,288,0.27961838,0.31047133
0,291,0.26973996,0.3111841
0,294,0.26023644,0.31187183
0,297,0.25109327,0.31253543
0,300,0.24229617,0.31317586
0,303,0.23383163,0.31379393
0,306,0.22568657,0.3143905
0,309,0.21784845,0.31496644
0,312,0.21030521,0.31552246
0,315,0.20304526,0.31605932
0,318,0.1960575,0.31657776
0,321,0.18933123,0.31707844
0,324,0.18285625,0.317562
0,327,0.17662267,0.31802917
0,330,0.17062107,0.31848046
0,333,0.16484225,0.31891653
0,336,0.15927728,0.31933787
0,339,0.15391742,0.3197451
0,342,0.14875396,0.3201387
0,345,0.14377847,0.32051912
0,348,0.13898309,0.3208869
0,351,0.13436049,0.32124248
0,354,0.12990399,0.32158628
0,357,0.12560704,0.32191873
0,360,0.12146326,0.3222402
0,363,0.1174665,0.32255116
