"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0008196298,2.4087024E-06
0,6,0.00981057,3.8525395E-05
0,9,0.03422275,0.00016290198
0,12,0.07858515,0.00043775977
0,15,0.14494897,0.00092715933
0,18,0.23309289,0.0016907554
0,21,0.34120515,0.0027804903
0,24,0.46645293,0.0042387634
0,27,0.6053879,0.0060974467
0,30,0.75425744,0.0083775865
0,33,0.9092591,0.01108971
0,36,1.0667363,0.014234562
0,39,1.2233301,0.017804174
0,42,1.3760729,0.02178312
0,45,1.5224427,0.026149854
0,48,1.6603843,0.030877994
0,51,1.7883002,0.035937577
0,54,1.9050254,0.041296203
0,57,2.009785,0.04692003
0,60,2.1021438,0.05277462
0,63,2.1819596,0.058825646
0,66,2.2493355,0.065039486
0,69,2.304574,0.07138367
0,72,2.348133,0.07782725
0,75,2.3805895,0.084341034
0,78,2.4026065,0.090897806
0,81,2.414903,0.09747235
0,84,2.4182308,0.104041584
0,87,2.4133568,0.110584505
0,90,2.401047,0.1170822
0,93,2.3820546,0.123517774
0,96,2.3571112,0.12987627
0,99,2.326919,0.13614461
0,102,2.2921429,0.14231141
0,105,2.2534058,0.14836697
0,108,2.2112892,0.15430304
0,111,2.1663322,0.16011278
0,114,2.1190326,0.16579063
0,117,2.0698442,0.17133218
0,120,2.0191805,0.17673409
0,123,1.9674146,0.18199395
0,126,1.9148817,0.18711022
0,129,1.8618819,0.19208208
0,132,1.8086816,0.1969094
0,135,1.7555165,0.20159265
0,138,1.7025933,0.2061328
0,141,1.6500922,0.21053125
0,144,1.5981692,0.21478982
0,147,1.5469581,0.21891065
0,150,1.4965727,0.22289611
0,153,1.447109,0.22674888
0,156,1.398646,0.23047176
0,159,1.3512485,0.23406775
0,162,1.3049682,0.23753995
0,165,1.259845,0.24089153
0,168,1.2159086,0.24412578
0,171,1.1731795,0.24724597
0,174,1.1316701,0.25025544
0,177,1.0913861,0.2531575
0,180,1.0523269,0.2559555
0,183,1.0144869,0.25865266
0,186,0.97785574,0.2612523
0,189,0.9424196,0.26375762
0,192,0.90816015,0.26617178
0,195,0.8750581,0.26849785
0,198,0.8430895,0.27073893
0,201,0.8122312,0.27289796
0,204,0.7824561,0.27497783
0,207,0.7537384,0.27698138
0,210,0.7260495,0.27891135
0,213,0.6993615,0.28077042
0,216,0.67364544,0.28256115
0,219,0.6488724,0.2842861
0,222,0.6250131,0.28594765
0,225,0.6020388,0.28754818
0,228,0.5799206,0.28908998
0,231,0.55863005,0.29057524
0,234,0.53813916,0.29200608
0,237,0.5184202,0.29338455
0,240,0.49944642,0.29471263
0,243,0.48119107,0.29599226
0,246,0.46362853,0.29722524
0,249,0.44673347,0.29841334
0,252,0.4304815,0.2995583
0,255,0.41484874,0.30066174
0,258,0.39981213,0.30172527
0,261,0.38534918,0.30275038
0,264,0.37143826,0.30373856
0,267,0.3580583,0.3046912
0,270,0.345189,0.30560967
0,273,0.33281073,0.30649525
0,276,0.32090458,0.3073492
0,279,0.30945233,0.30817276
0,282,0.29843628,0.30896702
0,285,0.2878396,0.30973315
0,288,0.27764592,0.3104722
0,291,0.26783946,0.31118518
0,294,0.25840518,0.3118731
0,297,0.24932848,0.31253693
0,300,0.24059531,0.31317753
0,303,0.23219222,0.3137958
0,306,0.22410627,0.3143926
0,309,0.21632497,0.3149687
0,312,0.20883639,0.3155249
0,315,0.20162903,0.31606197
0,318,0.19469187,0.31658056
0,321,0.18801433,0.31708145
0,324,0.1815862,0.31756523
