"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0008195034,2.4082149E-06
0,6,0.009809755,3.852036E-05
0,9,0.034220822,0.00016288509
0,12,0.07858187,0.0004377208
0,15,0.14494435,0.00092708593
0,18,0.23308721,0.001690634
0,21,0.34119886,0.0027803069
0,24,0.4664466,0.0042385035
0,27,0.6053823,0.0060970974
0,30,0.7542532,0.008377136
0,33,0.90925705,0.011089148
0,36,1.0667372,0.014233881
0,39,1.2233346,0.017803365
0,42,1.3760813,0.021782182
0,45,1.5224559,0.026148783
0,48,1.6604025,0.030876787
0,51,1.7883236,0.03593624
0,54,1.9050546,0.04129474
0,57,2.0098197,0.04691844
0,60,2.1021843,0.052772913
0,63,2.1820056,0.05882383
0,66,2.2493873,0.06503757
0,69,2.3046312,0.071381666
0,72,2.3481953,0.07782516
0,75,2.380657,0.08433887
0,78,2.4026783,0.09089558
0,81,2.4149792,0.097470075
0,84,2.418311,0.10403926
0,87,2.4134407,0.11058216
0,90,2.4011343,0.11707983
0,93,2.3821447,0.12351539
0,96,2.3572037,0.12987389
0,99,2.3270137,0.13614222
0,102,2.2922394,0.14230905
0,105,2.2535043,0.14836463
0,108,2.2113888,0.15430073
0,111,2.1664329,0.16011052
0,114,2.1191337,0.16578841
0,117,2.0699458,0.17133002
0,120,2.0192823,0.17673199
0,123,1.9675163,0.18199192
0,126,1.914983,0.18710825
0,129,1.8619827,0.19208017
0,132,1.8087817,0.19690758
0,135,1.7556158,0.20159091
0,138,1.7026917,0.20613113
0,141,1.6501894,0.21052969
0,144,1.598265,0.21478833
0,147,1.5470525,0.21890925
0,150,1.4966657,0.2228948
0,153,1.4472003,0.22674766
0,156,1.3987356,0.23047064
0,159,1.3513365,0.23406671
0,162,1.3050544,0.237539
0,165,1.2599294,0.24089068
0,168,1.2159911,0.24412501
0,171,1.1732601,0.2472453
0,174,1.1317488,0.25025484
0,177,1.0914629,0.25315702
0,180,1.0524018,0.25595507
0,183,1.0145597,0.25865233
0,186,0.97792673,0.26125208
0,189,0.9424887,0.26375747
0,192,0.9082274,0.2661717
0,195,0.8751234,0.26849785
0,198,0.8431529,0.27073902
0,201,0.81229275,0.2728981
0,204,0.7825159,0.27497807
0,207,0.7537964,0.27698168
0,210,0.7261057,0.27891174
0,213,0.69941604,0.28077087
0,216,0.67369825,0.2825617
0,219,0.6489235,0.28428668
0,222,0.62506264,0.2859483
0,225,0.6020867,0.28754893
0,228,0.579967,0.28909078
0,231,0.55867493,0.2905761
0,234,0.5381826,0.29200697
0,237,0.51846224,0.2933855
0,240,0.499487,0.29471365
0,243,0.48123032,0.29599333
0,246,0.46366644,0.29722634
0,249,0.4467701,0.29841453
0,252,0.4305169,0.29955953
0,255,0.41488293,0.30066302
0,258,0.39984515,0.30172658
0,261,0.38538107,0.30275175
0,264,0.37146902,0.30373996
0,267,0.35808802,0.30469263
0,270,0.34521767,0.30561113
0,273,0.33283842,0.30649677
0,276,0.3209313,0.30735075
0,279,0.3094781,0.30817434
0,282,0.29846117,0.30896863
0,285,0.28786358,0.3097348
