"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0010859208,2.6380103E-06
0,6,0.011734943,3.9166483E-05
0,9,0.03914541,0.00016187174
0,12,0.08758591,0.0004305082
0,15,0.15878478,0.0009067195
0,18,0.2522298,0.0016481518
0,21,0.3659046,0.0027053086
0,24,0.49683923,0.004119744
0,27,0.6414885,0.0059230477
0,30,0.7960281,0.008136486
0,33,0.9565999,0.010771229
0,36,1.119507,0.013829001
0,39,1.2813582,0.017303087
0,42,1.4391623,0.021179494
0,45,1.5903845,0.025438199
0,48,1.7329646,0.030054405
0,51,1.8653015,0.034999758
0,54,1.9862254,0.040243413
0,57,2.094959,0.04575301
0,60,2.1910684,0.05149549
0,63,2.274413,0.057437792
0,66,2.3450985,0.063547455
0,69,2.403429,0.06979302
0,72,2.4498637,0.07614444
0,75,2.4849808,0.08257328
0,78,2.509445,0.08905293
0,81,2.523975,0.095558695
0,84,2.5293238,0.102067865
0,87,2.526261,0.10855971
0,90,2.5155568,0.115015514
0,93,2.497967,0.12141845
0,96,2.4742265,0.12775357
0,99,2.4450388,0.13400768
0,102,2.4110723,0.14016928
0,105,2.3729565,0.14622839
0,108,2.3312802,0.15217657
0,111,2.2865884,0.15800665
0,114,2.2393851,0.16371283
0,117,2.19013,0.16929032
0,120,2.1392424,0.17473538
0,123,2.0871027,0.18004522
0,126,2.0340526,0.18521789
0,129,1.9803994,0.19025217
0,132,1.9264172,0.19514748
0,135,1.8723487,0.19990388
0,138,1.8184079,0.20452194
0,141,1.7647829,0.20900264
0,144,1.7116375,0.21334739
0,147,1.6591127,0.21755794
0,150,1.6073294,0.2216363
0,153,1.5563909,0.22558475
0,156,1.5063838,0.22940576
0,159,1.457379,0.23310196
0,162,1.4094352,0.23667617
0,165,1.3625987,0.24013124
0,168,1.3169054,0.24347015
0,171,1.2723815,0.24669592
0,174,1.2290454,0.2498116
0,177,1.1869081,0.2528203
0,180,1.1459739,0.25572512
0,183,1.106242,0.25852907
0,186,1.0677063,0.2612353
0,189,1.0303574,0.26384676
0,192,0.99418133,0.2663665
0,195,0.9591618,0.26879746
0,198,0.92528,0.27114254
0,201,0.89251477,0.27340457
0,204,0.8608431,0.2755863
0,207,0.830241,0.27769053
0,210,0.8006831,0.27971986
0,213,0.7721436,0.28167686
0,216,0.7445954,0.2835641
0,219,0.71801186,0.28538397
0,222,0.69236493,0.2871389
0,225,0.66762733,0.28883114
0,228,0.6437716,0.290463
0,231,0.62077034,0.29203656
0,234,0.5985967,0.293554
0,237,0.57722396,0.2950173
0,240,0.55662596,0.2964284
0,243,0.5367769,0.29778928
0,246,0.5176516,0.2991017
0,249,0.4992252,0.30036744
0,252,0.48147362,0.30158824
0,255,0.46437326,0.30276573
0,258,0.4479012,0.3039015
0,261,0.43203497,0.30499706
0,264,0.41675302,0.30605394
0,267,0.4020342,0.3070735
0,270,0.3878581,0.3080572
0,273,0.37420493,0.3090063
0,276,0.36105555,0.30992207
0,279,0.34839138,0.31080577
0,282,0.33619455,0.3116586
0,285,0.32444772,0.31248164
0,288,0.3131341,0.31327602
0,291,0.30223763,0.3140428
0,294,0.29174262,0.314783
0,297,0.28163412,0.31549758
0,300,0.27189764,0.31618747
0,303,0.26251906,0.31685364
0,306,0.25348505,0.3174969
0,309,0.24478273,0.3181181
0,312,0.23639949,0.31871808
0,315,0.22832333,0.31929755
0,318,0.22054274,0.31985733
0,321,0.21304658,0.3203981
0,324,0.20582408,0.32092056
0,327,0.19886494,0.32142535
0,330,0.19215922,0.32191318
0,333,0.18569733,0.3223846
0,336,0.1794697,0.32284024
0,339,0.17346671,0.3232807
0,342,0.16767925,0.32370645
0,345,0.16209869,0.32411805
0,348,0.15671678,0.324516
0,351,0.15152569,0.32490078
0,354,0.14651807,0.32527286
0,357,0.14168686,0.3256327
0,360,0.13702528,0.32598072
0,363,0.13252689,0.3263173
0,366,0.12818551,0.3266429
0,369,0.12399523,0.32695785
0,372,0.11995041,0.32726252
0,375,0.11604567,0.3275573
0,378,0.112275824,0.32784253
0,381,0.1086359,0.3281185
0,384,0.10512112,0.32838556
0,387,0.10172691,0.328644
0,390,0.09844892,0.32889414
0,393,0.09528282,0.32913622
0,396,0.09222467,0.32937056
0,399,0.08927058,0.32959738
0,402,0.08641672,0.32981697
0,405,0.0836596,0.33002955
0,408,0.08099569,0.33023536
0,411,0.07842167,0.33043465
0,414,0.07593437,0.33062762
0,417,0.07353066,0.3308145
0,420,0.07120761,0.33099547
0,423,0.06896236,0.33117074
0,426,0.06679214,0.3313405
0,429,0.064694345,0.3315049
0,432,0.06266638,0.3316642
0,435,0.06070583,0.33181852
0,438,0.058810342,0.331968
0,441,0.05697761,0.33211282
0,444,0.055205483,0.33225316
0,447,0.05349183,0.33238915
0,450,0.051834624,0.3325209
0,453,0.05023193,0.3326486
0,456,0.048681825,0.33277237
0,459,0.047182523,0.33289233
0,462,0.04573227,0.3330086
0,465,0.044329364,0.3331213
0,468,0.042972203,0.33323056
0,471,0.0416592,0.3333365
0,474,0.040388852,0.33343917
0,477,0.039159715,0.33353874
0,480,0.03797036,0.3336353
0,483,0.036819458,0.33372894
0,486,0.035705697,0.33381972
0,489,0.03462781,0.33390778
0,492,0.033584602,0.3339932
0,495,0.032574885,0.33407605
0,498,0.031597536,0.3341564
0,501,0.030651478,0.33423436
0,504,0.029735643,0.33430997
0,507,0.028849036,0.33438334
0,510,0.027990665,0.33445454
0,513,0.027159594,0.33452362
0,516,0.026354918,0.33459064
0,519,0.025575746,0.3346557
0,522,0.024821242,0.33471882
0,525,0.02409059,0.33478013
0,528,0.023382988,0.33483958
0,531,0.02269769,0.33489734
0,534,0.022033945,0.3349534
0,537,0.021391043,0.33500782
0,540,0.020768309,0.33506063
0,543,0.020165091,0.33511195
0,546,0.01958072,0.33516175
0,549,0.019014595,0.33521014
0,552,0.01846613,0.3352571
0,555,0.017934762,0.33530274
0,558,0.017419903,0.33534706
0,561,0.016921034,0.33539012
0,564,0.016437642,0.33543193
0,567,0.015969226,0.33547258
0,570,0.015515298,0.33551207
0,573,0.015075389,0.33555043
0,576,0.014649048,0.33558768
0,579,0.014235836,0.33562392
0,582,0.013835338,0.33565912
0,585,0.01344714,0.33569333
0,588,0.013070847,0.33572662
0,591,0.012706073,0.33575895
0,594,0.012352461,0.33579037
0,597,0.01200965,0.33582094
0,600,0.011677294,0.33585066
0,603,0.011355062,0.33587956
0,606,0.011042635,0.33590767
0,609,0.010739703,0.335935
0,612,0.0104459645,0.33596158
0,615,0.010161131,0.33598745
0,618,0.009884921,0.3360126
0,621,0.009617064,0.3360371
0,624,0.009357297,0.3360609
0,627,0.009105367,0.3360841
0,630,0.008861029,0.33610663
0,633,0.008624045,0.3361286
0,636,0.008394184,0.33614996
0,639,0.008171222,0.33617076
0,642,0.0079549495,0.33619103
0,645,0.0077451537,0.33621073
0,648,0.007541634,0.33622992
0,651,0.0073441956,0.33624864
0,654,0.0071526514,0.33626685
0,657,0.006966818,0.33628458
0,660,0.0067865187,0.33630186
0,663,0.0066115824,0.3363187
0,666,0.0064418456,0.3363351
0,669,0.006277147,0.33635107
0,672,0.0061173323,0.33636665
0,675,0.0059622517,0.33638185
0,678,0.00581176,0.33639663
0,681,0.0056657176,0.33641106
0,684,0.005523987,0.33642513
0,687,0.005386438,0.33643886
0,690,0.0052529434,0.33645222
0,693,0.0051233787,0.33646527
0,696,0.004997624,0.336478
0,699,0.0048755645,0.33649042
0,702,0.0047570886,0.33650255
0,705,0.0046420866,0.33651435
0,708,0.0045304536,0.3365259
0,711,0.0044220886,0.33653715
0,714,0.0043168925,0.33654815
0,717,0.0042147697,0.3365589
0,720,0.0041156276,0.33656937
0,723,0.0040193773,0.33657962
0,726,0.0039259316,0.33658963
0,729,0.0038352064,0.33659938
0,732,0.00374712,0.33660895
0,735,0.0036615944,0.33661827
0,738,0.0035785525,0.3366274
0,741,0.0034979202,0.3366363
0,744,0.0034196258,0.336645
0,747,0.0033436,0.33665353
0,750,0.0032697753,0.33666188
0,753,0.0031980863,0.33667
0,756,0.0031284692,0.33667797
0,759,0.0030608636,0.33668578
0,762,0.0029952095,0.3366934
0,765,0.0029314493,0.3367009
0,768,0.0028695269,0.3367082
0,771,0.0028093886,0.33671537
0,774,0.0027509818,0.33672237
0,777,0.0026942554,0.33672923
0,780,0.00263916,0.33673596
0,783,0.0025856483,0.33674255
0,786,0.0025336738,0.33674902
0,789,0.002483191,0.33675534
0,792,0.0024341566,0.33676153
0,795,0.0023865288,0.33676764
0,798,0.0023402662,0.3367736
0,801,0.002295329,0.33677945
0,804,0.0022516786,0.3367852
0,807,0.002209278,0.33679083
0,810,0.002168091,0.33679634
0,813,0.002128082,0.33680177
0,816,0.002089217,0.3368071
0,819,0.0020514634,0.33681235
0,822,0.0020147886,0.33681747
0,825,0.0019791615,0.3368225
0,828,0.0019445523,0.3368275
0,831,0.0019109314,0.33683234
0,834,0.0018782706,0.33683714
