"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.011693294,3.0614938E-05
0,6,0.08531463,0.0003066203
0,9,0.22366147,0.0010009725
0,12,0.42155078,0.0022531082
0,15,0.66986245,0.004175837
0,18,0.95619357,0.0068463995
0,21,1.2674823,0.010308507
0,24,1.5913748,0.014576281
0,27,1.9167953,0.019638384
0,30,2.2342234,0.025462292
0,33,2.5358124,0.031998638
0,36,2.815403,0.03918539
0,39,3.068453,0.046951734
0,42,3.2919056,0.055221498
0,45,3.484008,0.06391615
0,48,3.6441104,0.0729571
0,51,3.7724721,0.08226774
0,54,3.870071,0.091774784
0,57,3.9384236,0.10140943
0,60,3.9794366,0.111108
0,63,3.995279,0.12081248
0,66,3.9882767,0.13047066
0,69,3.96082,0.14003623
0,72,3.9152958,0.14946859
0,75,3.8540347,0.15873273
0,78,3.77927,0.16779889
0,81,3.693116,0.17664227
0,84,3.5975418,0.18524261
0,87,3.494359,0.19358385
0,90,3.3852165,0.20165364
0,93,3.2716043,0.20944302
0,96,3.1548564,0.21694608
0,99,3.0361543,0.22415954
0,102,2.9165337,0.23108244
0,105,2.7968957,0.23771586
0,108,2.6780152,0.24406251
0,111,2.560551,0.25012666
0,114,2.4450572,0.2559137
0,117,2.3319929,0.26143003
0,120,2.2217314,0.26668286
0,123,2.1145704,0.27168003
0,126,2.0107396,0.27642986
0,129,1.9104105,0.28094104
0,132,1.813704,0.2852224
0,135,1.7206951,0.289283
0,138,1.6314217,0.2931319
0,141,1.5458885,0.2967781
0,144,1.4640734,0.30023062
0,147,1.385931,0.30349824
0,150,1.311397,0.3065896
0,153,1.2403917,0.30951318
0,156,1.1728235,0.31227714
0,159,1.1085911,0.31488943
0,162,1.0475857,0.31735775
0,165,0.9896937,0.31968945
0,168,0.93479776,0.3218917
0,171,0.8827786,0.32397127
0,174,0.83351624,0.32593474
0,177,0.7868909,0.3277883
0,180,0.74278414,0.32953793
0,183,0.7010791,0.33118927
0,186,0.6616614,0.33274782
0,189,0.6244196,0.3342186
0,192,0.5892456,0.33560658
0,195,0.55603456,0.33691633
0,198,0.5246855,0.3381523
0,201,0.49510115,0.33931857
0,204,0.46718818,0.34041914
0,207,0.44085717,0.34145772
0,210,0.41602266,0.34243786
0,213,0.39260307,0.34336287
0,216,0.3705206,0.34423587
0,219,0.3497012,0.34505987
0,222,0.33007452,0.34583768
0,225,0.31157377,0.34657195
0,228,0.29413548,0.34726518
0,231,0.27769962,0.3479197
0,234,0.2622092,0.34853774
0,237,0.24761042,0.34912145
0,240,0.23385227,0.34967276
0,243,0.22088659,0.35019356
0,246,0.20866784,0.3506856
0,249,0.1971531,0.3511505
0,252,0.18630178,0.35158986
0,255,0.17607558,0.35200515
0,258,0.16643837,0.35239777
0,261,0.15735607,0.352769
0,264,0.14879656,0.35312006
0,267,0.14072958,0.35345215
0,270,0.13312657,0.35376632
0,273,0.12596066,0.3540636
0,276,0.1192065,0.354345
0,279,0.11284022,0.3546114
0,282,0.10683934,0.35486367
0,285,0.10118266,0.3551026
0,288,0.09585026,0.355329
0,291,0.09082333,0.35554355
0,294,0.0860841,0.35574692
0,297,0.08161559,0.3559398
0,300,0.077401586,0.35612273
0,303,0.073426284,0.3562963
0,306,0.06967467,0.35646102
0,309,0.06613302,0.3566174
0,312,0.06278886,0.3567659
0,315,0.059630487,0.35690692
0,318,0.05664669,0.35704094
0,321,0.05382698,0.3571683
0,324,0.051161744,0.35728937
0,327,0.048642047,0.3574045
0,330,0.046259403,0.357514
0,333,0.044005796,0.35761818
0,336,0.04187377,0.35771734
0,339,0.039856374,0.35781172
0,342,0.037947062,0.3579016
0,345,0.03613967,0.35798723
0,348,0.03442839,0.3580688
0,351,0.032807782,0.35814655
0,354,0.031272706,0.35822067
0,357,0.029818356,0.35829136
0,360,0.028440261,0.3583588
0,363,0.027134115,0.35842314
0,366,0.025895981,0.35848457
0,369,0.024722116,0.3585432
0,372,0.023608904,0.35859922
0,375,0.022553112,0.35865274
0,378,0.021551462,0.35870388
0,381,0.020601073,0.3587528
0,384,0.019699095,0.35879955
0,387,0.01884289,0.3588443
0,390,0.018029992,0.3588871
0,393,0.017258007,0.3589281
0,396,0.016524775,0.35896736
0,399,0.015828148,0.35900497
0,402,0.015166204,0.35904104
0,405,0.014537065,0.35907558
0,408,0.013938969,0.35910872
0,411,0.013370285,0.35914052
0,414,0.01282941,0.35917103
0,417,0.012314908,0.35920033
0,420,0.011825342,0.35922846
0,423,0.011359423,0.3592555
0,426,0.010915901,0.35928145
0,429,0.010493589,0.35930642
0,432,0.010091396,0.35933045
0,435,0.009708246,0.35935357
0,438,0.009343173,0.35937583
0,441,0.008995218,0.35939726
0,444,0.008663507,0.3594179
0,447,0.008347202,0.3594378
0,450,0.008045501,0.35945696
0,453,0.0077576716,0.35947546
0,456,0.007482985,0.3594933
0,459,0.0072207884,0.3595105
0,462,0.0069704372,0.35952714
0,465,0.0067313365,0.3595432
0,468,0.006502921,0.3595587
0,471,0.006284647,0.3595737
0,474,0.006076017,0.3595882
0,477,0.005876538,0.3596022
0,480,0.0056857644,0.3596158
