"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0011713086,3.1026462E-05
0,6,0.008423246,0.000304208
0,9,0.021962022,0.0009806775
0,12,0.041333675,0.002191944
0,15,0.065706864,0.00404593
0,18,0.09391038,0.0066175135
0,21,0.12468804,0.0099502
0,24,0.15683588,0.014059585
0,27,0.18926243,0.018936984
0,30,0.22101843,0.02455325
0,33,0.25131243,0.03086281
0,36,0.2795145,0.037807476
0,39,0.3051522,0.045320146
0,42,0.3278997,0.05332811
0,45,0.34756172,0.061755933
0,48,0.36405444,0.070527785
0,51,0.3773869,0.07956939
0,54,0.38764265,0.0888095
0,57,0.3949623,0.09818098
0,60,0.39952803,0.10762161
0,63,0.40155032,0.117074534
0,66,0.4012571,0.12648848
0,69,0.3988846,0.1358179
0,72,0.39467007,0.1450228
0,75,0.38884616,0.15406862
0,78,0.3816369,0.16292594
0,81,0.3732544,0.17157018
0,84,0.36389697,0.1799812
0,87,0.35374776,0.18814296
0,90,0.34297407,0.19604312
0,93,0.33172718,0.2036727
0,96,0.3201427,0.21102566
0,99,0.30834085,0.21809857
0,102,0.2964275,0.22489028
0,105,0.28449467,0.23140162
0,108,0.27262184,0.23763514
0,111,0.26087672,0.24359474
0,114,0.24931633,0.24928556
0,117,0.23798811,0.25471374
0,120,0.22693078,0.25988615
0,123,0.21617533,0.26481032
0,126,0.20574594,0.26949424
0,129,0.19566077,0.27394623
0,132,0.18593271,0.27817488
0,135,0.17657013,0.28218886
0,138,0.16757749,0.2859969
0,141,0.1589559,0.2896078
0,144,0.15070364,0.2930301
0,147,0.14281668,0.2962724
0,150,0.13528898,0.29934302
0,153,0.12811297,0.30225012
0,156,0.121279754,0.3050016
0,159,0.11477948,0.30760512
0,162,0.10860151,0.31006813
0,165,0.10273468,0.3123978
0,168,0.09716742,0.31460094
0,171,0.09188796,0.3166842
0,174,0.086884424,0.31865385
0,177,0.082144946,0.32051593
0,180,0.07765777,0.3222762
0,183,0.07341128,0.32394016
0,186,0.06939413,0.32551304
0,189,0.06559521,0.32699975
0,192,0.06200377,0.32840508
0,195,0.058609366,0.3297335
0,198,0.05540194,0.3309892
0,201,0.052371796,0.3321763
0,204,0.049509626,0.3332985
0,207,0.046806514,0.3343595
0,210,0.044253923,0.33536267
0,213,0.04184372,0.33631125
0,216,0.039568134,0.3372083
0,219,0.037419777,0.3380567
0,222,0.03539162,0.33885917
0,225,0.033476993,0.33961827
0,228,0.031669557,0.34033644
0,231,0.029963313,0.34101596
0,234,0.028352572,0.34165904
0,237,0.026831947,0.34226763
0,240,0.02539635,0.34284374
0,243,0.024040965,0.34338915
0,246,0.022761239,0.34390557
0,249,0.021552874,0.34439462
0,252,0.020411814,0.34485784
0,255,0.019334227,0.34529662
0,258,0.018316498,0.34571236
0,261,0.01735522,0.34610635
0,264,0.016447175,0.34647974
0,267,0.015589333,0.34683368
0,270,0.014778835,0.34716928
0,273,0.014012988,0.3474875
0,276,0.0132892495,0.34778935
0,279,0.012605229,0.34807566
0,282,0.01195867,0.34834734
0,285,0.011347448,0.34860516
0,288,0.01076956,0.3488499
0,291,0.0102231195,0.3490822
0,294,0.009706351,0.34930283
0,297,0.009217578,0.34951237
0,300,0.008755224,0.34971142
0,303,0.008317801,0.34990054
0,306,0.00790391,0.35008028
0,309,0.007512231,0.35025114
0,312,0.007141519,0.35041356
0,315,0.006790602,0.35056806
0,318,0.0064583765,0.35071498
0,321,0.0061438004,0.3508548
0,324,0.0058458927,0.35098785
0,327,0.005563729,0.35111448
0,330,0.0052964366,0.35123506
0,333,0.0050431937,0.3513499
0,336,0.004803225,0.35145926
0,339,0.0045757997,0.35156348
0,342,0.004360229,0.3516628
0,345,0.004155862,0.3517575
0,348,0.0039620865,0.35184777
0,351,0.0037783233,0.35193387
0,354,0.0036040272,0.352016
0,357,0.0034386832,0.3520944
0,360,0.0032818054,0.35216922
0,363,0.0031329358,0.35224068
0,366,0.0029916414,0.3523089
0,369,0.0028575142,0.35237408
0,372,0.0027301682,0.35243636
0,375,0.0026092406,0.3524959
0,378,0.0024943869,0.35255283
0,381,0.0023852831,0.35260728
0,384,0.0022816234,0.35265937
0,387,0.002183116,0.3527092
0,390,0.0020894893,0.35275692
0,393,0.0020004848,0.35280263
0,396,0.0019158557,0.35284638
0,399,0.0018353745,0.35288832
0,402,0.0017588218,0.35292852
0,405,0.0016859905,0.35296705
0,408,0.0016166881,0.353004
0,411,0.0015507297,0.35303947
0,414,0.001487941,0.3530735
0,417,0.0014281587,0.35310617
0,420,0.0013712265,0.35313752
0,423,0.0013169973,0.35316765
0,426,0.0012653328,0.35319662
0,429,0.0012161004,0.35322446
0,432,0.0011691757,0.35325122
0,435,0.0011244415,0.35327697
0,438,0.0010817852,0.35330173
0,441,0.0010411019,0.35332558
0,444,0.0010022918,0.35334855
0,447,0.0009652599,0.35337067
0,450,0.0009299171,0.35339198
0,453,0.00089617865,0.3534125
0,456,0.0008639639,0.35343233
0,459,0.0008331976,0.35345143
0,462,0.00080380734,0.35346988
0,465,0.0007757248,0.35348767
0,468,0.00074888597,0.35350484
0,471,0.0007232292,0.35352144
0,474,0.0006986965,0.35353747
0,477,0.0006752332,0.35355297
0,480,0.0006527869,0.35356796
0,483,0.00063130836,0.35358247
0,486,0.00061075087,0.35359648
0,489,0.00059106987,0.35361007
0,492,0.0005722234,0.3536232
0,495,0.0005541716,0.35363594
0,498,0.0005368765,0.35364828
0,501,0.0005203023,0.35366023
0,504,0.0005044149,0.35367182
0,507,0.00048918184,0.35368308
0,510,0.0004745727,0.353694
0,513,0.00046055828,0.35370457
0,516,0.00044711074,0.35371488
0,519,0.00043420415,0.35372487
0,522,0.0004218134,0.35373455
0,525,0.0004099148,0.353744
0,528,0.00039848604,0.35375318
0,531,0.00038750566,0.3537621
0,534,0.00037695334,0.35377076
0,537,0.00036680995,0.35377923
0,540,0.00035705706,0.35378745
0,543,0.00034767739,0.35379544
0,546,0.00033865453,0.35380325
0,549,0.00032997256,0.35381085
0,552,0.00032161648,0.35381827
0,555,0.00031357195,0.35382548
0,558,0.00030582616,0.35383254
0,561,0.00029836572,0.3538394
0,564,0.0002911781,0.35384613
0,567,0.00028425126,0.3538527
0,570,0.00027757537,0.35385907
0,573,0.00027113917,0.35386533
0,576,0.0002649324,0.35387143
0,579,0.00025894513,0.3538774
0,582,0.00025316872,0.35388324
0,585,0.0002475947,0.35388896
0,588,0.0002422144,0.35389456
0,591,0.00023701982,0.35390002
0,594,0.00023200345,0.35390538
0,597,0.00022715851,0.35391062
0,600,0.00022247792,0.35391575
0,603,0.00021795514,0.3539208
0,606,0.00021358387,0.3539257
0,609,0.00020935843,0.35393053
0,612,0.00020527304,0.35393527
0,615,0.00020132225,0.35393992
0,618,0.00019750083,0.35394448
0,621,0.00019380396,0.35394898
0,624,0.00019022697,0.35395336
0,627,0.00018676523,0.35395768
0,630,0.00018341438,0.3539619
0,633,0.00018017026,0.3539661
