"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.019566635,3.000729E-05
0,6,0.14844987,0.0003090795
0,9,0.39571595,0.0010174181
0,12,0.7526509,0.0022979877
0,15,1.202808,0.0042656776
0,18,1.7234774,0.006998248
0,21,2.290551,0.010538647
0,24,2.8811486,0.014899307
0,27,3.474762,0.020066613
0,30,4.053778,0.026005458
0,33,4.6037064,0.032663796
0,36,5.1131964,0.039976995
0,39,5.5739,0.047871813
0,42,5.980208,0.05626992
0,45,6.3289075,0.06509082
0,48,6.618827,0.07425428
0,51,6.850463,0.08368226
0,54,7.0256352,0.093300335
0,57,7.1471624,0.10303879
0,60,7.2185793,0.112833254
0,63,7.2439017,0.12262519
0,66,7.227434,0.13236202
0,69,7.1735916,0.14199719
0,72,7.0867825,0.15149003
0,75,6.971304,0.16080555
0,78,6.831274,0.16991405
0,81,6.6705823,0.17879088
0,84,6.492849,0.18741597
0,87,6.3014083,0.1957735
0,90,6.0992975,0.20385143
0,93,5.889255,0.21164118
0,96,5.6737275,0.2191372
0,99,5.454879,0.2263366
0,102,5.2346077,0.23323882
0,105,5.01456,0.23984532
0,108,4.796151,0.2461593
0,111,4.5805817,0.25218537
0,114,4.368858,0.2579294
0,117,4.16181,0.26339823
0,120,3.9601116,0.26859942
0,123,3.7642963,0.27354127
0,126,3.5747743,0.27823249
0,129,3.3918478,0.28268206
0,132,3.2157238,0.28689927
0,135,3.0465262,0.29089347
0,138,2.88431,0.2946741
0,141,2.7290726,0.29825047
0,144,2.5807614,0.30163184
0,147,2.4392803,0.3048273
0,150,2.3044994,0.30784577
0,153,2.1762617,0.31069592
0,156,2.0543878,0.31338617
0,159,1.9386818,0.3159247
0,162,1.8289349,0.31831932
0,165,1.7249291,0.32057765
0,168,1.6264409,0.32270694
0,171,1.5332439,0.32471412
0,174,1.4451106,0.32660592
0,177,1.3618146,0.3283886
0,180,1.2831322,0.33006832
0,183,1.2088431,0.33165076
0,186,1.1387328,0.33314145
0,189,1.0725924,0.33454558
0,192,1.0102195,0.3358681
0,195,0.9514181,0.33711365
0,198,0.89599955,0.3382867
0,201,0.8437827,0.33939144
0,204,0.794594,0.3404318
0,207,0.7482671,0.34141156
0,210,0.70464355,0.34233427
0,213,0.6635721,0.34320322
0,216,0.6249088,0.3440216
0,219,0.588517,0.34479237
0,222,0.55426687,0.34551832
0,225,0.52203524,0.3462021
0,228,0.4917055,0.3468462
0,231,0.46316728,0.34745297
0,234,0.4363162,0.3480246
0,237,0.41105357,0.34856316
0,240,0.38728628,0.34907064
0,243,0.36492628,0.34954885
0,246,0.34389067,0.34999955
0,249,0.32410115,0.35042435
0,252,0.305484,0.35082474
0,255,0.2879697,0.35120225
0,258,0.2714928,0.3515582
0,261,0.25599167,0.35189384
0,264,0.24140829,0.3522104
0,267,0.22768804,0.352509
0,270,0.21477954,0.35279068
0,273,0.20263442,0.3530565
0,276,0.19120724,0.35330734
0,279,0.18045522,0.3535441
0,282,0.17033812,0.3537676
0,285,0.16081813,0.35397863
0,288,0.15185969,0.35417795
0,291,0.14342935,0.35436624
0,294,0.13549569,0.35454413
0,297,0.12802914,0.35471222
0,300,0.12100193,0.35487112
0,303,0.114387944,0.3550214
0,306,0.108162634,0.35516346
0,309,0.10230292,0.3552979
0,312,0.0967871,0.35542506
0,315,0.0915948,0.35554546
0,318,0.08670683,0.35565943
0,321,0.082105175,0.3557674
0,324,0.07777289,0.35586968
0,327,0.07369406,0.3559666
0,330,0.06985369,0.3560585
0,333,0.06623771,0.35614568
0,336,0.06283289,0.35622838
0,339,0.059626773,0.35630688
0,342,0.056607675,0.35638142
0,345,0.053764574,0.35645226
0,348,0.0510871,0.35651955
0,351,0.048565548,0.35658357
0,354,0.046190713,0.35664445
0,357,0.043954026,0.35670242
0,360,0.041847356,0.35675764
0,363,0.03986309,0.35681024
0,366,0.037994076,0.3568604
0,369,0.036233548,0.35690823
0,372,0.034575175,0.35695392
0,375,0.03301296,0.35699752
0,378,0.031541206,0.3570392
0,381,0.030154064,0.35707912
0,384,0.028845537,0.35711727
0,387,0.027609989,0.3571538
0,390,0.026442282,0.35718882
0,393,0.025337802,0.35722238
0,396,0.024292355,0.35725453
0,399,0.023302093,0.3572854
0,402,0.022363478,0.35731506
0,405,0.021473259,0.35734352
0,408,0.020628436,0.35737088
0,411,0.01982624,0.3573972
0,414,0.019064099,0.3574225
0,417,0.018339632,0.35744682
0,420,0.017650621,0.35747027
0,423,0.016995035,0.35749283
0,426,0.016370945,0.35751456
0,429,0.015776591,0.35753554
0,432,0.015210297,0.35755575
0,435,0.014670511,0.35757524
0,438,0.014155782,0.35759407
0,441,0.013664739,0.35761222
0,444,0.013196117,0.35762978
0,447,0.012748712,0.35764673
0,450,0.012321405,0.35766312
0,453,0.011913143,0.35767898
0,456,0.011522914,0.35769433
0,459,0.011149798,0.35770917
0,462,0.010792938,0.35772353
0,465,0.01045145,0.35773745
0,468,0.010124598,0.35775095
0,471,0.0098116845,0.35776404
0,474,0.009511955,0.3577767
0,477,0.009224791,0.35778898
0,480,0.0089496,0.35780093
