"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0016391786,2.4076064E-06
0,6,0.01962077,3.8508173E-05
0,9,0.06844639,0.00016282836
0,12,0.15717733,0.00043755176
0,15,0.28992024,0.0009266801
0,18,0.46623826,0.0016897866
0,21,0.6825124,0.0027787015
0,24,0.9330823,0.004235691
0,27,1.2110561,0.00609248
0,30,1.5089338,0.008369966
0,33,1.8191135,0.011078538
0,36,2.134284,0.014218826
0,39,2.4477284,0.017782768
0,42,2.7535117,0.021754898
0,45,3.0465908,0.026113663
0,48,3.3228528,0.030832719
0,51,3.5790997,0.03588219
0,54,3.8129923,0.041229777
0,57,4.022971,0.046841767
0,60,4.20816,0.05268386
0,63,4.3682647,0.058721885
0,66,4.5034795,0.064922355
0,69,4.6143937,0.071252935
0,72,4.701914,0.0776828
0,75,4.7671833,0.08418287
0,78,4.811521,0.09072601
0,81,4.836363,0.0972871
0,84,4.8432155,0.10384314
0,87,4.8336163,0.11037319
0,90,4.809101,0.11685842
0,93,4.7711806,0.123281986
0,96,4.721319,0.12962896
0,99,4.6609235,0.13588625
0,102,4.591319,0.14204255
0,105,4.5137568,0.14808811
0,108,4.429405,0.1540147
0,111,4.3393426,0.1598155
0,114,4.2445674,0.1654849
0,117,4.1459923,0.1710185
0,120,4.0444455,0.1764129
0,123,3.940677,0.18166566
0,126,3.8353598,0.18677521
0,129,3.7290945,0.19174072
0,132,3.6224165,0.19656204
0,135,3.5157988,0.20123956
0,138,3.4096572,0.20577423
0,141,3.304354,0.21016744
0,144,3.2002027,0.21442097
0,147,3.0974722,0.2185369
0,150,2.996392,0.22251764
0,153,2.8971543,0.22636577
0,156,2.7999194,0.2300841
0,159,2.7048168,0.23367561
0,162,2.6119516,0.23714337
0,165,2.521404,0.24049054
0,168,2.433234,0.24372037
0,171,2.3474834,0.24683613
0,174,2.2641778,0.24984114
0,177,2.1833286,0.2527387
0,180,2.1049356,0.25553215
0,183,2.0289867,0.2582247
0,186,1.9554622,0.26081964
0,189,1.884334,0.2633202
0,192,1.8155676,0.2657295
0,195,1.7491214,0.26805064
0,198,1.6849517,0.27028668
0,201,1.6230074,0.27244055
0,204,1.5632379,0.27451518
0,207,1.5055898,0.27651337
0,210,1.4500077,0.27843788
0,213,1.3964343,0.28029135
0,216,1.3448119,0.2820764
0,219,1.2950824,0.2837955
0,222,1.2471877,0.2854511
0,225,1.2010695,0.28704557
0,228,1.1566702,0.2885812
0,231,1.113933,0.29006013
0,234,1.0728018,0.2914845
0,237,1.0332206,0.29285645
0,240,0.99513644,0.29417786
0,243,0.9584945,0.29545072
0,246,0.9232434,0.29667687
0,249,0.88933253,0.2978581
0,252,0.85671204,0.29899612
0,255,0.8253348,0.30009252
0,258,0.79515386,0.30114895
0,261,0.76612467,0.30216688
0,264,0.7382036,0.3031478
0,267,0.71134853,0.3040931
0,270,0.6855188,0.30500415
0,273,0.6606752,0.30588222
0,276,0.6367796,0.3067286
0,279,0.6137955,0.3075445
0,282,0.5916874,0.30833107
0,285,0.5704214,0.30908942
0,288,0.5499644,0.30982065
0,291,0.5302851,0.31052575
0,294,0.511353,0.31120571
0,297,0.49313876,0.31186152
0,300,0.47561437,0.31249407
0,303,0.45875263,0.31310424
0,306,0.44252774,0.31369287
0,309,0.4269145,0.31426078
0,312,0.41188908,0.31480873
0,315,0.39742836,0.31533748
0,318,0.38351017,0.31584775
0,321,0.3701133,0.31634027
0,324,0.35721725,0.3168156
0,327,0.34480256,0.31727448
0,330,0.33285016,0.3177175
0,333,0.32134223,0.3181452
0,336,0.31026128,0.3185582
0,339,0.2995907,0.318957
0,342,0.28931457,0.31934217
0,345,0.27941746,0.3197142
0,348,0.26988477,0.32007352
0,351,0.26070225,0.32042065
0,354,0.25185648,0.32075605
0,357,0.24333437,0.32108012
0,360,0.23512347,0.32139325
