"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0019787713,2.4171563E-06
0,6,0.020624198,3.461492E-05
0,9,0.06801038,0.00014130001
0,12,0.15167803,0.00037409243
0,15,0.27505147,0.0007869722
0,18,0.4378078,0.0014312569
0,21,0.63703847,0.002352827
0,24,0.86811376,0.0035904206
0,27,1.1252711,0.0051745367
0,30,1.4021043,0.007126904
0,33,1.6919813,0.009460452
0,36,1.9884036,0.012179735
0,39,2.2852848,0.015281643
0,42,2.5771477,0.018756337
0,45,2.859254,0.022588301
0,48,3.1276562,0.026757421
0,51,3.3792078,0.031240018
0,54,3.6115274,0.036009844
0,57,3.8229384,0.041038953
0,60,4.012393,0.04629845
0,63,4.1793833,0.051759154
0,66,4.323864,0.057392124
0,69,4.4461694,0.0631691
0,72,4.5469403,0.06906286
0,75,4.627057,0.07504746
0,78,4.6875796,0.08109843
0,81,4.729695,0.08719288
0,84,4.7546697,0.093309626
0,87,4.763816,0.09942919
0,90,4.7584596,0.1055338
0,93,4.7399187,0.11160736
0,96,4.7094817,0.117635384
0,99,4.6683984,0.12360499
0,102,4.6178603,0.12950477
0,105,4.5589943,0.13532472
0,108,4.492859,0.14105614
0,111,4.4204435,0.14669153
0,114,4.342668,0.15222457
0,117,4.26038,0.15764993
0,120,4.174357,0.16296327
0,123,4.0853086,0.1681611
0,126,3.9938772,0.17324068
0,129,3.9006455,0.17820004
0,132,3.806137,0.18303782
0,135,3.7108207,0.1877532
0,138,3.6151145,0.1923459
0,141,3.5193884,0.19681607
0,144,3.4239695,0.20116428
0,147,3.3291445,0.20539139
0,150,3.2351632,0.20949861
0,153,3.142243,0.21348742
0,156,3.0505693,0.21735945
0,159,2.9603016,0.22111659
0,162,2.871574,0.22476088
0,165,2.7844977,0.22829443
0,168,2.6991649,0.23171955
