"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Furosemide|Fraction excreted to urine"
0,0,0,0
0,3,0.0016443798,2.5092997E-06
0,6,0.01904299,3.8922277E-05
0,9,0.06559089,0.00016256467
0,12,0.14973077,0.000434219
0,15,0.2753495,0.0009165889
0,18,0.44212943,0.0016682491
0,21,0.6468006,0.0027404386
0,24,0.8841699,0.004175241
0,27,1.1478515,0.0060045472
0,30,1.4308351,0.008249692
0,33,1.7259619,0.010921668
0,36,2.0262985,0.0140218
0,39,2.3254373,0.017542765
0,42,2.6176891,0.021469822
0,45,2.8981926,0.025782088
0,48,3.1629632,0.030453831
0,51,3.4088836,0.035455707
0,54,3.6336598,0.04075589
0,57,3.8357446,0.04632105
0,60,4.0142508,0.052117214
0,63,4.168855,0.05811047
0,66,4.2997084,0.06426757
0,69,4.4073486,0.07055638
0,72,4.492612,0.076946184
0,75,4.5565767,0.08340805
0,78,4.6004906,0.08991493
0,81,4.6257095,0.096441664
0,84,4.63367,0.102965236
0,87,4.625844,0.1094648
0,90,4.603702,0.115921564
0,93,4.568686,0.1223187
0,96,4.522193,0.12864129
0,99,4.4655647,0.13487624
0,102,4.400075,0.14101219
0,105,4.326921,0.14703937
0,108,4.2472205,0.15294954
0,111,4.1620097,0.1587358
0,114,4.072242,0.1643925
0,117,3.9787896,0.16991518
0,120,3.882446,0.17530046
0,123,3.7839286,0.18054584
0,126,3.6838825,0.18564968
0,129,3.5828831,0.19061111
0,132,3.4814427,0.19542989
0,135,3.3800147,0.2001064
0,138,3.278998,0.20464148
0,141,3.1787386,0.20903647
0,144,3.0795379,0.21329308
0,147,2.9816551,0.21741332
0,150,2.8853104,0.22139953
0,153,2.7906888,0.22525424
0,156,2.6979442,0.2289802
0,159,2.6072032,0.23258027
0,162,2.5185664,0.2360575
0,165,2.4321113,0.23941502
0,168,2.347897,0.24265596
0,171,2.2659657,0.24578357
0,174,2.186343,0.24880107
0,177,2.1090417,0.25171173
0,180,2.0340624,0.2545188
0,183,1.9613956,0.2572255
0,186,1.8910239,0.25983506
0,189,1.8229201,0.26235062
0,192,1.7570527,0.26477525
0,195,1.6933832,0.26711208
0,198,1.6318709,0.26936403
0,201,1.5724709,0.27153406
0,204,1.5151354,0.27362505
0,207,1.4598137,0.2756397
0,210,1.4064535,0.27758083
0,213,1.3550013,0.27945098
0,216,1.3054031,0.2812528
0,219,1.257604,0.2829887
0,222,1.2115495,0.2846611
0,225,1.1671848,0.28627238
0,228,1.1244559,0.28782472
